run_mode,lookback,complete_count,median_cagr_pct,median_calmar,positive_excess_count,step04_numeric_gate_count
momentum,252,4,4.003053431337989,0.09156187749580844,0,0
momentum,126,4,2.3560966716725584,0.05084791057788622,0,0
momentum,63,4,7.2039521869884275,0.18791182374966497,2,1
momentum,31,4,4.794027087990271,0.17198630742346627,1,0
momentum,14,4,1.8052261925440405,0.0392193277577171,0,0
m1_absolute,252,4,4.003053431337989,0.09156187749580844,0,0
m1_absolute,126,4,2.3560966716725584,0.05084791057788622,0,0
m1_absolute,63,4,7.2039521869884275,0.18791182374966497,2,1
m1_absolute,31,4,0.5188466416512272,0.0028344501314457593,0,0
m1_absolute,14,4,1.8052261925440405,0.0392193277577171,0,0
m2_recent_confirm,252,4,6.298204953738907,0.23464324299039419,2,0
m2_recent_confirm,126,4,6.004076725846518,0.2617262919007968,1,1
m2_recent_confirm,63,4,2.7090678678546585,0.1540658398836541,1,1
m2_recent_confirm,31,4,7.426111945447488,0.4287619204961307,2,2
m2_recent_confirm,14,4,2.115352164152251,0.11073801619984729,1,1
m2_ranked_recent,252,4,6.969494217194372,0.2630679555826979,2,0
m2_ranked_recent,126,4,7.679604176858723,0.3871201987313694,3,2
m2_ranked_recent,63,4,2.243076144323597,0.09493241734463387,1,1
m2_ranked_recent,31,4,7.0757235838381565,0.35496205115265544,2,2
m2_ranked_recent,14,4,2.208786169984578,0.108631833738394,1,1
m3_ols_slope,252,4,10.629415166092105,0.24312825655056797,4,0
m3_ols_slope,126,4,6.646984075088458,0.09675492630529736,2,0
m3_ols_slope,63,4,0.769398063401272,0.02102085486905128,0,0
m3_ols_slope,31,4,9.401520479566638,0.43629897909723847,4,3
m3_ols_slope,14,4,5.125834642023753,0.136572097575153,1,0
m3b_efficiency,252,0,,,0,0
m3b_efficiency,126,0,,,0,0
m3b_efficiency,63,0,,,0,0
m3b_efficiency,31,0,,,0,0
m3b_efficiency,14,0,,,0,0
m3c_bias_trend,252,4,7.172320612178251,0.3101301945133452,3,1
m3c_bias_trend,126,3,1.5827054318938272,0.03834073236176907,0,0
m3c_bias_trend,63,4,2.6843901397558656,0.06964548902226078,0,0
m3c_bias_trend,31,4,-2.459293768394444,-0.052262235096126264,0,0
m3c_bias_trend,14,4,-0.19354011350258826,-0.0027498714557545392,1,1
m3d_wls_slope,252,4,10.350915504833146,0.23675085500096504,4,0
m3d_wls_slope,126,4,12.374544249198461,0.35687025177068454,3,0
m3d_wls_slope,63,4,0.5852539931282652,0.014423067110865237,0,0
m3d_wls_slope,31,4,7.10509543779988,0.31038726360059005,2,1
m3d_wls_slope,14,4,5.599312070123386,0.15657445071034393,0,0
m3e_huber_slope,252,4,9.977901562328606,0.22830087864228618,4,0
m3e_huber_slope,126,4,5.972879541471032,0.16191271638802218,2,0
m3e_huber_slope,63,4,0.8929676293876199,0.02127329232177752,0,0
m3e_huber_slope,31,4,9.752150879362155,0.4646525319344226,4,3
m3e_huber_slope,14,4,1.8453049563017687,0.04979514785495849,1,0
m3f_equal_rank,252,4,3.836888897001045,0.08429462290320872,1,0
m3f_equal_rank,126,4,0.22473428196903567,0.007918975200741921,0,0
m3f_equal_rank,63,4,9.75057707221133,0.431947513787577,3,3
m3f_equal_rank,31,4,8.259027096634053,0.3990229498042367,3,2
m3f_equal_rank,14,4,0.971397248908773,0.02690042055702504,1,0
m3g_efficiency_rank,252,0,,,0,0
m3g_efficiency_rank,126,4,-0.7509685207581995,-0.015141827063770803,0,0
m3g_efficiency_rank,63,3,4.1987893748335114,0.15989296933867142,0,0
m3g_efficiency_rank,31,4,3.566698554571357,0.1188556047894274,0,0
m3g_efficiency_rank,14,4,1.1938983760623911,0.022960377656983,0,0
