"run_mode","lookback","rebalance_interval","status","strategy_return_pct","benchmark_return_pct","alpha","beta","sharpe","max_drawdown_pct","image_file","config_ocr","metric_ocr"
"m3_ols_slope","252","1","complete","86.61","47.47","0.06","0.52","0.34","43.7","codex-clipboard-1ad1849a-b697-42b6-b1da-f29d1ae57dc5.png","# M3G uses RUN-}• ℃ DE= 'm3g-effi ci ency-rank ' from jqdata import import datetime import math R 皿 艹 "" m3 一 01 s-sl ope L(X)KBACK = 252 REBALAXE-INTERVAL ENGINE-VERSION = "" ． 1 "" ""step05-.%s-1 b 一 "" ％ （ COtE-VERS 工 ON | lookback_line=)KBACK 252 )KBACK = 252 | interval_line=1 ;A F TNTERVAL","2015-01-01 2020-12. 86.61% | 31 100000 47.47% | Python3 Alpha 0.06 | Beta 0.52 | Sharpe 0.34 | 43.70%"
"m2_recent_confirm","31","1","complete","8.2","47.47","-0.03","0.2","-0.2","22.86","codex-clipboard-1ce5eab2-7baf-492b-9eab-52b3dc4aea32.png","from jqdata i mport i mport datetime i mport RtJN---r•K)IE 一 ""m2-r ecent-confi r m"" 31 L(X)KBACK REBALAXF TNTERVAL ENGINE-VERSION = "" ． 1 "" CODE-VERSION | lookback_line=KBACK 31 KBACK 31 | interval_line=ALANCE-INTERVAL 1 ALANCE-INTERVAL","8.20% | 47.47% | Alpha -0.03 | Beta 0.20 | Sharpe -0.20 | 22.86%"
"m1_absolute","252","20","complete","27.05","47.47","-0.02","0.67","0.01","43.7","codex-clipboard-203be421-a4d0-4185-9826-43f36bd37da9.png","# M3G uses RUN-}• ℃ DE= 'm3g-effi ci ency-rank ' from jqdata import import datetime import math R 皿 艹 ""ml-absol ute"" L(X)KBACK = 252 REBALAXE-INTERVAL = 20 ENGINE-VERSION = "" ． 1 "" ""step05-.%s-1 b 一 "" ％ （ COtE-VERS 工 ON | lookback_line=)KBACK 252 )KBACK = 252 | interval_line=20 ;A F TNTERVAL = 20","2015-01-01 2020-12. 27.05% | 100000 47.470/0 | Python3 Alpha -0.02 | Beta 0.67 | Sharpe 0.01 | 43.70%"
"m3_ols_slope","126","10","complete","36.38","47.47","0","0.53","0.07","43.74","codex-clipboard-283c6560-ceeb-4082-8d42-f136e6dbcd9a.png","# M3G uses RUN-}• ℃ DE= 'm3g-effi ci ency-rank ' from jqdata import import datetime import math R 皿 艹 "" m3 一 01 s-sl ope L(X)KBACK = 126 REBALAXE-INTERVAL = 10 ENGINE-VERSION = "" ． 1 "" ""step05-.%s-1 b 一 "" ％ （ COtE-VERS 工 ON | lookback_line=)KBACK 126 )KBACK = 126 | interval_line=10 ;A F TNTERVAL = 10","2015-01-01 2020-12 36.38% | -31 100000 47.47% | Python3 Alpha -0.00 | Beta 0.53 | Sharpe 0.07 | 43.74%"
"m3_ols_slope","14","10","complete","33.85","47.47","0","0.37","0.07","38.09","codex-clipboard-2e963616-362d-4953-b0d4-f46b022faac8.png","# M3G uses ℃ DE= ' m3g-effi ci ency-rank ' from j qdata mport i mport datetime i mport math RtJN-.-r•K)tE "" m3 一 01 s-sl ope"" L(X)KBACK REBALAXF TNTERVAL = 10 ENGINE-VERSION = "" ． 1 "" CODE-VERSION | lookback_line=)KBACK 14 )KBACK | interval_line=10 ;A F TNTERVAL = 10","2015-01-01 2020-12. 33.85% | 100000 47.47% | Python3 Alpha 0.00 | Beta 0.37 | Sharpe 0.07 | 38.09%"
"m2_recent_confirm","14","5","complete","28.25","47.47","0","0.24","0.03","19.11","codex-clipboard-2f4b7fc1-8b6c-4a07-b684-81e71bbb7bee.png","from jqdata import import datetime import math R 皿 艹 L(X)KBACK •m2-recent-confi rm"" 5 REBALAXE-INTERVAL ENGINE-VERSION = "" ． 1 "" ""step05-.%s-1 b 一 "" ％ （ COtE-VERS 工 ON | lookback_line=)KBACK 14 )KBACK | interval_line=5 ;A F TNTERVAL 5","28.25% exg—. 12. 201s • -0.02% • -0.57% | 47.47% | Alpha -0.00 | Beta 0.24 | Sharpe 0.03 | 19.11% 4"
"m1_absolute","14","5","complete","8.63","47.47","-0.04","0.43","-0.14","39.95","codex-clipboard-35fbab6d-65ea-412d-9dd4-189ea244e2fa.png","from jqdata import import datetime i mport matp R 皿 艹 L(X)KBACK 'ml-absol ute"" 5 REBALAXE-INTERVAL ENGINE-VERSION = "" ． 1 "" ""step05-.%s-1 b 一 "" ％ （ COtE-VERS 工 ON | lookback_line=)KBACK 14 )KBACK | interval_line=5 ;A F TNTERVAL 5","8.63% | 47.470/0 exq—. 29 27.2017 • 7.3 | Alpha -0.04 | Beta 0.43 | Sharpe —O. 14 | 39.95%"
"m2_ranked_recent","126","1","complete","23.61","47.47","-0.01","0.27","-0.02","29.77","codex-clipboard-36b306a3-4ba5-4e54-acc5-dd0d292e02cb.png","from j qdata mport i mport datetime i mport math ""m2-ranked-recent "" L(X)KBACK = 126 REBALAXF TNTERVAL ENGINE-VERSION = "" ． 1 "" CODE-VERSION | lookback_line=)KBACK 126 )KBACK = 126 | interval_line=1 ;A F TNTERVAL","23.61% | 47.47% | Alpha -0.01 | Beta 0.27 | Sharpe -0.02 | 29.77%"
"m1_absolute","31","5","complete","24.76","47.47","-0.02","0.48","-0.01","37.54","codex-clipboard-3736798b-ace1-469f-b432-da903969ac2d.png","# M3G uses RUN-}• ℃ DE= 'm3g-effi ci ency-rank ' from jqdata import import datetime import math R 皿 艹 ""ml-absol ute"" 31 L(X)KBACK 5 REBALAXE-INTERVAL ENGINE-VERSION = "" ． 1 "" COtE-VERS 工 ON | lookback_line=)KBACK 31 )KBACK 31 | interval_line= ;A F TNTERVAL","2015-01-01 2020-12 24.76% | -31 100000 47.47% | Python3 Alpha -0.02 | Beta 0.48 | Sharpe -0.01 | 37.54%"
"momentum","14","1","complete","-0.74","47.47","-0.05","0.37","-0.23","43.61","codex-clipboard-37c45808-6741-41ae-aad1-0a3927e6cd5f.png","15-06-01 15-12-01 2016 16-12-01 2017 17-06-01 17-12-01 2018 IS-06-01 18-12-01 2019 19-06-01 20-06-01 20-12-01 2020 | manual_red_label_override=14,1","2015-01-01 2020-12- -0.74% | 1 100000 47.47% | Python3 Alpha -0.05 | Beta 0.37 | Sharpe -0.23 | 43.61% 409±"
