"run_mode","lookback","rebalance_interval","status","strategy_return_pct","benchmark_return_pct","alpha","beta","sharpe","max_drawdown_pct","image_file","config_ocr","metric_ocr"
"m1_absolute","14","10","complete","34.39","47.47","0","0.36","0.07","36.12","codex-clipboard-5f78c500-ad95-480b-a671-b3a57e76ca11.png","from j qdata import import datetime import math R 皿 艹 L(X)KBACK 'ml-absol ute"" REBALAXE-INTERVAL = 10 ENGINE-VERSION = "" ． 1 "" ""step05-.%s-1 b 一 "" ％ （ COtE-VERS 工 ON | lookback_line=)KBACK 14 )KBACK | interval_line=10 ;A F TNTERVAL = 10","34.39% | 47.47% | Alpha 0.00 | Beta 0.36 | Sharpe 0.07 | 36.12% ss 29"
"m3_ols_slope","31","10","complete","59.11","47.47","0.03","0.4","0.24","23.27","codex-clipboard-637c3597-5db8-460c-af0f-4e702cc360b2.png","from j qdata import import datetime i mport matp R 皿 艹 ' ' m3 一 01 s-sl ope"" 31 L(X)KBACK REBALAXE-INTERVAL = 10 ENGINE-VERSION = "" ． 1 "" ""step05-.%s-1 b 一 "" ％ （ COtE-VERS 工 ON | lookback_line=)KBACK 31 )KBACK 31 | interval_line=10 ;A F TNTERVAL = 10","59.11% | 47.47% .. 201 s 9.13% 28.85% | A1 pha 0.03 | Beta 0.40 | Sharpe 0.24 | 23.27%"
"m3_ols_slope","63","1","complete","2.04","28.28","-0.05","0.41","-0.2","38.92","codex-clipboard-6681c642-e4b5-4948-9809-b470523a867b.png","# M3G uses ℃ DE= ' m3g-effi ci ency-rank ' from j qdata mport i mport datetime i mport math RtJN-.-r•K)tE "" m3 一 01 s-sl ope"" L(X)KBACK 一 63 REBALAXF TNTERVAL ENGINE-VERSION = "" ． 1 "" CODE-VERSION | lookback_line=)KBACK 63 )KBACK 63 | interval_line=1 ;A F TNTERVAL","2015-01-01 2020-12 2.04% | -31 201 s 28.28% 45.56% 100000 47.47% | Python3 Alpha -0.05 | Beta 0.41 | Sharpe -0.20 | 38.92% so•i 409€"
"m1_absolute","63","5","complete","47.09","47.47","0.01","0.47","0.14","43.69","codex-clipboard-66ba51f6-5ff5-4ff4-856d-a74c6b033762.png","# M3G uses ℃ DE= ' m3g-effi ci ency-rank ' from j qdata mport i mport dateti m i mport math RtJN---r•K)[E ""ml-absol ute"" L(X)KBACK 一 63 5 REBALAXF TNTERVAL ENGINE-VERSION = "" ． 1 "" CODE-VERSION | lookback_line=)KBACK 63 )KBACK 63 | interval_line=5 ;A F TNTERVAL 5","2015-01-01 2020-12 47.09% | -31 100000 47.47% | Python3 Alpha 0.01 | Beta 0.47 | Sharpe 0.14 | 43.69% so•i"
"m2_recent_confirm","31","10","complete","74.02","47.47","0.05","0.17","0.49","16.35","codex-clipboard-6b76ff3d-fec3-4480-9fb8-d55473fcd3e2.png","from j qdata mport i mport datetime i mport math RtJN-J•K)tE L(X)KBACK 'm2-r ecent-confi r m"" 31 REBALAXF TNTERVAL = 10 ENGINE-VERSION = "" ． 1 "" CODE-VERSION | lookback_line=KBACK 31 KBACK 31 | interval_line=ALANCE-INTERVAL 10 ALANCE-INTERVAL = 10","74.02% | 47.47% | Alpha 0.05 | Beta 0.17 | Sharpe 0.49 | 16.35%"
"m3_ols_slope","63","5","complete","-0.74","47.47","-0.05","0.44","-0.22","45.29","codex-clipboard-7006c3a6-51d1-4aaf-8863-10004cfe217a.png","# M3G uses ℃ DE= ' m3g-effi （ ency-rank ' from j qdata mport i mport datetime i mport math RUN-MODE "" m3 一 01 s-sl ope"" 63 L(X)KBACK 5 REBALAXF TNTERVAL ENGINE-VERSION = "" ． 1 "" ""step05-%s-1 b 一 s "" ％ CODE-VERSION | lookback_line=KBACK 63 KBACK 63 | interval_line=ALANCE-INTERVAL 5 ALANCF TNTERVAL 5","2015-01-01 2020-12. -0.74% | 100000 47.47% | Python3 Alpha -0.05 | Beta 0.44 | Sharpe -0.22 | 45.29%"
"m3_ols_slope","126","20","complete","20.48","47.47","-0.02","0.51","-0.04","43.7","codex-clipboard-7a0f212b-bf9f-4c07-9222-647bd5342d68.png","# M3G uses RUN-}• ℃ DE= 'm3g-effi ci ency-rank ' from jqdata import import datetime import math R 皿 艹 ' ' m3 一 01 s-sl ope"" L(X)KBACK = 126 REBALAXE-INTERVAL = 20 ENGINE-VERSION = "" ． 1 "" COtE-VERS 工 ON | lookback_line=)KBACK 126 )KBACK = 126 | interval_line=20 ;A F TNTERVAL = 20","2015-01-01 2020-12. 20.48% | 100000 47.47% | Python3 Alpha -0.02 | Beta 0.51 | Sharpe -0.04 | 43.70%"
"momentum","126","10","complete","26.85","47.47","-0.01","0.56","0.01","43.74","codex-clipboard-7d998369-9151-44ac-a58c-4b063b603fa6.png","IS-06-01 IS-12-01 2016 16-06-01 16-12-01 17-12-01 2018 18-06-01 18-12-01 2019 19-06-01 19-12-01 2020 20-06-01 20-12-01 126 10","2015-01-01 2020-12-: 26.85% | 100000 47.47% 129 29. 201S • -6.49% | Python3 Alpha -0.01 | Beta 0.56 | Sharpe 0.01 | 43.74%"
"momentum","14","10","complete","34.39","47.47","0","0.36","0.07","36.12","codex-clipboard-815e359f-f029-4ff4-902c-95859039bf8a.png","15-06-01 15-12-01 2016 16-06-01 16-12-01 2017 17-06-01 17-12-01 2018 18-06-01 18-12-01 2019 19-06-01 19-12-01 2020 20-06-01 -200k -259± 20-12-01 as 14 10","2015-01-01 2020-12 34.39% | 100000 47.470/0 | Python3 Alpha 0.00 | Beta 0.36 | Sharpe 0.07 | 36.12% sssæ"
"m3_ols_slope","31","5","complete","80.21","47.47","0.05","0.41","0.36","21.5","codex-clipboard-832b0543-4435-48cb-b315-ada77d6afbc6.png","# M 3G uses ℃ DE= ' m3g-effi ci ency-rank ' from j qdata import import datetime import math R 皿 艹 ' ' m3 一 01 s-sl ope"" 31 L(X)KBACK 5 REBALAXE-INTERVAL ENGINE-VERSION = "" ． 1 "" COtE-VERS 工 ON | lookback_line=)KBACK 31 )KBACK 31 | interval_line=5 ;A F TNTERVAL 5","2015-01-01 2020-12 80.21% | 31 100000 47.47% | Python3 Alpha 0.05 | Beta 0.41 | Sharpe 0.36 | 21.50%"
"momentum","31","5","complete","24.76","47.47","-0.02","0.48","-0.01","37.54","codex-clipboard-890a9925-ed84-409f-aaa4-c7e613663db1.png","15-06-01 IS-12-01 2016 16-06-01 16-12-01 17-06-01 17-12-01 2018 IS-06-01 18-12-01 2019 19-06-01 19-12-01 2020 20-06-01 20-12-01 | manual_red_label_override=31,5","2015-01-01 2020-12-3 24.76% | 100000 47.470/0 • 9.11% • -7.27% | Python3 Alpha -0.02 | Beta 0.48 | Sharpe -0.01 | 37.54% 49"
"m3_ols_slope","14","5","complete","6.77","47.47","-0.04","0.41","-0.16","37.03","codex-clipboard-8919f71a-5375-48d5-b1be-df54a22287a1.png","# M3G uses ℃ DE= ' m3g-effi ci ency-rank ' from j qdata mport i mport datetime i mport math RtJN-.-r•K)tE "" m3 一 01 s-sl ope"" L(X)KBACK 5 REBALAXF TNTERVAL ENGINE-VERSION = "" ． 1 "" CODE-VERSION | lookback_line=)KBACK 14 )KBACK | interval_line=5 ;A F TNTERVAL 5","2015-01-01 2020-12. 6.77% | 100000 47.470/0 | Python3 Alpha -0.04 | Beta 0.41 | Sharpe -0.16 | 37.03%"
"m2_recent_confirm","252","5","complete","38.02","47.47","0.01","0.36","0.1","25.65","codex-clipboard-8feb44e9-5c7e-41e5-9d08-5fcf68a694f5.png","# M3G uses ℃ DE= ' m3g-effi ci ency-rank ' from j qdata mport i mport datetime i mport math RtJN---r•K)IE 一 ""m2-r ecent-confi r m"" = 252i L(X)KBACK 5 REBALAXF TNTERVAL ENGINE-VERSION = "" ． 1 "" CODE-VERSION | lookback_line=)KBACK )KBACK | interval_line=5 ;A F TNTERVAL 5","2015-01-01 2020-12. 38.02% | 100000 47.47% | Python3 Alpha 0.01 | Beta 0.36 | Sharpe 0.10 | 25.65%"
"momentum","252","5","complete","42.26","47.47","0","0.67","0.1","43.71","codex-clipboard-904aba51-1395-42f7-b0b3-58ba96828caa.png","15-06-01 15-12-01 16-12-01 17-06-01 2017 17-12-01 2018 IS-06-01 18-12-01 2019 19-06-01 19-12-01 2020 20-06-01 20-12-01 252 5 201","2015-01-01 2020-12-: 42.26% | 100000 47.47% | Python3 Alpha 0.00 | Beta 0.67 | Sharpe 0.10 | 43.71%"
"m1_absolute","126","20","complete","17.6","47.47","-0.03","0.52","-0.06","43.7","codex-clipboard-91245d6c-ad22-44d8-9952-eb9c3658a4da.png","# M3G uses RUN 」 ， ℃ DE= ' m3g-effi ci ency-rank ' jqdata import import datetime import math 'ml-absol ute"" RUN-MODE L(X)KBACK = 126 REBALAX 「 TNTERVAL = 20 ENGINE-VERSION = "" ． 1 "" 一 1 b 一 s ""steD05 CODE-VERSION | lookback_line=(BACK 126 〈 BACK = 126 | interval_line=MAKE-INTERVAL 20 M-ANCE-INTERVAL = 20","2015-01-01 2020-12-: 17.60% 29 17.201 s • 4.76% | 100000 47.47% | Python3 Alpha -0.03 | Beta 0.52 | Sharpe -0.06 | 43.70%"
"m2_ranked_recent","31","5","complete","41.12","47.47","0.01","0.23","0.15","21.84","codex-clipboard-91436f65-2fc1-4d71-82ef-4655fe76da60.png","# M3G uses ℃ DE= 'm3g-effi ci ency-rank ' from jqdata import i import datetime import math R 皿 艹 ""m2-ranked-recent"" 31 L(X)KBACK 5 REBALAXE-INTERVAL ENGINE-VERSION = "" ． 1 "" ""step05-.%s-1 b 一 "" ％ （ COtE-VERS 工 ON | lookback_line=)KBACK 31 )KBACK 31 | interval_line=5 ;A F TNTERVAL 5","2015-01-01 2020-12. 41.12% | 31 100000 47.47% | Python3 Alpha 0.01 | Beta 0.23 | Sharpe 0.15 | 21.84%"
"momentum","126","5","incomplete","","47.47","","2.98","","","codex-clipboard-94cf17a4-d118-42e1-9e4c-8dd74f44b673.png","15-06-01 15-12-01 2016 16-12-01 17-06-01 17-12-01 2018 IS-06-01 18-12-01 2019 19-06-01 20-06-01 20-12-01 126 5 2020"," | 00932B 47.47% | Alpha 20. 2 | Beta 2.98% | Sharpe | "
"m2_recent_confirm","252","20","complete","65.16","47.47","0.04","0.36","0.29","28.43","codex-clipboard-96ef0e2e-9c2c-4aa2-84b2-fbc17b3075a7.png","# M3G uses ℃ DE= ' m3g-effi ci ency-rank ' from j qdata mport i mport datetime i mport RtJN---r•K)IE 一 ""m2-r ecent-confi r m"" L(X)KBACK = 252 REBALAXF TNTERVAL = 20 ENGINE-VERSION = "" ． 1 "" CODE-VERSION | lookback_line=)KBACK 252 )KBACK = 252 | interval_line=20 ;A F TNTERVAL = 20","2015-01-01 2020-12. 65.16% | 100000 47.470/0 | Python3 Alpha 0.04 | Beta 0.36 | Sharpe 0.29 | 28.43%"
"m1_absolute","31","10","incomplete","","47.47","","","","","codex-clipboard-99190d9b-5f3a-4c40-a839-ba45902dadda.png","# M3G uses RUN-}• ℃ DE= 'm3g-effi ci ency-rank ' from jqdata import import datetime i mport matp R 皿 艹 ""ml-absol ute"" 31 L(X)KBACK REBALAXE-INTERVAL = 10 ENGINE-VERSION = "" ． 1 "" ""step05-.%s-1 b 一 "" ％ （ COtE-VERS 工 ON | lookback_line=)KBACK 31 )KBACK 31 | interval_line=10 ;A F TNTERVAL = 10"," | 00943B 47.47% | Alpha | Beta | Sharpe | 4"
"m1_absolute","126","5","complete","12.44","47.47","-0.03","0.51","-0.1","50.57","codex-clipboard-9a07b88f-0ebf-4bc8-9df0-64a1e0f49350.png","# M3G uses RUN-}• ℃ DE= 'm3g-effi ci ency-rank ' from jqdata import import datetime import math R 皿 艹 ""ml-absol ute"" L(X)KBACK = 126 5 REBALAXE-INTERVAL ENGINE-VERSION = "" ． 1 "" ""step05-.%s-1 b 一 "" ％ （ COtE-VERS 工 ON | lookback_line=)KBACK 126 )KBACK = 126 | interval_line= ;A F TNTERVAL","2015-01-01 2020-12 12.44% | -31 100000 47.47% -3.00% 19.19% | Python3 Alpha -0.03 | Beta 0.51 | Sharpe -0.10 | 50.57%"
"m2_recent_confirm","252","1","complete","33.6","47.47","0","0.31","0.07","24.55","codex-clipboard-9ac1a581-f3d5-4e67-9488-aa80c6aeacde.png","from jqdata i mport i mport datetime i mport math 'm2-r ecent-confi r m"" L(X)KBACK = 252 REBALAXF TNTERVAL ENGINE-VERSION = "" ． 1 "" CODE-VERSION | lookback_line=)KBACK 252 )KBACK = 252 | interval_line=1 ;A F TNTERVAL","33.60% | 47.47% | Alpha 0.00 | Beta 0.31 | Sharpe 0.07 | 24.55%"
"m2_recent_confirm","252","10","complete","50.74","47.47","0.02","0.36","0.19","27.85","codex-clipboard-9b3fcc59-04dd-4b07-b40d-3534e5627806.png","# M3G uses ℃ DE= ' m3g-effi ci ency-rank ' from j qdata mport i mport datetime i mport RtJN---r•K)IE 一 ""m2-r ecent-confi r m"" L(X)KBACK = 252 REBALAXF TNTERVAL = 10 ENGINE-VERSION = "" ． 1 "" CODE-VERSION | lookback_line=)KBACK 252 )KBACK = 252 | interval_line=10 ;A F TNTERVAL = 10","2015-01-01 2020-12 50.74% | -31 100000 47.47% | Python3 Alpha 0.02 | Beta 0.36 | Sharpe 0.19 | 27.85% 409±"
"m2_ranked_recent","31","1","complete","10.61","47.47","-0.03","0.21","-0.16","20.98","codex-clipboard-9d917b4f-c139-4a95-91f6-d47870a1c377.png","# M3G uses ℃ DE= ' m3g-effi ci ency-rank ' from j qdata mport i mport datetime i mport math RtJN-J•K)[E ""m2-ranked-recent "" 31 L(X)KBACK REBALAXF TNTERVAL ENGINE-VERSION = "" ． 1 "" CODE-VERSION | lookback_line=)KBACK 31 )KBACK 31 | interval_line=1 ;A F TNTERVAL","2015-01-01 2020-12. 10.61% | 31 100000 47.47% | Python3 Alpha -0.03 | Beta 0.21 | Sharpe -0.16 | 20.98%"
"m1_absolute","14","20","complete","14.09","47.47","-0.03","0.52","-0.09","50.87","codex-clipboard-a9b1d37d-a5be-4b4d-96a9-5e68ea486fea.png","# M3G uses ℃ DE= ' m3g-effi ci ency-rank ' from j qdata mport i mport datetime i mport math RtJN-.-t•K)[E ""ml-absol ute"" L(X)KBACK REBALAXF TNTERVAL = 20 ENGINE-VERSION = "" ． 1 "" CODE-VERSION | lookback_line=)KBACK 14 )KBACK | interval_line=20 ;A F TNTERVAL = 20","2015-01-01 2020-12 14.09% | 31 100000 47.47% | Python3 Alpha -0.03 | Beta 0.52 | Sharpe -0.09 | 50.87%"
"m2_recent_confirm","63","1","complete","66.24","47.47","0.04","0.23","0.35","16.59","codex-clipboard-aad060c7-7b81-43e5-893b-d98b8d5d3009.png","# M 3G uses ℃ DE= ' m3g-effi ci ency-rank ' from j qdata import import datetime import math R 皿 艹 一 ""m2-recent-confi rm"" L(X)KBACK 一 63 REBALAXE-INTERVAL ENGINE-VERSION = "" ． 1 "" ""step05-.%s-1 b 一 "" ％ （ COtE-VERS 工 ON | lookback_line=(BACK 63 (BACK 63 | interval_line=1 \LANCE-INTERVAL","2015-01-01 2020-12-: 66.24% | 100000 47.47% | Python3 Alpha 0.04 | Beta 0.23 | Sharpe 0.35 | 16.59%"
"m2_ranked_recent","14","5","complete","27.59","47.47","-0.01","0.27","0.02","19.71","codex-clipboard-af974af1-9990-4870-a8aa-1aa80cd29cc7.png","# M3G uses RUN-}• ℃ DE= 'm3g-effi ci ency-rank ' from jqdata import import datetime import math R 皿 艹 ""m2-ranked-recent "" L(X)KBACK 5 REBALAXE-INTERVAL ENGINE-VERSION = "" ． 1 "" ""step05-.%s-1 b 一 "" ％ （ COtE-VERS 工 ON | lookback_line=KBACK 14 KBACK | interval_line=A1-ANCE-INTERVAL 5 ALANCE-INTERVAL 5","2015-01-01 2020-12-: 27.59% eä—. S. 201S • 0.00% 3.05% | 100000 47.47% | Python3 Alpha -0.01 | Beta 0.27 | Sharpe 0.02 | 19.71% 4"
"m2_ranked_recent","31","10","complete","92.76","47.47","0.07","0.16","0.62","16.32","codex-clipboard-b08d469a-6cd8-4e50-82ba-a17a795b7745.png","# M3G uses RUN-}• ℃ DE= 'm3g-effi ci ency-rank ' from jqdata import import datetime import math R 皿 艹 ""m2-ranked-recent"" 31 L(X)KBACK REBALAXE-INTERVAL = 10 ENGINE-VERSION = "" ． 1 "" COtE-VERS 工 ON | lookback_line=)KBACK 31 )KBACK 31 | interval_line=10 ;A F TNTERVAL = 10","2015-01-01 2020-12. 92.76% | 100000 47.47% | Python3 Alpha 0.07 | Beta 0.16 | Sharpe 0.62 | 16.32% 100* so•i"
"m2_ranked_recent","252","20","complete","72.34","47.47","0.05","0.37","0.33","28.2","codex-clipboard-b0bd3550-60a0-4ebc-8167-d4ff2b9505c3.png","from j qdata mport i mport datetime i mport math ""m2-ranked-recent "" L(X)KBACK = 252 REBALAXF TNTERVAL = 20 ENGINE-VERSION = "" ． 1 "" CODE-VERSION | lookback_line=)KBACK 252 )KBACK = 252 | interval_line=20 ;A F TNTERVAL = 20","72.34% | 47.47% | Alpha 0.05 | Beta 0.37 | Sharpe 0.33 | 28.20%"
"m1_absolute","252","5","complete","42.26","47.47","0","0.67","0.1","43.71","codex-clipboard-b980754f-8a29-4ab8-9dce-a211a8007dc9.png","# M3G uses RUN-}• ℃ DE= 'm3g-effi ci ency-rank ' from jqdata import import datetime import math R 皿 艹 ""ml-absol ute"" L(X)KBACK = 252 5 REBALAXE-INTERVAL ENGINE-VERSION = "" ． 1 "" ""step05-.%s-1 b 一 "" ％ （ COtE-VERS 工 ON | lookback_line=)KBACK 252 )KBACK = 252 | interval_line=5 ;A F TNTERVAL 5","2015-01-01 2020-12. 42.26% | 100000 47.47% | Python3 Alpha 0.00 | Beta 0.67 | Sharpe 0.10 | 43.71%"
"momentum","63","10","complete","56.63","47.47","0.03","0.48","0.2","34.7","codex-clipboard-b9924b49-d7b3-4ff2-b0a3-6b4ef82fd77f.png","15-06-01 15-12-01 2016 16-06-01 16-12-01 2017 17-06-01 17-12-01 2018 18-06-01 18-12-01 2019 19-06-01 20-06-01 20-12-01 2020 63 10","2015-01-01 2020-12-: 56.63% | 100000 47.47% | Python3 Alpha 0.03 . 2017 | Beta 0.48 | Sharpe 0.20 | 34.70%"
"m2_ranked_recent","63","1","complete","64.1","47.47","0.04","0.23","0.33","19.09","codex-clipboard-bdee717c-6bd9-4489-87b7-7f3b17f97073.png","from j qdata mport i mport datetime i mport math ""m2-ranked-recent "" L(X)KBACK REBALAXF TNTERVAL ENGINE-VERSION = "" ． 1 "" CODE-VERSION | lookback_line=PKBACK 63 -A VAX 63 | interval_line=1 ;A F TNTERVAL","64.10% | 47.47% | Alpha 0.04 | Beta 0.23 | Sharpe 0.33 | 19.09%"
"m2_ranked_recent","63","20","complete","-26.44","47.47","-0.1","0.3","-0.59","54.4","codex-clipboard-c0459868-d40a-4a6d-8132-4053c1cc2d86.png","# M3G uses ℃ DE= ' m3g-effi ci ency-rank ' from j qdata mport i mport datetime i mport math RtJN-J•K)tE ""m2-ranked-recent "" L(X)KBACK 一 63 REBALAXF TNTERVAL = 20 ENGINE-VERSION = "" ． 1 "" ""step05-%s-1 b 一 "" ％ （ CODE-VERSION | lookback_line=)KBACK 63 )KBACK 63 | interval_line=20 ;A F TNTERVAL = 20","2015-01-01 2020-12 -26.44% | -31 100000 47.47% | Python3 Alpha -0.10 | Beta 0.30 | Sharpe -0.59 | 54.40%"
"m1_absolute","252","10","complete","26.06","47.47","-0.02","0.67","0","43.74","codex-clipboard-c0a31abd-48f2-4d56-b226-001365b99e03.png","# M3G uses ℃ DE= 'm3g-effi ci ency-rank ' from jqdata import import datetime import math R 皿 艹 ""ml-absol ute"" L(X)KBACK = 252 REBALAXE-INTERVAL = 10 ENGINE-VERSION = "" ． 1 "" ""step05-.Xs-1 b 一 "" ％ （ COtE-VERSION | lookback_line=)KBACK 252 )KBACK = 252 | interval_line=10 ;A F TNTERVAL = 10","2015-01-01 2020-12 26.06% | 31 100000 47.470/0 | Python3 Alpha -0.02 | Beta 0.67 | Sharpe 0.00 | 43.74%"
"m2_ranked_recent","14","1","complete","-16.37","47.47","-0.08","0.24","-0.48","39.96","codex-clipboard-c249b0b6-00e9-4f48-ae7e-630439e48279.png","# M3G uses RUN 」 ， ℃ DE= ' m3g-effi ci ency-rank ' jqdata import import datetime import math RUN-MODE ""m2-ranked-recent "" L(X)KBACK REBAI..-A?••C 「 TNTERVAL ENGINE-VERSION = "" ． 1 "" ""step05-Xs-1 b 一 "" ％ （ COCE-VERSION | lookback_line=KBACK KBACK | interval_line=ALANCE-INTERVAL 1 ALANCF TNTERVAL","2015-01-01 2020-12. -16.37% log 14. | 5) 31 201 s 6.40% 100000 47.47% | Python3 Alpha -0.08 | Beta 0.24 | Sharpe -0.48 | 39.96%"
"m2_ranked_recent","126","20","complete","48.51","47.47","0.02","0.28","0.19","21.28","codex-clipboard-c3fa06c1-e0dc-4c74-94d6-682edae9258e.png","# M3G uses ℃ DE= ' m3g-effi ci ency-rank ' from j qdata mport I i mport datetime i mport math RtJN---r•K)IE ""m2-ranked-recent "" L(X)KBACK = 126 REBALAXF TNTERVAL = 20 ENGINE-VERSION = "" ． 1 "" CODE-VERSION | lookback_line=)KBACK 126 )KBACK = 126 | interval_line=20 ;A F TNTERVAL = 20","2015-01-01 2020-12 48.51% | 100000 47.470/0 | Python3 Alpha 0.02 | Beta 0.28 | Sharpe 0.19 | 21.28%"
"m1_absolute","252","1","complete","24.91","47.47","-0.02","0.65","-0.01","43.7","codex-clipboard-c5309318-4c3a-4de6-bbef-9ac54244dfa8.png","# M3G uses ℃ DE= ' m3g-effi ci ency-rank ' from j qdata mport i mport datetime i mport math RtJN-.-t•K)[E ""ml-absol ute"" L(X)KBACK = 252 REBALAXF TNTERVAL ENGINE-VERSION = "" ． 1 "" CODE-VERSION | lookback_line=)KBACK 252 )KBACK = 252 | interval_line=1 ;A F TNTERVAL","2015-01-01 2020-12. 24.91% | 100000 47.47% | Python3 Alpha -0.02 | Beta 0.65 | Sharpe -0.01 | 43.700/0 4"
"m2_recent_confirm","126","20","complete","46.85","47.47","0.02","0.28","0.18","21.33","codex-clipboard-c87a39b8-9201-4c26-bd36-9ccf157c4a06.png","# M3F uses RLJN-?• ℃ DE= ' m3f-equa1-rank ' # M3G uses ℃ DE= ' m3g-effi ci ency-rank ' from j qdata mport i mport datetime i mport math RtJN-J•K)[E 一 ""m2-r ecent-confi r m"" L(X)KBACK = 126 REBALAXF TNTERVAL = 20 ENGINE-VERSION = "" ． 1 "" CODE-VERSION | lookback_line=)KBACK 126 )KBACK = 126 | interval_line=20 ;A F TNTERVAL = 20","2015-01-01 2020-12. 46.85% | 100000 47.470/0 | Python3 Alpha 0.02 | Beta 0.28 | Sharpe 0.18 | 21.33%"
"m1_absolute","126","1","complete","-21.84","47.47","-0.1","0.53","-0.4","53.47","codex-clipboard-cb2224dc-d65f-492d-8f73-c7d613370ec4.png","# M3G uses RUN-}• ℃ DE= 'm3g-effi ci ency-rank ' from jqdata import import datetime import math R 皿 艹 ""ml-absol ute"" L(X)KBACK = 126 REBALAXE-INTERVAL ENGINE-VERSION = "" ． 1 "" COtE-VERS 工 ON | lookback_line=)KBACK 126 )KBACK = 126 | interval_line=II ;A F TNTERVAL","2015-01-01 2020-12. -21.84% | 31 100000 47.47% | Python3 Alpha -0.10 | Beta 0.53 | Sharpe -0.40 | 53.47%"
"m2_ranked_recent","31","20","complete","60.84","47.47","0.04","0.22","0.33","18.76","codex-clipboard-cc3dd8d2-4da5-4a31-a219-8faee75d2316.png","# M3G uses RUN-}• ℃ DE= 'm3g-effi ci ency-rank ' from jqdata import import datetime i mport matp R 皿 艹 ""m2-ranked-recent"" 31 L(X)KBACK REBALAXE-INTERVAL = 20 ENGINE-VERSION = "" ． 1 "" ""step05-.%s-1 b 一 "" ％ （ COtE-VERS 工 ON | lookback_line=)KBACK 31 )KBACK 31 | interval_line=20 ;A F TNTERVAL = 20","2015-01-01 2020-12 60.84% | -31 100000 47.47% | Python3 Alpha 0.04 | Beta 0.22 | Sharpe 0.33 | 18.76%"
"m2_ranked_recent","126","10","complete","77.36","47.47","0.05","0.32","0.39","22.07","codex-clipboard-ccad9e4e-e321-4bdf-b541-365f0dc0838d.png","# M3G uses ℃ DE= ' m3g-effi ci ency-rank ' from j qdata mport i mport datetime i mport math ""m2-ranked-recent "" L(X)KBACK = 126 REBALAXF TNTERVAL = 10 ENGINE-VERSION = "" ． 1 "" | lookback_line=)KBACK 126 )KBACK = 126 | interval_line=10 ;A F TNTERVAL = 10","2015-01-01 2020-12. 77.36% | 100000 47.47% | Python3 Alpha 0.05 | Beta 0.32 | Sharpe 0.39 | e-xE*O 22.070/0"
"m3_ols_slope","252","10","complete","80.09","47.47","0.05","0.51","0.31","43.74","codex-clipboard-ce1801ae-f86d-422f-84ac-b94840447d38.png","from jqdata i mport i mport datetime i mport math RtJN---r•K)[E ' ' m3 一 01 s-sl ope"" L(X)KBACK = 252 REBALAXF TNTERVAL = 10 ENGINE-VERSION = "" ． 1 "" CODE-VERSION | lookback_line=)KBACK 252 )KBACK = 252 | interval_line=10 ;A F TNTERVAL = 10","80.09% | 47.47% | Alpha 0.05 | Beta 0.51 | Sharpe 0.31 | 43.74%"
"m2_ranked_recent","252","1","complete","39.87","47.47","0.01","0.32","0.11","24.31","codex-clipboard-cf89674f-80de-47d8-a703-e9b9569fcb26.png","# M3G uses ℃ DE= ' m3g-effi （ ency-rank ' from j qdata mport i mport datetime i mport math RtJN--.-frK)IE ""m2-ranked-recent "" 252 L(X)KBACK REBALAXF TNTERVAL ENGINE-VERSION = "" ． 1 "" | lookback_line=KBACK 252 KBACK = 252 | interval_line=ALANCE-INTERVAL 1 ALANCF TNTERVAL","2015-01-01 2020-12. 39.87% 21. L&ä: -2.12% | 31 100000 47.47% | Python3 Alpha 0.01 | Beta 0.32 | Sharpe 0.11 | 24.31%"
"momentum","14","20","complete","14.09","47.47","-0.03","0.52","-0.09","50.87","codex-clipboard-d140e4c4-5522-4409-b282-e613b528d6e3.png","15-12-01 2016 16-12-01 17-06-01 17-12-01 2018 18-06-01 18-12-01 2019 IS-06-01 19-12-01 2020 20-06-01 20-12-01 14 20","2015-01-01 2020-12-3 14.09% | 100000 47.47% | Python3 Alpha -0.03 | Beta 0.52 | Sharpe -0.09 | 50.87% sost"
"momentum","63","5","incomplete","","47.47","","","","","codex-clipboard-d5a1e109-2410-42f5-a4ee-da09d2109050.png","IS-06-01 IS-12-01 2016 16-06-01 16-12-01 2017 63 5 18-06-01 2018 18-12-01 2019 19-06-01 19-12-01 2020 20-06-01 20-12-01","49 IS. | 00929b 47.47% 3.88% 3.96% | Alpha | Beta | Sharpe | 4"
"m2_recent_confirm","126","1","complete","12.6","47.47","-0.03","0.27","-0.13","30.38","codex-clipboard-d649e429-be2f-4713-9e38-7903c0107944.png","# M3G uses RUN-}• ℃ DE= 'm3g-effi ci ency-rank ' from jqdata import import datetime import math •m2-recent-confi rm"" R 皿 艹 L(X)KBACK = 126 REBALAXE-INTERVAL ENGINE-VERSION = "" ． 1 "" | lookback_line=)KBACK 126 )KBACK = 126 | interval_line=1 ;A F TNTERVAL","2015-01-01 2020-12 12.60% | -31 100000 47.47% | Python3 Alpha -0.03 | Beta 0.27 | Sharpe -0.13 | 30.38%"
