代码,日期,收盘,开盘,最高,最低,成交量,成交额
801760,2014-02-21,1000.62,997.65,1007.01,987.36,5.62605603,119.2680436425
801760,2014-02-24,1017.51,999.21,1018.99,996.1,6.160149,136.9417977675
801760,2014-02-25,978.67,1017.66,1040.43,972.04,9.52141361,201.566738853
801760,2014-02-26,959.03,967.83,967.83,934.29,6.37362952,133.27031156299998
801760,2014-02-27,923.77,960.79,975.0,918.45,7.08760827,151.0860593098
801760,2014-02-28,931.63,921.08,933.47,903.98,5.34989298,107.1783005094
801760,2014-03-03,948.93,927.87,949.92,925.35,4.54377114,88.89898431530001
801760,2014-03-04,942.63,946.0,951.54,931.08,4.25736096,91.56856068969999
801760,2014-03-05,938.58,944.57,948.72,936.83,4.31369678,87.60036233459999
801760,2014-03-06,945.06,939.19,947.15,923.11,4.54851146,101.652512192
801760,2014-03-07,942.18,949.32,955.41,939.13,4.9061986,107.85198437790001
801760,2014-03-10,896.54,928.24,928.24,895.54,5.10518749,100.95716631290001
801760,2014-03-11,898.41,891.9,905.19,887.05,3.39900419,69.0885973173
801760,2014-03-12,906.57,899.4,917.59,889.65,3.90032616,82.61596844520001
801760,2014-03-13,916.83,906.46,916.83,903.9,2.91138291,62.369377856999996
801760,2014-03-14,920.15,913.9,927.11,911.18,2.90015003,66.3976126987
801760,2014-03-17,942.6,921.4,942.76,921.4,3.5314044,72.677768416
801760,2014-03-18,952.35,946.28,953.8,943.42,4.43062533,90.8869527248
801760,2014-03-19,939.98,949.92,950.93,936.13,3.47800504,77.545378545
801760,2014-03-20,903.45,938.35,944.21,903.17,4.14328483,90.60618065540001
801760,2014-03-21,917.85,895.92,918.75,880.69,4.74544876,89.7416080879
801760,2014-03-24,910.39,913.9,917.23,907.99,3.24937483,70.087820448
801760,2014-03-25,919.53,909.62,921.33,908.72,3.39212092,68.1452291541
801760,2014-03-26,926.16,921.49,928.13,920.43,3.16553965,66.8221470808
801760,2014-03-27,897.5,923.62,923.63,897.5,3.26892241,67.96573540899999
801760,2014-03-28,873.41,895.81,897.79,869.26,3.41715652,67.4315414583
801760,2014-03-31,860.69,869.33,869.39,855.36,3.17249513,58.4130116044
801760,2014-04-01,871.45,856.03,873.3,855.87,2.76927136,52.974407491499996
801760,2014-04-02,860.06,872.37,874.61,851.22,3.12038527,58.755998380600005
801760,2014-04-03,861.42,859.26,872.16,855.92,2.77723891,53.2204988779
801760,2014-04-04,876.94,860.25,876.94,857.59,2.88201178,55.4737092129
801760,2014-04-08,882.05,869.96,882.24,867.11,3.38994895,64.3236709815
801760,2014-04-09,899.11,889.77,909.03,889.64,5.03143646,89.27555761469999
801760,2014-04-10,904.22,901.02,910.43,897.85,3.7446364,77.0001203664
801760,2014-04-11,900.87,898.43,902.91,894.38,3.14390864,62.4317905183
801760,2014-04-14,908.09,903.39,911.1,903.38,3.32796164,67.7718674454
801760,2014-04-15,902.68,908.68,911.09,901.95,3.59939081,77.1512800397
801760,2014-04-16,902.56,900.61,904.57,896.93,3.19214917,63.628394767399996
801760,2014-04-17,905.29,905.45,914.46,905.1,3.80285604,72.1018773084
801760,2014-04-18,910.17,903.58,913.66,901.54,3.44343534,67.9299012906
801760,2014-04-21,899.75,903.73,914.05,899.11,4.33102701,79.843259566
801760,2014-04-22,893.0,897.3,905.52,878.74,4.73359724,85.0844068909
801760,2014-04-23,880.54,890.44,892.34,876.7,3.77860965,72.6835511999
801760,2014-04-24,875.48,880.06,882.58,865.64,4.13134925,76.6915548941
801760,2014-04-25,855.55,872.96,874.63,854.53,3.41006448,60.002463723000005
801760,2014-04-28,828.52,847.93,848.93,828.41,3.82853868,66.914968336
801760,2014-04-29,839.82,827.11,840.13,827.11,3.00745281,51.9685798859
801760,2014-04-30,852.63,841.35,857.64,840.99,3.3074229,62.7091574986
801760,2014-05-05,860.22,851.06,860.43,849.34,2.94544527,55.895411913100006
801760,2014-05-06,868.34,860.2,872.88,859.24,3.5047284,70.339632886
801760,2014-05-07,849.29,863.43,865.49,849.29,3.19248442,60.7092091161
801760,2014-05-08,847.73,845.91,860.79,844.18,3.06810345,53.8495962357
801760,2014-05-09,841.18,848.32,850.06,832.38,3.54939572,59.10093382350001
801760,2014-05-12,857.34,845.65,860.13,840.82,3.68180593,60.966935451800005
801760,2014-05-13,862.31,856.91,868.96,856.56,3.62685843,62.742424864499995
801760,2014-05-14,859.94,861.54,866.65,856.75,3.04788483,49.8701701866
801760,2014-05-15,846.1,859.72,863.46,846.0,3.52370063,61.7140986163
801760,2014-05-16,835.87,844.0,846.86,826.99,3.09571225,55.0128008676
801760,2014-05-19,836.13,834.98,840.1,828.6,2.87597265,49.2213168051
801760,2014-05-20,842.9,841.39,851.55,840.54,3.70179442,65.78768632170001
801760,2014-05-21,846.5,838.48,846.52,831.14,3.38436986,56.28736075729999
801760,2014-05-22,848.85,846.59,860.72,846.58,4.42245491,78.1160097933
801760,2014-05-23,865.87,847.93,865.91,845.11,4.2369132,76.1387500948
801760,2014-05-26,880.17,868.72,880.25,868.52,5.45791972,95.39401574680001
801760,2014-05-27,869.81,878.32,878.33,868.73,4.17871857,70.563282258
801760,2014-05-28,886.1,869.68,887.05,868.41,5.32857985,90.5929988976
801760,2014-05-29,868.52,885.95,887.81,867.97,4.32247952,73.3808520318
801760,2014-05-30,869.39,872.0,873.27,860.43,4.47712815,70.32619106060001
801760,2014-06-03,876.29,868.66,881.09,868.63,4.57645526,75.5063217063
801760,2014-06-04,876.83,876.93,876.93,866.01,4.69690744,78.8999081188
801760,2014-06-05,907.44,876.63,908.13,875.83,7.60391191,132.84043353040002
801760,2014-06-06,900.79,907.08,911.37,893.59,6.76623443,117.6891682716
801760,2014-06-09,892.42,897.7,905.12,891.9,5.94895108,103.64138226
801760,2014-06-10,908.25,892.42,910.91,883.21,6.26007248,113.24694113620001
801760,2014-06-11,909.46,904.95,915.95,904.26,5.77753535,102.9918109424
801760,2014-06-12,907.77,907.59,915.38,902.26,5.63320138,100.9941922899
801760,2014-06-13,916.34,906.71,917.84,901.89,5.88047098,100.57283950950001
801760,2014-06-16,926.03,915.81,926.94,915.55,6.06876164,109.3444437973
801760,2014-06-17,913.86,926.6,926.6,913.7,4.92462293,93.25077678209999
801760,2014-06-18,902.06,913.19,916.78,901.77,4.70524338,88.1417803737
801760,2014-06-19,873.66,900.59,905.76,867.09,5.36129576,95.66687166879998
801760,2014-06-20,878.35,873.74,881.99,868.12,3.22923516,60.790077453500004
801760,2014-06-23,893.5,879.26,898.03,878.78,3.93768604,76.0485321899
801760,2014-06-24,899.26,892.91,901.41,892.73,4.40239862,76.0911029329
801760,2014-06-25,894.67,898.81,898.81,889.75,4.40263281,78.355478175
801760,2014-06-26,905.26,893.32,909.75,893.31,5.02314948,88.90670138860001
801760,2014-06-27,909.27,907.06,913.22,904.77,4.97191312,93.5237590373
801760,2014-06-30,913.25,909.94,913.25,901.59,5.39573278,99.3897212151
801760,2014-07-01,922.24,914.09,923.2,910.16,6.28331916,110.7996731842
801760,2014-07-02,925.01,921.92,927.56,915.74,5.99479536,114.0536840901
801760,2014-07-03,920.82,923.92,925.3,919.41,5.57418175,106.06134697639999
801760,2014-07-04,920.78,921.96,923.23,914.53,6.27376358,113.2302549267
801760,2014-07-07,912.24,920.12,920.12,906.94,5.08708108,96.1464566974
801760,2014-07-08,915.94,912.01,916.1,902.8,4.80647842,94.1513975166
801760,2014-07-09,894.91,914.55,915.88,894.71,5.17921418,98.281399149
801760,2014-07-10,885.9,894.8,896.41,883.72,4.49915113,83.5345634057
801760,2014-07-11,886.93,884.15,894.23,882.66,4.33291857,79.2548905947
801760,2014-07-14,884.85,885.7,886.04,873.84,5.46293559,95.8451262132
801760,2014-07-15,872.62,885.31,886.09,870.12,5.0776102,88.7150271197
801760,2014-07-16,861.19,870.24,873.64,854.25,4.7729491,85.95393662120001
801760,2014-07-17,852.2,858.26,861.42,846.36,3.55124987,65.1171053544
801760,2014-07-18,847.22,849.74,852.15,844.43,2.61428757,44.819270035
801760,2014-07-21,851.14,846.87,853.01,840.79,3.46092679,64.2334428409
801760,2014-07-22,857.01,849.75,857.54,848.31,3.24336117,56.4023792118
801760,2014-07-23,840.01,856.5,856.5,838.63,3.8239816,70.3065075618
801760,2014-07-24,831.02,838.64,840.21,823.24,3.84544057,66.6524795083
801760,2014-07-25,840.75,831.03,840.82,831.03,3.33415608,54.1151403637
