代码,日期,收盘,开盘,最高,最低,成交量,成交额
801050,1999-12-30,1000.0,1000.0,1000.0,1000.0,0.10413133,0.8739785717
801050,2000-01-04,1029.82,1001.82,1036.06,989.75,0.15602007,1.3095181812
801050,2000-01-05,1032.6,1028.39,1066.16,1015.6,0.24158285,1.9918143762
801050,2000-01-06,1071.66,1028.45,1079.77,1017.04,0.28683061,2.3753552601
801050,2000-01-07,1116.23,1077.92,1131.29,1067.68,0.70045207,6.1913730545000005
801050,2000-01-10,1178.55,1152.61,1194.69,1130.51,1.0084288,9.5953122145
801050,2000-01-11,1115.6,1185.33,1204.64,1097.63,0.7079464,6.879110729700001
801050,2000-01-12,1083.88,1110.34,1138.84,1073.64,0.37189761,3.5515571828
801050,2000-01-13,1074.29,1079.17,1104.55,1059.64,0.19816855,1.7260502503
801050,2000-01-14,1060.16,1077.67,1094.1,1050.45,0.16421683,1.4438391268000001
801050,2000-01-17,1088.92,1059.92,1098.71,1047.77,0.2476613,2.4153832016999996
801050,2000-01-18,1083.01,1092.65,1110.72,1065.9,0.26980494,2.3290588252
801050,2000-01-19,1089.33,1080.81,1109.84,1066.52,0.19812738,1.7055195233000002
801050,2000-01-20,1119.08,1092.25,1131.76,1078.12,0.40577607,3.5546330925
801050,2000-01-21,1111.1,1123.13,1150.9,1093.25,0.51188401,5.0514720518
801050,2000-01-24,1126.48,1110.32,1146.68,1080.86,0.52986417,5.411511711699999
801050,2000-01-25,1131.02,1130.07,1162.86,1101.39,0.449174,4.4359352114999995
801050,2000-01-26,1134.4,1134.0,1156.84,1112.44,0.29763167,3.2386941912
801050,2000-01-27,1149.17,1147.72,1180.11,1118.01,0.6222326,8.0288485974
801050,2000-01-28,1168.21,1153.1,1197.13,1128.89,0.59127323,8.0364143475
801050,2000-02-14,1274.65,1210.65,1277.89,1180.33,0.77223425,9.5612511044
801050,2000-02-15,1273.18,1306.14,1350.63,1240.62,1.04404974,13.059120180899999
801050,2000-02-16,1282.95,1273.75,1329.85,1231.8,1.02503361,12.9963558171
801050,2000-02-17,1209.91,1306.5,1352.13,1188.66,1.10119428,13.9952520335
801050,2000-02-18,1218.87,1180.63,1251.75,1150.98,0.55688465,7.5555226029
801050,2000-02-21,1224.73,1226.0,1264.02,1183.79,0.67166279,8.698268366499999
801050,2000-02-22,1181.78,1239.22,1263.05,1170.31,0.57149684,7.3368635418
801050,2000-02-23,1164.12,1165.6,1199.45,1143.35,0.38781658,4.972249478
801050,2000-02-24,1187.91,1170.05,1203.82,1151.76,0.50929314,5.3336756512
801050,2000-02-25,1169.29,1187.93,1197.77,1155.0,0.38288273,4.1606255499
801050,2000-02-28,1209.1,1169.87,1218.39,1149.78,0.46450337,5.568437106799999
801050,2000-02-29,1213.31,1235.71,1255.73,1181.41,0.73988398,9.345249342999999
801050,2000-03-01,1229.49,1223.46,1253.65,1197.8,0.68202605,7.367591567100001
801050,2000-03-02,1229.18,1238.67,1271.91,1198.71,0.79259583,8.6552433971
801050,2000-03-03,1249.45,1238.31,1277.18,1210.83,0.81421794,8.9222826207
801050,2000-03-06,1214.54,1265.28,1302.77,1203.85,0.89055794,9.8593848503
801050,2000-03-07,1225.84,1197.74,1241.49,1179.85,0.48220576,5.162400498399999
801050,2000-03-08,1242.33,1232.8,1264.78,1206.61,0.53413032,6.1106512003999995
801050,2000-03-09,1232.44,1248.72,1266.23,1216.03,0.44067799,4.7416018303
801050,2000-03-10,1211.32,1232.35,1249.43,1199.26,0.43297408,4.3300654639
801050,2000-03-13,1231.01,1205.79,1242.81,1193.65,0.51069604,5.0044501049
801050,2000-03-14,1209.67,1219.46,1238.0,1166.53,0.64619753,6.3617656902999995
801050,2000-03-15,1220.61,1210.75,1243.61,1199.26,0.44436529,4.4354807017
801050,2000-03-16,1164.72,1211.43,1224.33,1150.83,0.39959628,4.0791125846
801050,2000-03-17,1195.14,1161.34,1207.33,1154.51,0.35794857,3.9993937148
801050,2000-03-20,1245.7,1185.3,1256.6,1170.98,0.70354348,8.8564334856
801050,2000-03-21,1255.98,1248.78,1288.49,1224.49,0.86410317,9.5388167889
801050,2000-03-22,1259.59,1257.71,1289.79,1233.7,0.57996615,6.2811652669
801050,2000-03-23,1286.76,1264.25,1302.94,1248.14,0.6786487,8.135224429199999
801050,2000-03-24,1281.59,1304.72,1334.92,1266.47,0.98903503,11.6632551084
801050,2000-03-27,1318.67,1286.57,1330.73,1273.23,0.7777029,8.5961387312
801050,2000-03-28,1335.49,1329.94,1362.85,1304.98,0.88814524,9.6692517177
801050,2000-03-29,1319.11,1338.96,1360.87,1284.77,0.70842494,8.0054413388
801050,2000-03-30,1343.96,1320.53,1359.08,1305.9,0.736692,8.3396818312
801050,2000-03-31,1333.83,1339.28,1367.71,1307.65,0.8261394,9.4794539778
801050,2000-04-03,1340.0,1347.23,1387.09,1318.41,0.87157665,9.7699337106
801050,2000-04-04,1305.0,1332.3,1348.26,1290.37,0.58544557,6.5406569695000005
801050,2000-04-05,1322.83,1301.93,1346.17,1285.33,0.5972901,6.6612602403
801050,2000-04-06,1351.91,1328.07,1366.17,1310.86,0.72872191,8.0302668887
801050,2000-04-07,1350.27,1356.18,1376.49,1328.45,0.6290794,7.018161654
801050,2000-04-10,1358.25,1356.7,1384.62,1332.66,0.94668805,10.1638964178
801050,2000-04-11,1355.34,1358.26,1388.18,1332.49,0.57151994,6.5070271342999995
801050,2000-04-12,1344.69,1352.11,1371.72,1317.84,0.428309,4.8166110733
801050,2000-04-13,1359.82,1346.62,1381.72,1334.79,0.57803577,6.5292737337
801050,2000-04-14,1347.88,1366.22,1376.47,1334.82,0.46985621,5.1719393962
801050,2000-04-17,1310.94,1347.05,1354.51,1297.1,0.52108241,5.5908159603
801050,2000-04-18,1315.82,1331.47,1346.67,1294.15,0.11309413,1.3524693
801050,2000-04-19,1338.6,1328.28,1355.81,1316.11,0.37854728,4.3894929263
801050,2000-04-20,1354.77,1346.66,1377.32,1328.76,0.45960107,5.2215282166
801050,2000-04-21,1351.0,1366.81,1388.37,1335.97,0.60388633,6.9309171670000005
801050,2000-04-24,1357.53,1351.8,1381.07,1327.73,0.64044793,7.0789236042
801050,2000-04-25,1346.18,1361.61,1376.11,1330.67,0.42777586,4.7434212780000005
801050,2000-04-26,1346.03,1351.42,1379.73,1329.77,0.37553533,4.5308462138
801050,2000-04-27,1323.02,1346.64,1363.55,1312.64,0.39135201,4.9292460479
801050,2000-04-28,1350.55,1324.62,1366.02,1308.72,0.34262051,6.125513142999999
801050,2000-05-08,1356.76,1356.66,1383.96,1328.11,0.31315796,5.7221999802
