signal_date,top_n,selected_symbols,selected_names,selected_bucket,selected_themes,selected_count,target_weight_each,selected_momentums,top_sector_symbols,top_sector_momentums,best_sector_symbol,best_sector_momentum,best_defensive_symbol,best_defensive_momentum,reason
2017-02-28,2,159928|512660,消费ETF汇添富|军工ETF国泰,sector,消费|军工,2,0.5,0.06267030|0.04334677,159928|512660,0.06267030|0.04334677,159928,0.06267029972752058,511010,0.00913717864021657,行业/主题 ETF 中选择动量为正的 Top2，入选标的等权持有
2017-03-31,2,159928|512010,消费ETF汇添富|医药ETF易方达,sector,消费|医药,2,0.5,0.10752688|0.09146341,159928|512010,0.10752688|0.09146341,159928,0.10752688172043001,511010,0.0011108334027605249,行业/主题 ETF 中选择动量为正的 Top2，入选标的等权持有
2017-04-28,2,512010|159928,医药ETF易方达|消费ETF汇添富,sector,医药|消费,2,0.5,0.06567164|0.03836317,512010|159928,0.06567164|0.03836317,512010,0.06567164179104457,511010,-0.009442844483828039,行业/主题 ETF 中选择动量为正的 Top2，入选标的等权持有
2017-05-31,2,512010,医药ETF易方达,sector,医药,1,1.0,0.03399433,512010|159928,0.03399433|0.00000000,512010,0.03399433427762033,511010,-0.01711049412893273,行业/主题 ETF 中选择动量为正的 Top2，入选标的等权持有
2017-06-30,2,159928|512010,消费ETF汇添富|医药ETF易方达,sector,消费|医药,2,0.5,0.10591133|0.07002801,159928|512010,0.10591133|0.07002801,159928,0.10591133004926112,511010,-0.00243213776522877,行业/主题 ETF 中选择动量为正的 Top2，入选标的等权持有
2017-07-31,2,159928|512880,消费ETF汇添富|证券ETF国泰,sector,消费|证券,2,0.5,0.08495146|0.07106599,159928|512880,0.08495146|0.07106599,159928,0.08495145631067968,511010,0.0015631288785720177,行业/主题 ETF 中选择动量为正的 Top2，入选标的等权持有
2017-08-31,2,512880|159928,证券ETF国泰|消费ETF汇添富,sector,证券|消费,2,0.5,0.13126253|0.05180180,512880|159928,0.13126253|0.05180180,512880,0.13126252505010028,511010,2.7981942319899034e-05,行业/主题 ETF 中选择动量为正的 Top2，入选标的等权持有
2017-09-29,2,159928|512660,消费ETF汇添富|军工ETF国泰,sector,消费|军工,2,0.5,0.12472160|0.10676157,159928|512660,0.12472160|0.10676157,159928,0.12472160356347439,511010,0.0009431055251043485,行业/主题 ETF 中选择动量为正的 Top2，入选标的等权持有
2017-10-31,2,159928|512010,消费ETF汇添富|医药ETF易方达,sector,消费|医药,2,0.5,0.17987152|0.13079019,159928|512010,0.17987152|0.13079019,159928,0.17987152034261245,511260,-0.004363298777657287,行业/主题 ETF 中选择动量为正的 Top2，入选标的等权持有
2017-11-30,2,512010|159928,医药ETF易方达|消费ETF汇添富,sector,医药|消费,2,0.5,0.07588076|0.06400000,512010|159928,0.07588076|0.06400000,512010,0.07588075880758804,511010,-0.007176877405885018,行业/主题 ETF 中选择动量为正的 Top2，入选标的等权持有
