Order Id,Column,Timestamp,Size,Price,Fees,Side
0,159928,2015-04-01,142450.14245014245,0.3510351,5.000500000000001,Buy
1,512010,2015-04-01,163868.86229377065,0.3050305,4.998500099987723,Buy
2,512010,2015-04-02,71.8492843034619,0.3079692,0.002212736660750972,Sell
3,159928,2015-04-03,474.0974272917374,0.3589641,0.017018395630009397,Sell
4,512010,2015-04-03,620.1730294353276,0.310031,0.019227286448881387,Buy
5,512010,2015-04-07,316.4541974934982,0.31896810000000003,0.01009387941115259,Sell
6,159928,2015-04-08,840.5245515958231,0.3679632,0.03092821036837642,Sell
7,512010,2015-04-08,1306.0441147583606,0.3140314,0.04101388618192914,Buy
8,512010,2015-04-09,109.610724809143,0.3109689,0.003408552652210191,Sell
9,159928,2015-04-10,90.86747351515476,0.3750375,0.003407871009841301,Buy
10,512010,2015-04-10,156.52296662921435,0.32096790000000003,0.0050238847900749015,Sell
11,159928,2015-04-13,131.47586062295696,0.3820382,0.00502288011358587,Buy
12,512010,2015-04-13,2215.0919375458907,0.3359664,0.07441964639263178,Sell
13,159928,2015-04-14,1947.5739324391475,0.3820382,0.07440476395163387,Buy
14,512010,2015-04-14,482.2633027335105,0.33796620000000005,0.016298869582429418,Sell
15,159928,2015-04-15,155.80842751215096,0.3710371,0.005781070709966871,Buy
16,512010,2015-04-15,321.5133968098865,0.3270327,0.010514539424491431,Buy
17,159928,2015-04-16,2216.489569425874,0.3839616,0.08510468814600697,Sell
18,512010,2015-04-16,2593.8768595793267,0.3280328,0.08508766891031883,Buy
19,512010,2015-04-17,535.4847288958554,0.3309669,0.01772277207200017,Sell
20,159928,2015-04-20,1138.7987074858684,0.3819618,0.04349776041489758,Sell
21,512010,2015-04-20,1906.609638247658,0.3210321,0.06120828960467861,Buy
22,159928,2015-04-21,2487.909478116577,0.40095990000000004,0.09975519355546748,Sell
23,512010,2015-04-21,3068.4699072142257,0.3250325,0.09973524451163485,Buy
24,512010,2015-04-22,1959.6872299852257,0.3359664,0.06583890637841083,Sell
25,159928,2015-04-23,1418.4438880065863,0.4050405,0.05745272216201318,Buy
26,512010,2015-04-23,249.91583682731545,0.33503350000000004,0.008373017751765133,Buy
27,512010,2015-04-24,951.4354282738932,0.33796620000000005,0.03215530162391003,Sell
28,159928,2015-04-27,791.7649418956374,0.40604060000000003,0.03214887120662979,Buy
29,512010,2015-04-27,82.74332319767564,0.33996600000000005,0.0028129916614221,Sell
30,159928,2015-04-28,71.73846695289713,0.39203920000000003,0.0028124291193449835,Buy
31,512010,2015-04-28,435.0337918602745,0.329967,0.014354679519875922,Sell
32,159928,2015-04-29,352.7583956930903,0.3980398,0.014041188126999851,Buy
33,512010,2015-04-29,9.271333882640972,0.33503350000000004,0.00031062074403687134,Buy
34,159928,2015-04-30,905.0600473743398,0.40195980000000003,0.03637977556305802,Sell
35,512010,2015-04-30,1088.888127219259,0.33403340000000004,0.036372500335460245,Buy
36,512010,2015-05-04,666.0706435518805,0.3349665,0.0223111352223321,Sell
37,159928,2015-05-05,104.62086343561532,0.3869613,0.004048422532216817,Sell
38,512010,2015-05-05,820.9237135518987,0.3210321,0.026354286370121827,Buy
39,512010,2015-05-06,3243.299061928148,0.3269673,0.10604527373711795,Sell
40,159928,2015-05-07,2281.2362989011453,0.37603759999999997,0.08578306228716692,Buy
41,512010,2015-05-07,628.5397707402238,0.3220322,0.02024100451589561,Buy
42,159928,2015-05-08,517.0240983552649,0.3869613,0.020006831723088116,Sell
43,512010,2015-05-08,607.9279840052506,0.3290329,0.02000283075685161,Buy
44,512010,2015-05-11,850.781172091316,0.34096590000000004,0.02900873680451705,Sell
45,159928,2015-05-12,723.1929085713091,0.4010401,0.029002935637265637,Buy
46,512010,2015-05-12,139.25743718165904,0.3449655,0.00480390114460896,Sell
47,159928,2015-05-13,1300.0646477204573,0.40795919999999997,0.05303733336323195,Sell
48,512010,2015-05-13,1680.9268903821353,0.34403439999999996,0.057829667417649944,Buy
49,512010,2015-05-14,333.89942362354486,0.34196580000000004,0.011418218351896443,Sell
50,159928,2015-05-15,124.56659803949879,0.3990399,0.00497070428250218,Buy
51,512010,2015-05-15,191.23401173429892,0.3370337,0.006445230654065881,Buy
52,512010,2015-05-18,1216.4409803243761,0.34196580000000004,0.04159812129894096,Sell
53,159928,2015-05-19,1019.2559789746616,0.4080408,0.04158980250656441,Buy
54,512010,2015-05-19,80.9519833275117,0.34996499999999997,0.002833036084521263,Sell
55,159928,2015-05-20,68.9096427087076,0.4110411,0.0028324695339598804,Buy
56,512010,2015-05-20,1703.5126750202326,0.359964,0.0613203236550983,Sell
57,159928,2015-05-21,1439.012455952788,0.4260426,0.06130806081660012,Buy
58,159928,2015-05-22,2231.5179449357092,0.4349565,0.0970613235016429,Sell
59,512010,2015-05-22,2629.5991858259954,0.3690369,0.0970419131779181,Buy
60,159928,2015-05-25,503.02661580892163,0.449955,0.022633934091630337,Sell
61,512010,2015-05-25,597.0222966475233,0.3790379,0.02262940775744937,Buy
62,512010,2015-05-26,90.30518628269783,0.3869613,0.003494461228069492,Sell
63,159928,2015-05-27,75.28907466378608,0.4640464,0.0034937624057036487,Buy
64,512010,2015-05-27,378.5795647575869,0.3929607,0.01487668907728367,Sell
65,159928,2015-05-28,342.6780371956409,0.43404339999999997,0.014873714036980346,Buy
66,512010,2015-05-28,79.43035823697574,0.3679632,0.002922744879402395,Sell
67,159928,2015-05-29,67.63583801054078,0.4320432,0.002922160388873607,Buy
68,512010,2015-05-29,2781.753003110498,0.3789621,0.1054178959740061,Sell
69,159928,2015-06-01,2326.407855968452,0.4530453,0.10539681450291027,Buy
70,512010,2015-06-01,590.2690987186506,0.39996000000000004,0.023608402872351154,Sell
71,159928,2015-06-02,617.0610752495995,0.4659534,0.028752170602020677,Sell
72,512010,2015-06-02,1292.4658745676963,0.4050405,0.052350102406762744,Buy
73,512010,2015-06-03,1007.6367646179569,0.40295970000000003,0.04060370083794226,Sell
