name,top_n,lookback_days,rebalance_frequency,init_cash,one_way_cost_rate,total_return,annualized_return,annualized_volatility,max_drawdown,sharpe_like_no_rf,final_value,trade_day_count,total_one_way_turnover,annual_one_way_turnover,total_cost_drag,cash_target_days
bt_minimal_top2_equal_weight,2,42,monthly,100000.0,0.0002,7.290477081675579,0.21109207225264326,0.30498884579968766,-0.461140969765353,0.7808883443396145,829047.708167558,97,65.5,5.931009701760689,0.0131,57
bt_minimal_top3_equal_weight,3,42,monthly,100000.0,0.0002,3.0013235652162527,0.13378159277202406,0.28529434158474015,-0.49860783141189735,0.5833131749686719,400132.35652162525,108,68.0,6.157384117858426,0.013600000000000001,57
buy_hold_510300,0,0,buy_hold,100000.0,0.0,0.7251644167532096,0.050618262522510005,0.2651478746601838,-0.5297225891677673,0.3197701674750324,172516.44167532097,0,0.0,0.0,0.0,0
