symbol,name,sma_window,regime,start,end,years,bh_total_return,bh_annualized_return,bh_max_drawdown,bh_sharpe,bh_calmar,sma_total_return,sma_annualized_return,sma_max_drawdown,sma_sharpe,sma_calmar,excess_total_return,drawdown_improvement,sharpe_delta
159915,创业板ETF易方达,50,全区间,2015-01-05,2026-06-18,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026",1.997893258426989,0.10456457853981416,-0.6957783641160946,0.4621041709979952,0.15028432031319525,2.0400437038433914,0.10596242615809182,-0.4733635933502911,0.5475164215288473,0.2238499699736713,0.04215044541640234,0.22241477076580352,0.08541225053085205
159915,创业板ETF易方达,100,全区间,2015-01-05,2026-06-18,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026",1.997893258426989,0.10456457853981416,-0.6957783641160946,0.4621041709979952,0.15028432031319525,-0.20994100328022336,-0.021119307187983938,-0.7235787978922131,0.02384882868072458,-0.029187294112962586,-2.2078342617072124,-0.027800433776118516,-0.43825534231727065
159915,创业板ETF易方达,150,全区间,2015-01-05,2026-06-18,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026",1.997893258426989,0.10456457853981416,-0.6957783641160946,0.4621041709979952,0.15028432031319525,0.6188084526098248,0.04459852757492788,-0.5020565655166969,0.3088908367148223,0.08883167881497343,-1.3790848058171643,0.19372179859939775,-0.1532133342831729
159915,创业板ETF易方达,200,全区间,2015-01-05,2026-06-18,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026",1.997893258426989,0.10456457853981416,-0.6957783641160946,0.4621041709979952,0.15028432031319525,1.052255954767122,0.0672905257964993,-0.47764176102940437,0.40567965586497245,0.1408807421936391,-0.9456373036598671,0.21813660308669025,-0.05642451513302277
159915,创业板ETF易方达,250,全区间,2015-01-05,2026-06-18,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026",1.997893258426989,0.10456457853981416,-0.6957783641160946,0.4621041709979952,0.15028432031319525,1.878833461881479,0.10051735931857575,-0.34941104957408353,0.5580058313976632,0.28767653295767814,-0.11905979654551002,0.3463673145420111,0.09590166039966802
159915,创业板ETF易方达,50,上涨趋势期,2015-01-05,2026-06-18,"2015,2019,2020,2025,2026",7.691965902178488,0.6539429876666099,-0.5691292875989447,1.4737873953358769,1.1490236083710945,3.511388705744997,0.41987291879802147,-0.21578103897332335,1.4305800999449034,1.9458286084623482,-4.180577196433491,0.3533482486256213,-0.043207295390973455
159915,创业板ETF易方达,100,上涨趋势期,2015-01-05,2026-06-18,"2015,2019,2020,2025,2026",7.691965902178488,0.6539429876666099,-0.5691292875989447,1.4737873953358769,1.1490236083710945,0.5308063472530704,0.10415116654822643,-0.502506414650385,0.5014078632142305,0.207263357266173,-7.161159554925417,0.06662287294855962,-0.9723795321216464
159915,创业板ETF易方达,150,上涨趋势期,2015-01-05,2026-06-18,"2015,2019,2020,2025,2026",7.691965902178488,0.6539429876666099,-0.5691292875989447,1.4737873953358769,1.1490236083710945,2.3060393151862275,0.3207974255742574,-0.2234646553641617,1.2293616650118449,1.4355622595057844,-5.385926586992261,0.34566463223478294,-0.24442573032403203
159915,创业板ETF易方达,200,上涨趋势期,2015-01-05,2026-06-18,"2015,2019,2020,2025,2026",7.691965902178488,0.6539429876666099,-0.5691292875989447,1.4737873953358769,1.1490236083710945,2.382475084808131,0.3278407806530954,-0.21034742541561613,1.2157937225255124,1.558568069018812,-5.3094908173703566,0.3587818621833285,-0.25799367281036445
159915,创业板ETF易方达,250,上涨趋势期,2015-01-05,2026-06-18,"2015,2019,2020,2025,2026",7.691965902178488,0.6539429876666099,-0.5691292875989447,1.4737873953358769,1.1490236083710945,2.155682668723161,0.3065695083297315,-0.2637585302991041,1.199341417775612,1.1623112548514714,-5.536283233455327,0.30537075729984053,-0.2744459775602648
