total_return,annualized_return,annualized_volatility,max_drawdown,sharpe_like_no_rf,segment_key,segment_name,segment_start,segment_end,actual_start,actual_end,trading_days,strategy_key,strategy_name,window_label,lookback_days,top_n
0.2444651727639937,0.03285297724740066,0.3614358284628378,-0.5210124267046802,0.2711453739897499,in_sample,样本内,2015-01-05,2021-12-31,2015-01-05,2021-12-31,1705,top1_3m,Top1 3m,3m,63,1
-0.255171838469457,-0.0665500565607321,0.352702297222617,-0.6134001429419487,-0.018153584583285053,out_of_sample,样本外,2022-01-01,2026-06-18,2022-01-04,2026-06-18,1078,top1_3m,Top1 3m,3m,63,1
-0.4693905346530869,-0.11686740735732526,0.36937098840889787,-0.7362262466327607,-0.15083121224094312,full_universe,完整ETF池期,2021-03-02,2026-06-18,2021-03-02,2026-06-18,1285,top1_3m,Top1 3m,3m,63,1
1.4665511409528929,0.08518471791751936,0.296930518924814,-0.5303756451841646,0.4248289293280434,full_sample,全样本,2015-01-05,2026-06-18,2015-01-05,2026-06-18,2783,top2_3m,Top2 3m,3m,63,2
1.5591387334779636,0.14899068396213333,0.3010563184873256,-0.4150787039319308,0.6132449961036042,in_sample,样本内,2015-01-05,2021-12-31,2015-01-05,2021-12-31,1705,top2_3m,Top2 3m,3m,63,2
-0.034994674743835885,-0.008292566521395761,0.290327770350637,-0.4647479270031125,0.11691305931058919,out_of_sample,样本外,2022-01-01,2026-06-18,2022-01-04,2026-06-18,1078,top2_3m,Top2 3m,3m,63,2
0.1484695080484184,0.027519247733318597,0.2989899681192312,-0.5303756451841645,0.24063690347545041,full_universe,完整ETF池期,2021-03-02,2026-06-18,2021-03-02,2026-06-18,1285,top2_3m,Top2 3m,3m,63,2
1.5892058240967266,0.08996395697183712,0.27283130754605367,-0.4505748779042891,0.45301569026891514,full_sample,全样本,2015-01-05,2026-06-18,2015-01-05,2026-06-18,2783,top3_3m,Top3 3m,3m,63,3
1.6670820052136253,0.156028191772573,0.2776725934188439,-0.4033902026952192,0.6621780927580359,in_sample,样本内,2015-01-05,2021-12-31,2015-01-05,2021-12-31,1705,top3_3m,Top3 3m,3m,63,3
-0.04089183530408669,-0.009712597608373952,0.26494571198123956,-0.3943697568143354,0.09594048718426076,out_of_sample,样本外,2022-01-01,2026-06-18,2022-01-04,2026-06-18,1078,top3_3m,Top3 3m,3m,63,3
