date,close,ret,fwd_20d,fwd_60d,fwd_120d,fwd_250d,fixed_state,fixed_label,refit_state,refit_label,fixed_prob_bear,fixed_prob_sideways,fixed_prob_bull
2016-05-16,3095.309,0.6603976778460693,0.006803521070109619,0.047824627525070884,0.10399995606254486,0.12610986496017018,1,sideways,1,sideways,0.001251223288589025,0.9959848168999116,0.0027639598114992683
2016-05-17,3086.025,-0.3003884592239452,0.002802958498391961,0.0477426462844599,0.11154251828808892,0.1278051862833256,1,sideways,1,sideways,0.002609840048222466,0.9940383090154993,0.003351850936278306
2016-05-18,3068.036,-0.5846237545055482,0.013794166691655452,0.07372729655062704,0.11793668653170952,0.13847588489835205,1,sideways,1,sideways,0.0037687158877823842,0.9929128031270928,0.0033184809851248428
2016-05-19,3062.5,-0.1806041594004373,0.016383346938775523,0.10805681632653052,0.11986677551020408,0.14211853061224478,1,sideways,1,sideways,0.0031110226814873836,0.9931922660509767,0.003696711267535989
2016-05-20,3078.218,0.5119282249031365,0.00912865820419495,0.09746775569501587,0.11640403636129726,0.13263810425382494,1,sideways,1,sideways,0.0023853812212142776,0.991667087864943,0.005947530913842634
2016-05-23,3087.223,0.29211232102538665,0.015139172000208534,0.09258320503572293,0.10696732953855292,0.12358388104778961,1,sideways,1,sideways,0.002279273853667997,0.9917346608814663,0.005986065264865582
2016-05-24,3063.556,-0.7695648568241505,0.017548561214484115,0.0982286597666242,0.12324076987657473,0.1401397591557001,1,sideways,1,sideways,0.004378586745549923,0.9915612193379388,0.004060193916511352
2016-05-25,3059.226,-0.1414389969084802,0.005860632722133108,0.09995796322337736,0.13373905687255538,0.15515231630484294,1,sideways,1,sideways,0.0032085311424200442,0.992776035632371,0.004015433225208906
2016-05-26,3064.211,0.16281709442734407,0.01838417785198221,0.08895732049783778,0.133971844628193,0.16211938407635773,1,sideways,1,sideways,0.0025449588349580306,0.9927521274398722,0.004702913725169868
2016-05-27,3062.499,-0.055886439689784365,0.024131273185721946,0.09121015223188644,0.13918078014066282,0.16772936089122004,1,sideways,1,sideways,0.002601469948860875,0.9929964880645721,0.004402041986567031
2016-05-30,3066.71,0.13740763816540946,0.027612653299464274,0.08580954834333854,0.14823312279282996,0.1655451607749021,1,sideways,1,sideways,0.00242143853284803,0.9927980698903038,0.004780491576848126
2016-05-31,3169.56,3.2987451271738975,-0.004934123348351194,0.04398465402137841,0.11532231603124732,0.13020955590050343,1,sideways,0,bear,0.024815547744565458,0.4815361038864164,0.493648348369018
2016-06-01,3160.547,-0.28476631092248555,-0.002008196682409813,0.04636634101628623,0.12766555915795585,0.11857188012075115,1,sideways,0,bear,0.014338337372789677,0.7388620035817417,0.24679965904546855
2016-06-02,3167.1,0.20712287972736673,0.011870796627829971,0.044419500489406794,0.11711060591708522,0.1142032142969911,1,sideways,0,bear,0.005973011673496073,0.8702135514915476,0.12381343683495637
2016-06-03,3189.326,0.6993266524797312,0.005661697800726451,0.038459850137615215,0.1178023193615203,0.10329298416028965,1,sideways,0,bear,0.0031989386474040363,0.9109431871450292,0.08585787420756671
2016-06-06,3178.788,-0.33096171390947243,0.011959275044450823,0.04687509830790848,0.1101573933209763,0.11793079626574654,1,sideways,0,bear,0.0034440079533533596,0.9650018371664836,0.03155415488016306
2016-06-07,3177.054,-0.05456397572566752,0.010355505446240532,0.03919448646450463,0.0920201545205086,0.11628382772216028,1,sideways,0,bear,0.002879729871696248,0.9829056286727517,0.014214641455552103
2016-06-08,3163.986,-0.4121727193210791,0.008942517444767484,0.047449008939989046,0.09328960368345496,0.13399838052380764,1,sideways,0,bear,0.0033747192615132334,0.9897591089066311,0.006866171831855679
2016-06-13,3066.341,-3.1347631021303486,0.04467507038519192,0.08261931729054273,0.13351613535480888,0.17088836499267357,1,sideways,0,bear,0.36344501594093914,0.6192062952184202,0.017348688840640544
2016-06-14,3075.983,0.3139530874574774,0.06410926198226696,0.0866854595750366,0.128141150324953,0.1777968213738501,1,sideways,1,sideways,0.11681781851021124,0.8675983509911269,0.015583830498661704
2016-06-15,3116.368,1.3043696193472276,0.05342757979802126,0.07202262377228874,0.12108069393601784,0.17704070892782897,1,sideways,1,sideways,0.037757320251732104,0.9300317175719478,0.03221096217632005
2016-06-16,3094.675,-0.6985328618319467,0.05883945810141622,0.07913238062155137,0.10162747299797226,0.1874316366015818,1,sideways,1,sideways,0.019336964056443424,0.9682933106724402,0.012369725271116318
2016-06-17,3110.357,0.5054618054664187,0.05334468036948814,0.06677272094489473,0.09474121459369456,0.17226639900178653,1,sideways,1,sideways,0.006076096140761977,0.9833222518193089,0.010601652039929152
2016-06-20,3112.674,0.07446532427900023,0.047980610883118446,0.04816758838220769,0.085544133436396,0.1786740275403078,1,sideways,1,sideways,0.0033330365189950437,0.9896544708955148,0.0070124925854902175
2016-06-21,3106.318,-0.20440618714567008,0.04568624332730886,0.04958120836308444,0.07536768611584521,0.1804322673982508,1,sideways,1,sideways,0.0030411271206551593,0.992056072331892,0.004902800547452902
2016-06-22,3133.961,0.8859597724304548,0.03307124753626489,0.03343021818076242,0.06766835962540707,0.16493025918318716,1,sideways,1,sideways,0.002490354361386816,0.9879736231400739,0.009536022498539378
2016-06-23,3117.317,-0.5325003728609828,0.043372554026427146,0.04677323480416007,0.0679000563625709,0.16124988251114658,1,sideways,1,sideways,0.003572251322781056,0.9911837240409058,0.00524402463631312
2016-06-24,3077.155,-1.2967227155126126,0.048098649564289,0.05857618482006899,0.07536474438239216,0.18930635603341384,1,sideways,1,sideways,0.0096316628363832,0.9861959211132927,0.004172416050324138
2016-06-27,3120.544,1.4001876785143654,0.03535953987509877,0.04681619615041477,0.06985705056554248,0.17290350656808573,1,sideways,1,sideways,0.005180555555782217,0.9773899111925761,0.017429533251641555
2016-06-28,3136.401,0.5068618614471333,0.042464914403483656,0.04933042681723432,0.0635349242651051,0.16564463536390917,1,sideways,1,sideways,0.0028665281712597535,0.9839535048606302,0.01317996696811019
2016-06-29,3151.39,0.4767661136444848,0.021213813587020347,0.0394356141258303,0.049568285740578144,0.1593890315067319,1,sideways,1,sideways,0.002344257403771887,0.9870243319380301,0.010631410658198143
2016-06-30,3153.921,0.08028153205888512,0.021311884476497678,0.021041427480269936,0.053419220075582086,0.16388742774470266,1,sideways,1,sideways,0.0024163420376923637,0.9905558072138702,0.007027850748437386
2016-07-01,3154.2,0.008845740282463243,0.01576627988079382,0.02744118952507768,0.05141874326295115,0.15998478219516854,1,sideways,1,sideways,0.0024982353543317776,0.9920892225087119,0.005412542136956241
2016-07-04,3204.696,1.5882336008525504,-0.008701917436162332,0.008173630197684911,0.030328305711368575,0.1504744911841871,1,sideways,1,sideways,0.0034879724073179916,0.9711290854980775,0.025382942094604368
2016-07-05,3207.383,0.08381057554916414,-0.005714939562877275,0.011537131674016043,0.02817935993300469,0.15455310450919035,1,sideways,1,sideways,0.0027155779192644786,0.9844397888623074,0.012844633218428086
2016-07-06,3216.804,0.29329802365900276,-0.00724228146943362,0.01134075933752876,0.02899679309028458,0.13888132444500823,1,sideways,1,sideways,0.0023631572715083955,0.988574952281277,0.009061890447214642
2016-07-07,3209.954,-0.21317132507499068,-0.0026994156302551087,0.02614211917055509,0.041207132563270354,0.1424403589584149,1,sideways,1,sideways,0.0027896138601426423,0.9916386625790155,0.005571723560841886
2016-07-08,3192.28,-0.552121178248215,0.004019071008808828,0.0357979249940481,0.055143032566065564,0.16836461713884732,1,sideways,1,sideways,0.0037312648641625898,0.9922561134351902,0.0040126217006471385
2016-07-11,3203.33,0.3455498692128425,0.009631539679021639,0.030181092800304787,0.05134001180022052,0.16999622268077275,1,sideways,1,sideways,0.002560256596488704,0.9920970925424477,0.005342650861063513
2016-07-12,3273.182,2.1571706719474797,-0.004949617833655329,0.009001638161275638,0.02275614371580925,0.13913555677625022,1,sideways,1,sideways,0.0062514090493470354,0.927018406288521,0.06673018466213188
2016-07-13,3282.868,0.29548301332015386,-0.012040386637537703,0.006999976849510814,0.024683599827955316,0.14030445330119878,1,sideways,1,sideways,0.0032727526189006524,0.9627055980056639,0.0340216493754355
2016-07-14,3276.764,-0.18610805489784343,-0.013245995134223865,0.0003402747344636303,0.024874540857992677,0.13513179466083014,1,sideways,1,sideways,0.0030460352609398846,0.9826790728869763,0.014274891852083808
2016-07-15,3276.278,-0.01483280592102243,0.0054806093988362115,0.013751580299351973,0.01776924912965261,0.13097484401506843,1,sideways,1,sideways,0.0026951916440325855,0.9892834495621813,0.00802135879378607
2016-07-18,3262.022,-0.4360773470599692,0.040282377004201786,0.01662128581597555,0.01704525597926687,0.13800428078044846,1,sideways,1,sideways,0.003362999195809397,0.9917637045431882,0.004873296261002416
2016-07-19,3248.234,-0.42357844653736054,0.040025133657242584,0.021664079619879484,0.022066759968647487,0.14581985164861888,1,sideways,1,sideways,0.003538885434924955,0.992560246890162,0.003900867674913093
2016-07-20,3237.605,-0.3277605107169835,0.04183431888695499,0.027840023721238394,0.025278253523823846,0.154517922970838,1,sideways,1,sideways,0.00334888129165331,0.9929576849466653,0.0036934337616814326
2016-07-21,3252.523,0.45971439308260637,0.034423123218498386,0.03537407729322739,0.02270022379549652,0.15921793635279435,1,sideways,1,sideways,0.0024434377929719604,0.9918681690356808,0.005688393171347223
2016-07-22,3225.162,-0.8447821318732187,0.04336464338845625,0.0441196442225229,0.03541000421064111,0.16609739293716097,1,sideways,1,sideways,0.0048282105808442445,0.9911976629893259,0.003974126429829788
2016-07-25,3230.885,0.17729119689038425,0.03278049203236888,0.03835326853168719,0.03045728956617144,0.15380955991934098,1,sideways,1,sideways,0.002914874416687864,0.9923494353544566,0.004735690228855508
2016-07-26,3269.588,1.1907889574307435,0.02209513859238532,0.023277244717071266,0.026089219803840713,0.13395938570853572,1,sideways,1,sideways,0.0027807730994710424,0.983601786553499,0.013617440347030113
