strategy_key,strategy_name,window_label,lookback_days,top_n,full_annualized_return,full_max_drawdown,is_annualized_return,is_max_drawdown,is_sharpe_like_no_rf,oos_annualized_return,oos_max_drawdown,oos_sharpe_like_no_rf,full_universe_annualized_return,full_universe_max_drawdown,annualized_return_oos_minus_is,max_drawdown_oos_minus_is,sharpe_oos_minus_is,stability_flag
top1_6m,Top1 6m,6m,126,1,0.2248606016705732,-0.4581035887592667,0.2654981064139892,-0.40181799461300816,0.8370308726277779,0.1768819217523001,-0.4077314112446867,0.6356126399185249,0.25760205062367203,-0.4581035887592667,-0.08861618466168908,-0.0059134166316785475,-0.20141823270925296,样本外有所退化
top1_2m,Top1 2m,2m,42,1,0.28594976932888483,-0.4728234383157832,0.37779203109413206,-0.3657794057714052,1.0287863063736122,0.15573872504824537,-0.3889413535191546,0.5775236462129164,0.16593139223313513,-0.4728234383157832,-0.2220533060458867,-0.02316194774774938,-0.4512626601606958,样本外明显退化
top1_9m,Top1 9m,9m,189,1,0.13116560906335262,-0.5898130446616332,0.16230893291560555,-0.5782948101228007,0.5958210393315038,0.09002383317642737,-0.48143397156590717,0.4188591338900789,0.09306156690003609,-0.5898130446616333,-0.07228509973917818,0.09686083855689354,-0.17696190544142487,基本稳定
top1_12m,Top1 12m,12m,252,1,0.07476950778358615,-0.7182033908649332,0.12908018377232233,-0.4711743469508365,0.5354899725333545,4.425018106846146e-05,-0.651910722784991,0.18135062863810478,-0.050687356793162164,-0.7182033908649333,-0.12903593359125387,-0.18073637583415447,-0.3541393438952497,样本外有所退化
top1_3m,Top1 3m,3m,63,1,-0.00800939422550151,-0.8046472943498663,0.03285297724740066,-0.5210124267046802,0.2711453739897499,-0.0665500565607321,-0.6134001429419487,-0.018153584583285053,-0.11686740735732526,-0.7362262466327607,-0.09940303380813276,-0.09238771623726849,-0.28929895857303495,样本外有所退化
top1_1m,Top1 1m,1m,21,1,0.10068584966952687,-0.7016279504620715,0.278263913609164,-0.356744385119547,0.8844546855275486,-0.12914493146251926,-0.620251655063399,-0.22191338660224363,0.008993107115385701,-0.7016279504620715,-0.4074088450716833,-0.263507269943852,-1.1063680721297922,样本外明显退化
top2_9m,Top2 9m,9m,189,2,0.11156317873088106,-0.4822158351269771,0.12887375348747887,-0.4822158351269771,0.5909282257903541,0.09415117571930187,-0.3751549087901058,0.44359150099249345,0.1208361149701429,-0.45207347551662647,-0.034722577768177,0.10706092633687125,-0.14733672479786064,基本稳定
top2_2m,Top2 2m,2m,42,2,0.2081357050431778,-0.4605813684692449,0.28883498588357504,-0.3776006123503226,0.9970940065178606,0.0935697399922486,-0.3676146953496714,0.4436637053740049,0.12662115347665304,-0.4605813684692449,-0.19526524589132643,0.009985917000651212,-0.5534303011438557,样本外明显退化
top2_6m,Top2 6m,6m,126,2,0.15124903774558507,-0.4344090503904182,0.21417775230219704,-0.3118751949243045,0.8255594234423196,0.06753257743368124,-0.3919016077437909,0.3704233868710577,0.12484577899434401,-0.4344090503904182,-0.1466451748685158,-0.08002641281948641,-0.4551360365712619,样本外有所退化
top2_3m,Top2 3m,3m,63,2,0.08518471791751936,-0.5303756451841646,0.14899068396213333,-0.4150787039319308,0.6132449961036042,-0.008292566521395761,-0.4647479270031125,0.11691305931058919,0.027519247733318597,-0.5303756451841645,-0.1572832504835291,-0.04966922307118171,-0.49633193679301496,样本外明显退化
top2_12m,Top2 12m,12m,252,2,0.10714820732450225,-0.5511054235403627,0.19818939166105487,-0.3498307677471618,0.8545407088616755,-0.0224541593644505,-0.5511054235403627,0.06503385804879688,0.050800448980841795,-0.5511054235403627,-0.22064355102550537,-0.20127465579320092,-0.7895068508128786,样本外明显退化
top2_1m,Top2 1m,1m,21,2,0.07943257915030122,-0.6210763600161968,0.20473300440458186,-0.3796172007024935,0.8245624008996112,-0.08959725469673652,-0.5505792484376388,-0.18429775012506885,0.005201286112198833,-0.6210763600161968,-0.2943302591013184,-0.17096204773514534,-1.00886015102468,样本外明显退化
top3_9m,Top3 9m,9m,189,3,0.11634985187120628,-0.4079416025934971,0.15919048496922117,-0.4079416025934971,0.7409011809212734,0.05617064130858651,-0.32333401440656484,0.33425696299686364,0.10908407032582446,-0.3829488441016652,-0.10301984366063466,0.08460758818693226,-0.4066442179244098,样本外有所退化
top3_6m,Top3 6m,6m,126,3,0.12999729956134254,-0.42356525955009694,0.1979142347919043,-0.3118751949243046,0.8293638215610096,0.03710833429136717,-0.4093376590957428,0.27016918384087263,0.09309393200188198,-0.42356525955009694,-0.1608059005005371,-0.09746246417143822,-0.559194637720137,样本外明显退化
top3_2m,Top3 2m,2m,42,3,0.127647782919744,-0.49786239701410173,0.19196339456875355,-0.3776006123503226,0.7611127363070267,0.03673064148381999,-0.40653612722836063,0.26880161374190076,0.06436678516245853,-0.49786239701410173,-0.15523275308493356,-0.028935514878038027,-0.49231112256512594,样本外明显退化
top3_3m,Top3 3m,3m,63,3,0.08996395697183712,-0.4505748779042891,0.156028191772573,-0.4033902026952192,0.6621780927580359,-0.009712597608373952,-0.3943697568143354,0.09594048718426076,0.04195882077277191,-0.4505748779042891,-0.16574078938094694,0.009020445880883798,-0.5662376055737751,样本外明显退化
top3_12m,Top3 12m,12m,252,3,0.08638161546850198,-0.5418351415248301,0.16545283120010112,-0.3595502688206723,0.7917480139486892,-0.025827829007873393,-0.5361375187829875,0.025909115392973258,0.04256359430317014,-0.5418351415248303,-0.19128066020797452,-0.17658724996231523,-0.765838898555716,样本外明显退化
top3_1m,Top3 1m,1m,21,3,0.03796943818357823,-0.6896844793287291,0.17975849575987812,-0.4229061562338323,0.7858584050464652,-0.14886681279308456,-0.5964158081769788,-0.5045685452188264,-0.08401237617403146,-0.6896844793287291,-0.3286253085529627,-0.1735096519431465,-1.2904269502652916,样本外明显退化
