strategy,signal_date,trade_date,selected_symbols,selected_momentum,market_volatility,high_volatility,bond_weight,target_weights
momentum_baseline,2018-03-16,2018-03-19,512010|159915,0.14921466|0.14247670,0.19455679448370602,False,0.0,512010:0.500000|159915:0.500000
momentum_baseline,2018-04-17,2018-04-18,512660|512010,0.06030151|0.01138952,0.22170785130835682,False,0.0,512660:0.500000|512010:0.500000
momentum_baseline,2018-05-17,2018-05-18,512010|159928,0.13288288|0.09107807,0.1993618230175575,False,0.0,512010:0.500000|159928:0.500000
momentum_baseline,2018-06-14,2018-06-15,159928|512010,0.03577513|-0.01590457,0.18907756332355943,False,0.0,159928:0.500000|512010:0.500000
momentum_baseline,2018-07-13,2018-07-16,512010|512660,0.01212121|0.00140647,0.3215184189937537,False,0.0,512010:0.500000|512660:0.500000
momentum_baseline,2018-08-10,2018-08-13,512800|512880,0.04008909|-0.02029770,0.27664774238809847,False,0.0,512800:0.500000|512880:0.500000
momentum_baseline,2018-09-07,2018-09-10,512660|512800,0.05131965|-0.00856531,0.2315559325555549,False,0.0,512660:0.500000|512800:0.500000
momentum_baseline,2018-10-15,2018-10-16,512800|159928,0.00215983|0.00203666,0.3909532551638396,False,0.0,512800:0.500000|159928:0.500000
momentum_baseline,2018-11-12,2018-11-13,512880|512980,0.20285261|0.10628019,0.42003405927278664,False,0.0,512880:0.500000|512980:0.500000
momentum_baseline,2018-12-10,2018-12-11,159928|512980,0.02690583|0.00291121,0.2590295364524318,False,0.0,159928:0.500000|512980:0.500000
momentum_baseline,2019-01-09,2019-01-10,512880|512660,0.03421053|0.01860465,0.20563596902259848,False,0.0,512880:0.500000|512660:0.500000
momentum_baseline,2019-02-13,2019-02-14,159928|510300,0.14879650|0.12787927,0.18374159278487046,False,0.0,159928:0.500000|510300:0.500000
momentum_baseline,2019-03-13,2019-03-14,512980|512880,0.29741379|0.24851367,0.41254523714695246,False,0.0,512980:0.500000|512880:0.500000
momentum_baseline,2019-04-11,2019-04-12,159928|510300,0.17162872|0.08955696,0.29486922163228635,False,0.0,159928:0.500000|510300:0.500000
momentum_baseline,2019-05-14,2019-05-15,159928|512800,0.00149477|-0.05056180,0.3585385999348874,False,0.0,159928:0.500000|512800:0.500000
momentum_baseline,2019-06-12,2019-06-13,512400|159928,0.09278351|0.04179104,0.23786161563779348,False,0.0,512400:0.500000|159928:0.500000
momentum_baseline,2019-07-10,2019-07-11,512690|512010,0.46666667|0.07853403,0.21490769295202342,False,0.0,512690:0.500000|512010:0.500000
momentum_baseline,2019-08-07,2019-08-08,512400|512480,0.04942339|-0.00407332,0.149405632379306,False,0.0,512400:0.500000|512480:0.500000
momentum_baseline,2019-09-04,2019-09-05,512690|512480,0.39869281|0.26175869,0.16773623393360346,False,0.0,512690:0.500000|512480:0.500000
momentum_baseline,2019-10-10,2019-10-11,512170|512800,0.05882353|0.03435115,0.14145839718707248,False,0.0,512170:0.500000|512800:0.500000
momentum_baseline,2019-11-07,2019-11-08,512010|512170,0.07300885|0.06763285,0.13723556088684288,False,0.0,512010:0.500000|512170:0.500000
momentum_baseline,2019-12-05,2019-12-06,512480|512400,0.09688013|0.03500000,0.1290985173607575,False,0.0,512480:0.500000|512400:0.500000
