date,close,ret,fwd_20d,fwd_60d,fwd_120d,fwd_250d,fixed_state,fixed_label,refit_state,refit_label,fixed_prob_bear,fixed_prob_sideways,fixed_prob_bull
2016-05-16,3095.309,0.6603976778460693,0.006803521070109619,0.047824627525070884,0.10399995606254486,0.12610986496017018,1,sideways,1,sideways,0.0018765672566346983,0.9832586448064828,0.014864787936882375
2016-05-17,3086.025,-0.3003884592239452,0.002802958498391961,0.0477426462844599,0.11154251828808892,0.1278051862833256,1,sideways,1,sideways,0.0028047468100678478,0.9844404638806127,0.01275478930931949
2016-05-18,3068.036,-0.5846237545055482,0.013794166691655452,0.07372729655062704,0.11793668653170952,0.13847588489835205,1,sideways,1,sideways,0.003377834757784479,0.9854562478733987,0.011165917368816811
2016-05-19,3062.5,-0.1806041594004373,0.016383346938775523,0.10805681632653052,0.11986677551020408,0.14211853061224478,1,sideways,1,sideways,0.0031453594657903676,0.9860029252350502,0.010851715299159386
2016-05-20,3078.218,0.5119282249031365,0.00912865820419495,0.09746775569501587,0.11640403636129726,0.13263810425382494,1,sideways,1,sideways,0.00313723936781947,0.9837256998555962,0.013137060776584377
2016-05-23,3087.223,0.29211232102538665,0.015139172000208534,0.09258320503572293,0.10696732953855292,0.12358388104778961,1,sideways,1,sideways,0.0030723232170180347,0.983239642551658,0.013688034231324026
2016-05-24,3063.556,-0.7695648568241505,0.017548561214484115,0.0982286597666242,0.12324076987657473,0.1401397591557001,1,sideways,1,sideways,0.0038349827928713023,0.9845343688096306,0.01163064839749793
2016-05-25,3059.226,-0.1414389969084802,0.005860632722133108,0.09995796322337736,0.13373905687255538,0.15515231630484294,1,sideways,1,sideways,0.0032927788344060366,0.9854507250246054,0.011256496140988554
2016-05-26,3064.211,0.16281709442734407,0.01838417785198221,0.08895732049783778,0.133971844628193,0.16211938407635773,1,sideways,1,sideways,0.0030449305759470686,0.9850747474092564,0.011880322014796637
2016-05-27,3062.499,-0.055886439689784365,0.024131273185721946,0.09121015223188644,0.13918078014066282,0.16772936089122004,1,sideways,1,sideways,0.0029996874370567628,0.9854222402428531,0.011578072320090184
2016-05-30,3066.71,0.13740763816540946,0.027612653299464274,0.08580954834333854,0.14823312279282996,0.1655451607749021,1,sideways,1,sideways,0.0029538536359495025,0.985062589396203,0.011983556967847577
2016-05-31,3169.56,3.2987451271738975,-0.004934123348351194,0.04398465402137841,0.11532231603124732,0.13020955590050343,1,sideways,1,sideways,0.05808330260885998,0.8165724384945221,0.12534425889661804
2016-06-01,3160.547,-0.28476631092248555,-0.002008196682409813,0.04636634101628623,0.12766555915795585,0.11857188012075115,1,sideways,1,sideways,0.02720517012853939,0.8840321934157593,0.08876263645570133
2016-06-02,3167.1,0.20712287972736673,0.011870796627829971,0.044419500489406794,0.11711060591708522,0.1142032142969911,1,sideways,1,sideways,0.013452202256909563,0.9181447934974151,0.06840300424567537
2016-06-03,3189.326,0.6993266524797312,0.005661697800726451,0.038459850137615215,0.1178023193615203,0.10329298416028965,1,sideways,1,sideways,0.008870733830668023,0.9280929854336619,0.06303628073567005
2016-06-06,3178.788,-0.33096171390947243,0.011959275044450823,0.04687509830790848,0.1101573933209763,0.11793079626574654,1,sideways,1,sideways,0.006727115286628014,0.9505600922888151,0.042712792424556896
