symbol,name,sma_window,start,end,bars,total_return,annualized_return,max_drawdown,sharpe,calmar,trades,time_in_market,fee_rate
159915,创业板ETF,50,2023-01-02,2024-12-31,522,-0.23434031204239825,-0.12115998738276057,-0.34061170814359343,-0.6586096360417601,-0.3557129261442843,37,0.3218390804597701,0.001
159915,创业板ETF,100,2023-01-02,2024-12-31,522,-0.1727786139155909,-0.08766389989868772,-0.2562543324807771,-0.5642900308347084,-0.34209724007403397,18,0.20689655172413793,0.001
159915,创业板ETF,150,2023-01-02,2024-12-31,522,-0.26892150205914733,-0.14058802154433958,-0.29257351176921975,-1.084384769350551,-0.48052204279939936,18,0.17624521072796934,0.001
159915,创业板ETF,200,2023-01-02,2024-12-31,522,-0.044285989046823016,-0.02167101280366368,-0.23876732935764533,-0.13393454353017953,-0.09076205217005655,6,0.12452107279693486,0.001
159915,创业板ETF,250,2023-01-02,2024-12-31,522,-0.20599893001310698,-0.10557291777217515,-0.20599893001310698,-1.5529431314419944,-0.5124925540412172,6,0.040229885057471264,0.001
510300,沪深300ETF,50,2023-01-02,2024-12-31,522,-0.14786811075631612,-0.07447708692329758,-0.20043363911927625,-0.657424749001398,-0.3715797769803348,38,0.38122605363984674,0.001
510300,沪深300ETF,100,2023-01-02,2024-12-31,522,-0.12356802847579373,-0.06180385164820712,-0.16175039377957723,-0.6276108558524477,-0.382093979520256,17,0.30268199233716475,0.001
510300,沪深300ETF,150,2023-01-02,2024-12-31,522,-0.026596838092762698,-0.012954035003974629,-0.08476202975161873,-0.0926646743210622,-0.15282827749564648,11,0.29310344827586204,0.001
510300,沪深300ETF,200,2023-01-02,2024-12-31,522,-0.03552405223411759,-0.01734293006018317,-0.10338997534570571,-0.1419995001755831,-0.1677428590363186,11,0.2796934865900383,0.001
510300,沪深300ETF,250,2023-01-02,2024-12-31,522,-0.0818710327717318,-0.040473302293877356,-0.114760346207754,-0.4430430407885777,-0.3526767183205195,11,0.21839080459770116,0.001
511010,国债ETF,50,2023-01-02,2024-12-31,522,0.009817457362989668,0.004736583402853878,-0.02862254046962598,0.22436043723576454,0.16548438137000115,25,0.4885057471264368,0.001
511010,国债ETF,100,2023-01-02,2024-12-31,522,0.0008380044996370017,0.0004052427405178971,-0.04510234145322711,0.02908399232405454,0.008984960147538008,19,0.4942528735632184,0.001
511010,国债ETF,150,2023-01-02,2024-12-31,522,-0.006462721483235789,-0.003131155260027829,-0.048723213965652046,-0.12889980219129002,-0.06426413623360665,15,0.4846743295019157,0.001
511010,国债ETF,200,2023-01-02,2024-12-31,522,-0.03180432168169056,-0.01551165701122914,-0.04764963425874813,-0.7868017718671081,-0.32553569932976584,17,0.39080459770114945,0.001
511010,国债ETF,250,2023-01-02,2024-12-31,522,-0.04101329574176815,-0.020052032134774356,-0.055518711957386,-1.1527125955079944,-0.36117610491694246,23,0.31226053639846746,0.001
