symbol,name,sma_window,regime,start,end,days,years_included,bh_total_return,bh_annualized_return,bh_max_drawdown,bh_sharpe,bh_calmar,sma_total_return,sma_annualized_return,sma_max_drawdown,sma_sharpe,sma_calmar,excess_total_return,drawdown_improvement,trades,time_in_market
159915,创业板ETF易方达,50,趋势期,2015-01-05,2026-06-18,2054,"2015,2016,2018,2019,2020,2022,2023,2025,2026",1.6770113241271454,0.12841099429613378,-0.6519215954394004,0.522636936165934,0.19697306423724734,1.3888280051818227,0.11275238725272141,-0.4345123495874147,0.6001335475406937,0.2594917897265381,-0.2881833189453227,0.21740924585198573,138,0.502921129503408
159915,创业板ETF易方达,50,上涨趋势期,2015-01-05,2026-06-18,1083,"2015,2019,2020,2025,2026",7.691965902178488,0.6539429876666099,-0.5691292875989447,1.4737873953358769,1.1490236083710945,3.511388705744997,0.41987291879802147,-0.21578103897332335,1.4305800999449034,1.9458286084623482,-4.180577196433491,0.3533482486256213,57,0.6823638042474608
159915,创业板ETF易方达,50,下跌趋势期,2016-01-04,2023-12-29,971,"2016,2018,2022,2023",-0.6920131355489794,-0.26335088322001987,-0.678998361110167,-0.9460420811359483,-0.3878520160040436,-0.4704894299753465,-0.15211253264065572,-0.5020592534606865,-1.1788342152496611,-0.302977251374507,0.22152370557363288,0.1769391076494805,81,0.3027806385169928
159915,创业板ETF易方达,50,震荡期,2017-01-03,2024-12-31,728,"2017,2021,2024",0.11986573661747624,0.039965626924974185,-0.25504107542942467,0.2787707928551609,0.15670270703525765,0.27260886813490615,0.08702756713649773,-0.2550410754294248,0.43841634940071234,0.3412296117006458,0.1527431315174299,-1.1102230246251565e-16,35,0.48214285714285715
159915,创业板ETF易方达,50,最差年份,2022-01-04,2022-12-30,242,2022,-0.29179614667495324,-0.3018214868319661,-0.3386176284083703,-1.137059654301627,-0.8913342410749261,-0.0622504020550968,-0.06473764896156542,-0.19117808264362013,-0.4504587529816313,-0.33862484687768574,0.22954574461985644,0.14743954576475016,18,0.2892561983471074
159915,创业板ETF易方达,100,趋势期,2015-01-05,2026-06-18,2054,"2015,2016,2018,2019,2020,2022,2023,2025,2026",1.6770113241271454,0.12841099429613378,-0.6519215954394004,0.522636936165934,0.19697306423724734,-0.19860834874528233,-0.026798059003895425,-0.7042503852870116,-0.01705422162219822,-0.03805189115086404,-1.8756196728724277,-0.052328789847611135,93,0.46932814021421615
159915,创业板ETF易方达,100,上涨趋势期,2015-01-05,2026-06-18,1083,"2015,2019,2020,2025,2026",7.691965902178488,0.6539429876666099,-0.5691292875989447,1.4737873953358769,1.1490236083710945,0.5308063472530704,0.10415116654822643,-0.502506414650385,0.5014078632142305,0.207263357266173,-7.161159554925417,0.06662287294855962,50,0.6795937211449676
159915,创业板ETF易方达,100,下跌趋势期,2016-01-04,2023-12-29,971,"2016,2018,2022,2023",-0.6920131355489794,-0.26335088322001987,-0.678998361110167,-0.9460420811359483,-0.3878520160040436,-0.4764905092712999,-0.15461693881573546,-0.42359471077182587,-1.3019476866024247,-0.3650114953843738,0.21552262627767949,0.2554036503383411,43,0.23480947476828012
159915,创业板ETF易方达,100,震荡期,2017-01-03,2024-12-31,728,"2017,2021,2024",0.11986573661747624,0.039965626924974185,-0.25504107542942467,0.2787707928551609,0.15670270703525765,-0.014141218612892081,-0.004917845506188789,-0.2668125614016368,0.11491311380548115,-0.018431836493582047,-0.13400695523036832,-0.011771485972212115,32,0.46565934065934067
159915,创业板ETF易方达,100,最差年份,2022-01-04,2022-12-30,242,2022,-0.29179614667495324,-0.3018214868319661,-0.3386176284083703,-1.137059654301627,-0.8913342410749261,-0.037902363784164006,-0.03943728758849574,-0.10129685807150657,-0.29895300142835085,-0.38932389749597685,0.25389378289078923,0.23732077033686372,2,0.2190082644628099
159915,创业板ETF易方达,150,趋势期,2015-01-05,2026-06-18,2054,"2015,2016,2018,2019,2020,2022,2023,2025,2026",1.6770113241271454,0.12841099429613378,-0.6519215954394004,0.522636936165934,0.19697306423724734,0.7333434765552138,0.06981367140297356,-0.45774471534680417,0.4449886771963691,0.15251660819301904,-0.9436678475719316,0.19417688009259626,71,0.4620253164556962
159915,创业板ETF易方达,150,上涨趋势期,2015-01-05,2026-06-18,1083,"2015,2019,2020,2025,2026",7.691965902178488,0.6539429876666099,-0.5691292875989447,1.4737873953358769,1.1490236083710945,2.3060393151862275,0.3207974255742574,-0.2234646553641617,1.2293616650118449,1.4355622595057844,-5.385926586992261,0.34566463223478294,14,0.7220683287165282
159915,创业板ETF易方达,150,下跌趋势期,2016-01-04,2023-12-29,971,"2016,2018,2022,2023",-0.6920131355489794,-0.26335088322001987,-0.678998361110167,-0.9460420811359483,-0.3878520160040436,-0.47570391295919146,-0.15428746512151614,-0.42578708880084726,-1.7999808922395553,-0.36235825176390163,0.2163092225897879,0.2532112723093197,57,0.17198764160659114
159915,创业板ETF易方达,150,震荡期,2017-01-03,2024-12-31,728,"2017,2021,2024",0.11986573661747624,0.039965626924974185,-0.25504107542942467,0.2787707928551609,0.15670270703525765,-0.06607751175376464,-0.023385921376490426,-0.25504107542942467,0.04233277999055165,-0.0916947253971324,-0.18594324837124088,0.0,28,0.4684065934065934
159915,创业板ETF易方达,150,最差年份,2022-01-04,2022-12-30,242,2022,-0.29179614667495324,-0.3018214868319661,-0.3386176284083703,-1.137059654301627,-0.8913342410749261,-0.15644647664195888,-0.16235606717248163,-0.15644647664195888,-2.3557937348648426,-1.0377738806099632,0.13534967003299436,0.1821711517664114,16,0.09090909090909091
159915,创业板ETF易方达,200,趋势期,2015-01-05,2026-06-18,2054,"2015,2016,2018,2019,2020,2022,2023,2025,2026",1.6770113241271454,0.12841099429613378,-0.6519215954394004,0.522636936165934,0.19697306423724734,1.1143601586502112,0.09621407683732475,-0.4167707031265431,0.5639323810601966,0.23085614251564007,-0.5626511654769342,0.23515089231285735,46,0.44790652385589097
159915,创业板ETF易方达,200,上涨趋势期,2015-01-05,2026-06-18,1083,"2015,2019,2020,2025,2026",7.691965902178488,0.6539429876666099,-0.5691292875989447,1.4737873953358769,1.1490236083710945,2.382475084808131,0.3278407806530954,-0.21034742541561613,1.2157937225255124,1.558568069018812,-5.3094908173703566,0.3587818621833285,16,0.7571560480147738
159915,创业板ETF易方达,200,下跌趋势期,2016-01-04,2023-12-29,971,"2016,2018,2022,2023",-0.6920131355489794,-0.26335088322001987,-0.678998361110167,-0.9460420811359483,-0.3878520160040436,-0.37490739602294976,-0.11479837460386477,-0.31174756222995204,-1.527448183556399,-0.36824145081585885,0.3171057395260296,0.36725079888021495,30,0.10298661174047374
159915,创业板ETF易方达,200,震荡期,2017-01-03,2024-12-31,728,"2017,2021,2024",0.11986573661747624,0.039965626924974185,-0.25504107542942467,0.2787707928551609,0.15670270703525765,-0.029372575731245965,-0.010266675971339678,-0.3022603298916502,0.09373324156625865,-0.033966336154731006,-0.1492383123487222,-0.047219254462225524,27,0.4423076923076923
159915,创业板ETF易方达,200,最差年份,2022-01-04,2022-12-30,242,2022,-0.29179614667495324,-0.3018214868319661,-0.3386176284083703,-1.137059654301627,-0.8913342410749261,-0.04880795525170911,-0.050772740626702006,-0.029506658211794434,-1.4554826659159277,-1.7207214813098377,0.24298819142324413,0.30911097019657585,1,0.008264462809917356
