total_return,annualized_return,annualized_volatility,max_drawdown,sharpe_like_no_rf,strategy_key,strategy_name,window_label,lookback_days,top_n,order_count,cash_target_days,single_asset_target_days,multi_asset_target_days,risk_on_signals,defensive_signals,cash_signals
1.8848009710122877,0.10068584966952687,0.34677316864562424,-0.7016279504620715,0.4504165992883026,top1_1m,Top1 1m,1m,21,1,217,155,2628,0,123,8,7
1.3259466516407947,0.07943257915030122,0.27682714889755256,-0.6210763600161968,0.4150771447146294,top2_1m,Top2 1m,1m,21,2,4045,155,396,2232,123,8,7
0.5091649128153533,0.03796943818357823,0.2525116644727009,-0.6896844793287291,0.2745557909555729,top3_1m,Top3 1m,1m,21,3,5673,155,396,2232,123,8,7
15.07799051698543,0.28594976932888483,0.37705559765561797,-0.4728234383157832,0.8560032085789259,top1_2m,Top1 2m,2m,42,1,159,57,2726,0,130,6,2
7.069698924361342,0.2081357050431778,0.3035751051174634,-0.4605813684692449,0.7750433376052053,top2_2m,Top2 2m,2m,42,2,4155,57,402,2324,130,6,2
2.7686481059547874,0.127647782919744,0.2839686883264098,-0.49786239701410173,0.5655860090369511,top3_2m,Top3 2m,2m,42,3,5686,57,402,2324,130,6,2
-0.08497975022150683,-0.00800939422550151,0.35805039661164856,-0.8046472943498663,0.15751589392972748,top1_3m,Top1 3m,3m,63,1,141,78,2705,0,126,9,3
1.4665511409528929,0.08518471791751936,0.296930518924814,-0.5303756451841646,0.4248289293280434,top2_3m,Top2 3m,3m,63,2,4027,78,445,2260,126,9,3
1.5892058240967266,0.08996395697183712,0.27283130754605367,-0.4505748779042891,0.45301569026891514,top3_3m,Top3 3m,3m,63,3,5589,78,445,2260,126,9,3
8.39287134518161,0.2248606016705732,0.3579996325578171,-0.4581035887592667,0.746471558837594,top1_6m,Top1 6m,6m,126,1,91,142,2641,0,120,12,6
3.7373139802151654,0.15124903774558507,0.28728843228606443,-0.4344090503904182,0.6350780342596856,top2_6m,Top2 6m,6m,126,2,3962,142,420,2221,120,12,6
2.856277981664355,0.12999729956134254,0.2637501061394272,-0.42356525955009694,0.5959603185931023,top3_6m,Top3 6m,6m,126,3,5459,142,420,2221,120,12,6
2.900538609445687,0.13116560906335262,0.36511636130661207,-0.5898130446616332,0.5205379837750602,top1_9m,Top1 9m,9m,189,1,67,200,2583,0,119,10,9
2.2157385706360575,0.11156317873088106,0.28509782863251937,-0.4822158351269771,0.5139611985043084,top2_9m,Top2 9m,9m,189,2,3835,200,420,2163,119,10,9
2.3720191459164472,0.11634985187120628,0.2576629151553729,-0.4079416025934971,0.5564087614469448,top3_9m,Top3 9m,9m,189,3,5159,200,420,2163,119,10,9
1.217357105203852,0.07476950778358615,0.34066099598959654,-0.7182033908649332,0.3827971703031257,top1_12m,Top1 12m,12m,252,1,71,264,2519,0,114,12,12
2.0774640586197686,0.10714820732450225,0.2637740181048987,-0.5511054235403627,0.5183753561594195,top2_12m,Top2 12m,12m,252,2,3978,264,282,2237,114,12,12
1.4967619878135268,0.08638161546850198,0.23786787053650021,-0.5418351415248301,0.46770897734358347,top3_12m,Top3 12m,12m,252,3,5444,264,282,2237,114,12,12
