symbol,name,sma_window,trade_number,entry_date,exit_date,entry_close,exit_close,days_held,total_return,peak_return,giveback_from_peak,max_drawdown,false_breakout,lagging_stop,open_trade
159915,创业板ETF易方达,50,1,2015-03-23,2015-06-26,2.206,2.767,67,0.2988270294604032,0.7809724568844558,-0.27072031662269147,-0.27072031662269147,False,True,False
159915,创业板ETF易方达,50,2,2015-10-13,2016-01-04,2.226,2.306,59,0.036560246752142644,0.23570333406182375,-0.16115768390385987,-0.16115768390385987,False,True,False
159915,创业板ETF易方达,50,3,2016-03-21,2016-04-21,2.116,2.003,23,-0.037087256493329224,0.06446522868246696,-0.09540235081374326,-0.09540235081374326,False,False,False
159915,创业板ETF易方达,50,4,2016-04-25,2016-04-26,2.023,2.054,2,0.005843870531575757,0.005843870531575757,0.0,0.0,False,False,False
159915,创业板ETF易方达,50,5,2016-04-27,2016-05-09,2.041,1.955,8,-0.05013798509045564,0.029148258175751618,-0.07704064272211719,-0.07704064272211719,True,False,False
159915,创业板ETF易方达,50,6,2016-06-01,2016-06-14,2.067,1.967,8,-0.05120054825431164,0.018312691813143323,-0.06826315789473669,-0.06826315789473669,True,False,False
159915,创业板ETF易方达,50,7,2016-06-23,2016-07-28,2.051,2.044,26,-0.007351299916603771,0.06462565883830873,-0.06760776255707746,-0.06760776255707746,False,False,False
159915,创业板ETF易方达,50,8,2016-08-16,2016-08-23,2.105,2.084,6,-0.011009010899258098,0.0032762751549364477,-0.014238636363636203,-0.018939393939393923,True,False,False
159915,创业板ETF易方达,50,9,2016-08-25,2016-08-26,2.088,2.095,2,-0.0034275193159694073,-0.0034275193159694073,0.0,0.0,True,False,False
159915,创业板ETF易方达,50,10,2016-08-30,2016-09-01,2.104,2.084,3,-0.010079929800085985,0.0004278914802475775,-0.010503326996197604,-0.010503326996197604,True,False,False
159915,创业板ETF易方达,50,11,2016-09-07,2016-09-13,2.114,2.055,5,-0.03624367275805429,-0.0010066225165563658,-0.035272556390977594,-0.035272556390977594,True,False,False
159915,创业板ETF易方达,50,12,2016-10-11,2016-10-31,2.118,2.071,15,-0.024606373681663407,-0.001471920717319608,-0.023168555240793087,-0.023168555240793087,True,False,False
159915,创业板ETF易方达,50,13,2016-11-16,2016-11-18,2.091,2.07,3,-0.011077045509728545,-4.260411680212517e-05,-0.011034911525586,-0.011034911525586,True,False,False
159915,创业板ETF易方达,50,14,2016-11-23,2016-11-24,2.075,2.054,2,-0.017323970601485494,-0.006273250239693051,-0.011120481927710979,-0.011120481927710979,True,False,False
159915,创业板ETF易方达,50,15,2016-12-01,2016-12-05,2.089,2.055,3,-0.01965147859542893,-0.002434034416826103,-0.01725945428434661,-0.01725945428434661,True,False,False
159915,创业板ETF易方达,50,16,2017-02-27,2017-03-03,1.847,1.849,5,-0.007369639608943768,-0.005842936789169695,-0.0015356756756756962,-0.004864864864864926,True,False,False
159915,创业板ETF易方达,50,17,2017-03-06,2017-03-31,1.883,1.826,20,-0.014388452647251637,0.02387193979205926,-0.03736833773087023,-0.043271767810026174,True,False,False
