rebalance_frequency,avg_annualized_return,median_annualized_return,avg_max_drawdown,avg_sharpe_like,avg_trade_count,best_annualized_return,worst_annualized_return
biweekly,0.17530834350676514,0.17164566159930816,-0.5647256155067049,0.6157135646444777,104.16666666666667,0.2747993516471374,0.08683867943022583
monthly,0.171272896312159,0.18938080310102612,-0.6231508906225581,0.60705638689118,68.66666666666667,0.25743775512494227,0.023428143578934302
weekly,0.16056113063994917,0.14893535048251827,-0.5778376394193917,0.5847835422731645,151.66666666666666,0.23284600375968134,0.10189201138366033
quarterly,0.12251556457198054,0.12423427315527891,-0.5848908973875769,0.49814792734385965,32.5,0.19018585930834053,0.03573349034116502
