symbol,name,sma_window,scenario,commission_rate,slippage_rate,one_way_cost,trade_count,turnover_per_year,time_in_market,gross_total_return,net_total_return,cost_drag_vs_gross,bh_total_return,excess_vs_bh,net_annualized_return,net_max_drawdown,net_sharpe,net_calmar,bh_max_drawdown,bh_sharpe
159915,创业板ETF易方达,50,no_cost,0.0,0.0,0.0,173,15.670740474478793,0.4974838245866283,2.6141123282801444,2.6141123282801444,0.0,1.997893258426989,0.6162190698531553,0.12342757820120931,-0.4391300096462538,0.6148542212788254,0.28107297495026085,-0.6957783641160946,0.4621041709979952
159915,创业板ETF易方达,50,a_share_etf_low,0.0001,0.0001,0.0002,173,15.670740474478793,0.4974838245866283,2.6141123282801444,2.491268828344144,-0.12284349993600019,1.997893258426989,0.49337556991715514,0.11991402488425429,-0.44614749334565784,0.6013987914929299,0.26877664152054204,-0.6957783641160946,0.4621041709979952
159915,创业板ETF易方达,50,a_share_etf_mid,0.0003,0.0002,0.0005,173,15.670740474478793,0.4974838245866283,2.6141123282801444,2.3147450179620384,-0.29936731031810604,1.997893258426989,0.3168517595350493,0.11466297894799249,-0.45651200045778106,0.5812035898973242,0.2511718833962979,-0.6957783641160946,0.4621041709979952
159915,创业板ETF易方达,50,a_share_etf_high,0.0005,0.0005,0.001,173,15.670740474478793,0.4974838245866283,2.6141123282801444,2.0400437038433914,-0.574068624436753,1.997893258426989,0.04215044541640234,0.10596242615809182,-0.4733635933502911,0.5475164215288473,0.2238499699736713,-0.6957783641160946,0.4621041709979952
159915,创业板ETF易方达,50,previous_0_10pct,0.001,0.0,0.001,173,15.670740474478793,0.4974838245866283,2.6141123282801444,2.0400437038433914,-0.574068624436753,1.997893258426989,0.04215044541640234,0.10596242615809182,-0.4733635933502911,0.5475164215288473,0.2238499699736713,-0.6957783641160946,0.4621041709979952
159915,创业板ETF易方达,100,no_cost,0.0,0.0,0.0,125,11.322789360172537,0.46836808051761325,-0.10457127628652663,-0.10457127628652663,0.0,1.997893258426989,-2.1024645347135156,-0.009955173047603072,-0.7090211438209417,0.0726178164868957,-0.014040728029568015,-0.6957783641160946,0.4621041709979952
159915,创业板ETF易方达,100,a_share_etf_low,0.0001,0.0001,0.0002,125,11.322789360172537,0.46836808051761325,-0.10457127628652663,-0.12670478785641892,-0.022133511569892295,1.997893258426989,-2.124598046283408,-0.012197242132562347,-0.711991562341179,0.06286298896025361,-0.017131161066649768,-0.6957783641160946,0.4621041709979952
159915,创业板ETF易方达,100,a_share_etf_mid,0.0003,0.0002,0.0005,125,11.322789360172537,0.46836808051761325,-0.10457127628652663,-0.15889138383115786,-0.054320107544631235,1.997893258426989,-2.156784642258147,-0.015551667665238522,-0.7163915297798257,0.048231346662184885,-0.021708335482439525,-0.6957783641160946,0.4621041709979952
159915,创业板ETF易方达,100,a_share_etf_high,0.0005,0.0005,0.001,125,11.322789360172537,0.46836808051761325,-0.10457127628652663,-0.20994100328022336,-0.10536972699369673,1.997893258426989,-2.2078342617072124,-0.021119307187983938,-0.7235787978922131,0.02384882868072458,-0.029187294112962586,-0.6957783641160946,0.4621041709979952
159915,创业板ETF易方达,100,previous_0_10pct,0.001,0.0,0.001,125,11.322789360172537,0.46836808051761325,-0.10457127628652663,-0.20994100328022336,-0.10536972699369673,1.997893258426989,-2.2078342617072124,-0.021119307187983938,-0.7235787978922131,0.02384882868072458,-0.029187294112962586,-0.6957783641160946,0.4621041709979952
159915,创业板ETF易方达,150,no_cost,0.0,0.0,0.0,99,8.96764917325665,0.46369518332135157,0.7873568196154641,0.7873568196154641,0.0,1.997893258426989,-1.210536438811525,0.05401278765764528,-0.47595752171990624,0.35040134919215854,0.11348237015451766,-0.6957783641160946,0.4621041709979952
