version,name,top_n,lookback_days,total_return,annualized_return,annualized_volatility,max_drawdown,sharpe_like_no_rf,final_value,order_count,total_fees,annual_traded_value_ratio,cash_target_days,single_asset_target_days,multi_asset_target_days,risk_on_signals,defensive_signals,cash_signals
原 Top1 42日,vectorbt_top1_rotation,,42,15.07799051698543,0.2859497693288848,0.3770555976556179,-0.4728234383157832,0.8560032085789258,1607799.051698543,159,9460.04811894583,85.66051476732345,57,,,,,
原 Top2 42日,vectorbt_top2_equal_weight_rotation,2.0,42,7.069698924361342,0.2081357050431778,0.3035751051174634,-0.4605813684692449,0.775043337605207,806969.8924361342,4155,5215.79619993469,47.22891276980077,57,402.0,2324.0,,,
原 Top3 42日,vectorbt_top3_equal_weight_rotation,3.0,42,2.7686481059547874,0.127647782919744,0.2839686883264098,-0.4978623970141017,0.5655860090369501,376864.8105954788,5686,3378.6973059602974,30.59402519231168,57,402.0,2324.0,,,
风险过滤 Top1 42日,vectorbt_top1_risk_filter_42d,1.0,42,15.07799051698543,0.28594976932888483,0.37705559765561797,-0.4728234383157832,0.8560032085789258,1607799.051698543,159,9460.04811894583,85.66051476732345,57,2726.0,0.0,130.0,6.0,2.0
风险过滤 Top2 42日,vectorbt_top2_risk_filter_42d,2.0,42,7.069698924361342,0.2081357050431778,0.3035751051174634,-0.4605813684692449,0.775043337605207,806969.8924361342,4155,5215.79619993469,47.22891276980077,57,402.0,2324.0,130.0,6.0,2.0
风险过滤 Top3 42日,vectorbt_top3_risk_filter_42d,3.0,42,2.7686481059547874,0.127647782919744,0.2839686883264098,-0.49786239701410173,0.5655860090369501,376864.81059547875,5686,3378.6973059602974,30.594025192311676,57,402.0,2324.0,130.0,6.0,2.0
