date,close,ma,ma60,ma60_slope,mom,amt_qtl,margin_chg,rv_qtl,sc_position,sc_momentum,sc_amount,sc_margin,sc_volatility,score,label_raw,label_v2,label,escape_on
2002-01-04,1316.455,,,,,,,,0,0,0,0,0,0.0,中性,中性,中性,False
2002-01-07,1302.084,,,,,,,,0,0,0,0,0,0.0,中性,中性,中性,False
2002-01-08,1292.714,,,,,,,,0,0,0,0,0,0.0,中性,中性,中性,False
2002-01-09,1272.645,,,,,,,,0,0,0,0,0,0.0,中性,中性,中性,False
2002-01-10,1281.261,,,,,,,,0,0,0,0,0,0.0,中性,中性,中性,False
2002-01-11,1249.814,,,,,,,,0,0,0,0,0,0.0,中性,中性,中性,False
2002-01-14,1205.146,,,,,,,,0,0,0,0,0,0.0,中性,中性,中性,False
2002-01-15,1186.433,,,,,,,,0,0,0,0,0,0.0,中性,中性,中性,False
2002-01-16,1201.877,,,,,,,,0,0,0,0,0,0.0,中性,中性,中性,False
2002-01-17,1152.148,,,,,,,,0,0,0,0,0,0.0,中性,中性,中性,False
2002-01-18,1149.483,,,,,,,,0,0,0,0,0,0.0,中性,中性,中性,False
2002-01-21,1108.61,,,,,,,,0,0,0,0,0,0.0,中性,中性,中性,False
2002-01-22,1109.994,,,,,,,,0,0,0,0,0,0.0,中性,中性,中性,False
2002-01-23,1183.154,,,,,,,,0,0,0,0,0,0.0,中性,中性,中性,False
2002-01-24,1189.583,,,,,,,,0,0,0,0,0,0.0,中性,中性,中性,False
2002-01-25,1189.428,,,,,,,,0,0,0,0,0,0.0,中性,中性,中性,False
2002-01-28,1112.835,,,,,,,,0,0,0,0,0,0.0,中性,中性,中性,False
2002-01-29,1140.377,,,,,,,,0,0,0,0,0,0.0,中性,中性,中性,False
2002-01-30,1145.855,,,,,,,,0,0,0,0,0,0.0,中性,中性,中性,False
2002-01-31,1221.76,,,,,,,,0,0,0,0,0,0.0,中性,中性,中性,False
2002-02-01,1215.743,,,,,,,,0,0,0,0,0,0.0,中性,中性,中性,False
2002-02-04,1236.969,,,,,,,,0,0,0,0,0,0.0,中性,中性,中性,False
2002-02-05,1246.842,,,,,,,,0,0,0,0,0,0.0,中性,中性,中性,False
2002-02-06,1216.788,,,,,,,,0,0,0,0,0,0.0,中性,中性,中性,False
2002-02-07,1241.023,,,,,,,,0,0,0,0,0,0.0,中性,中性,中性,False
2002-02-08,1235.092,,,,,,,,0,0,0,0,0,0.0,中性,中性,中性,False
2002-02-25,1254.611,,,,,,,,0,0,0,0,0,0.0,中性,中性,中性,False
2002-02-26,1253.121,,,,,,,,0,0,0,0,0,0.0,中性,中性,中性,False
2002-02-27,1255.997,,,,,,,,0,0,0,0,0,0.0,中性,中性,中性,False
2002-02-28,1244.603,,,,,,,,0,0,0,0,0,0.0,中性,中性,中性,False
2002-03-01,1227.229,,,,,,,,0,0,0,0,0,0.0,中性,中性,中性,False
2002-03-04,1245.867,,,,,,,,0,0,0,0,0,0.0,中性,中性,中性,False
2002-03-05,1275.614,,,,,,,,0,0,0,0,0,0.0,中性,中性,中性,False
2002-03-06,1288.444,,,,,,,,0,0,0,0,0,0.0,中性,中性,中性,False
2002-03-07,1328.388,,,,,,,,0,0,0,0,0,0.0,中性,中性,中性,False
2002-03-08,1351.854,,,,,,,,0,0,0,0,0,0.0,中性,中性,中性,False
2002-03-11,1377.037,,,,,,,,0,0,0,0,0,0.0,中性,中性,中性,False
2002-03-12,1362.404,,,,,,,,0,0,0,0,0,0.0,中性,中性,中性,False
2002-03-13,1343.138,,,,,,,,0,0,0,0,0,0.0,中性,中性,中性,False
2002-03-14,1376.329,,,,,,,,0,0,0,0,0,0.0,中性,中性,中性,False
2002-03-15,1338.702,,,,,,,,0,0,0,0,0,0.0,中性,中性,中性,False
2002-03-18,1341.907,,,,,,,,0,0,0,0,0,0.0,中性,中性,中性,False
2002-03-19,1368.378,,,,,,,,0,0,0,0,0,0.0,中性,中性,中性,False
2002-03-20,1382.417,,,,,,,,0,0,0,0,0,0.0,中性,中性,中性,False
2002-03-21,1385.79,,,,,,,,0,0,0,0,0,0.0,中性,中性,中性,False
2002-03-22,1369.901,,,,,,,,0,0,0,0,0,0.0,中性,中性,中性,False
2002-03-25,1373.012,,,,,,,,0,0,0,0,0,0.0,中性,中性,中性,False
2002-03-26,1350.009,,,,,,,,0,0,0,0,0,0.0,中性,中性,中性,False
2002-03-27,1354.098,,,,,,,,0,0,0,0,0,0.0,中性,中性,中性,False
2002-03-28,1352.533,,,,,,,,0,0,0,0,0,0.0,中性,中性,中性,False
2002-03-29,1313.466,,,,,,,,0,0,0,0,0,0.0,中性,中性,中性,False
2002-04-01,1317.579,,,,,,,,0,0,0,0,0,0.0,中性,中性,中性,False
2002-04-02,1296.574,,,,,,,,0,0,0,0,0,0.0,中性,中性,中性,False
2002-04-03,1302.248,,,,,,,,0,0,0,0,0,0.0,中性,中性,中性,False
2002-04-04,1337.728,,,,,,,,0,0,0,0,0,0.0,中性,中性,中性,False
2002-04-05,1332.201,,,,,,,,0,0,0,0,0,0.0,中性,中性,中性,False
2002-04-08,1333.705,,,,,,,,0,0,0,0,0,0.0,中性,中性,中性,False
2002-04-09,1357.742,,,,,,,,0,0,0,0,0,0.0,中性,中性,中性,False
2002-04-10,1366.716,,,,,,,,0,0,0,0,0,0.0,中性,中性,中性,False
2002-04-11,1344.734,,1275.1364833333332,,,,,,0,0,0,0,0,0.0,中性,中性,中性,False
2002-04-12,1350.689,,1275.70705,,,,,,0,0,0,0,0,0.0,中性,中性,中性,False
2002-04-15,1344.581,,1276.4153333333334,,,,,,0,0,0,0,0,0.0,中性,中性,中性,False
2002-04-16,1341.502,,1277.2284666666667,,,,,,0,0,0,0,0,0.0,中性,中性,中性,False
2002-04-17,1341.766,,1278.3804833333334,,,,,,0,0,0,0,0,0.0,中性,中性,中性,False
2002-04-18,1326.546,,1279.1352333333334,,,,,,0,0,0,0,0,0.0,中性,中性,中性,False
2002-04-19,1330.642,,1280.4823666666666,,,,,,0,0,0,0,0,0.0,中性,中性,中性,False
2002-04-22,1324.867,,1282.4777166666668,,,,,,0,0,0,0,0,0.0,中性,中性,中性,False
2002-04-23,1318.661,,1284.6815166666668,,,,,,0,0,0,0,0,0.0,中性,中性,中性,False
2002-04-24,1309.727,,1286.4790166666667,,,,,,0,0,0,0,0,0.0,中性,中性,中性,False
2002-04-25,1312.483,,1289.1512666666667,,,,,,0,0,0,0,0,0.0,中性,中性,中性,False
2002-04-26,1331.714,,1292.18845,,,,,,0,0,0,0,0,0.0,中性,中性,中性,False
2002-04-29,1349.785,,1296.2080333333333,,,,,,0,0,0,0,0,0.0,中性,中性,中性,False
2002-04-30,1353.607,,1300.26825,,,,,,0,0,0,0,0,0.0,中性,中性,中性,False
2002-05-08,1342.292,,1302.92055,,,,,,0,0,0,0,0,0.0,中性,中性,中性,False
2002-05-09,1344.783,,1305.5072166666666,,,,,,0,0,0,0,0,0.0,中性,中性,中性,False
2002-05-10,1335.451,,1307.9409333333335,,,,,,0,0,0,0,0,0.0,中性,中性,中性,False
2002-05-13,1319.814,,1311.3905833333333,,,,,,0,0,0,0,0,0.0,中性,中性,中性,False
2002-05-14,1311.68,,1314.2456333333332,,,,,,0,0,0,0,0,0.0,中性,中性,中性,False
