scenario,avg_annualized_return,avg_max_drawdown,avg_sharpe_like,avg_cost_drag_vs_no_cost,avg_annualized_drag_vs_no_cost
base_0_02pct,0.20724441909726887,-0.4770890679330433,0.732210851740361,-0.29137857246518273,-0.0033343300430079084
high_0_10pct,0.19400056714399697,-0.4906621791302375,0.6975779225541109,-1.370849799780893,-0.016578181996279806
mid_0_05pct,0.20226078122260813,-0.4822311048967225,0.7192287611641088,-0.7118781288934456,-0.008317967917668664
no_cost,0.21057874914027677,-0.4736264680275011,0.7408628910146712,0.0,0.0
severe_0_20pct,0.17764924780439376,-0.5070164384217354,0.6542280248624094,-2.5456502257505895,-0.032929501335883016
