name,lookback_days,rebalance_frequency,init_cash,fee_rate,slippage,total_return,annualized_return,annualized_volatility,max_drawdown,sharpe_like_no_rf,final_value,order_count,total_fees,total_order_value,annual_traded_value_ratio,cash_target_days
vectorbt_top1_rotation,42,monthly,100000.0,0.0001,0.0001,15.07799051698543,0.28594976932888483,0.37705559765561797,-0.4728234383157832,0.8560032085789258,1607799.051698543,159,9460.04811894583,94600481.18946871,85.66051476732345,57
buy_hold_510300,0,buy_hold,100000.0,0.0,0.0,0.7251644167532096,0.050618262522510005,0.2651478746601838,-0.5297225891677673,0.31977016747503234,172516.44167532097,0,0.0,0.0,0.0,0
