symbol,name,sma_window,total_return,annualized_return,max_drawdown,sharpe,calmar,trades,time_in_market,fee_rate
159915,创业板ETF易方达,50,2.0400437038433914,0.10600248011389479,-0.4733635933502911,0.5475164215288473,0.22393458559761376,173,0.4974838245866283,0.001
159915,创业板ETF易方达,100,-0.20994100328022336,-0.021126820538463487,-0.7235787978922131,0.02384882868072458,-0.029197677709747672,125,0.46836808051761325,0.001
159915,创业板ETF易方达,150,0.6188084526098248,0.044614916980161734,-0.5020565655166969,0.3088908367148223,0.08886432335417388,99,0.46369518332135157,0.001
159915,创业板ETF易方达,200,1.052255954767122,0.06731551903904087,-0.47764176102940437,0.40567965586497245,0.14093306852810306,73,0.4464414090582315,0.001
159915,创业板ETF易方达,250,1.878833461881479,0.10055526287972527,-0.34941104957408353,0.5580058313976632,0.2877850113850081,45,0.4094176851186197,0.001
510300,沪深300ETF华泰柏瑞,50,0.5637657092437789,0.041330336800909695,-0.3176323937688983,0.32865909584342035,0.13012003061306354,173,0.5328781890046712,0.001
510300,沪深300ETF华泰柏瑞,100,-0.1395534660996448,-0.013522602953108254,-0.4754459011150165,-0.0059811118562491114,-0.028441938233971568,121,0.5346748113546532,0.001
510300,沪深300ETF华泰柏瑞,150,0.5548910853509992,0.04079363440386108,-0.4076245462547614,0.34293671405687604,0.10007649141513046,85,0.5271289974847287,0.001
510300,沪深300ETF华泰柏瑞,200,0.8137643339818639,0.05541400461976598,-0.28745851754133867,0.4312986775954927,0.19277217837804034,53,0.5350341358246496,0.001
510300,沪深300ETF华泰柏瑞,250,0.7817745416057862,0.05371417580165039,-0.32701747089027056,0.42216455469348524,0.1642547587913857,57,0.5264103485447359,0.001
511010,国债ETF国泰,50,0.1696085048345044,0.014292624725352754,-0.052632410469218405,0.7571923266971935,0.2715555794981434,131,0.7596119295724039,0.001
511010,国债ETF国泰,100,0.2928328357958956,0.023537517963350796,-0.041625325809953484,1.236518998569268,0.5654614710000055,57,0.7811713977721882,0.001
511010,国债ETF国泰,150,0.3095785237675488,0.024731405406648088,-0.05489118573497853,1.3052649822708984,0.4505533097072158,33,0.7930291052820697,0.001
511010,国债ETF国泰,200,0.3101309361896869,0.024770552729429962,-0.06509275791284608,1.335647881869771,0.3805423755834055,15,0.7782968020122171,0.001
511010,国债ETF国泰,250,0.2800749391495747,0.022618464992224085,-0.06486166785886271,1.2447582812694746,0.3487185226479416,19,0.7599712540424003,0.001
