window_label,lookback_days,rebalance_frequency,total_return,annualized_return,annualized_volatility,max_drawdown,sharpe_like_no_rf,trade_count,order_count,total_one_way_turnover,annual_one_way_turnover,total_two_way_traded,annual_two_way_traded,total_estimated_cost,annual_estimated_cost,cost_drag,cash_days,defensive_days,sector_days,final_nav,final_nav_before_cost,signal_count
mom_1m,21,biweekly,1.4261312480106034,0.08356233199297969,0.37254268432491755,-0.6466843215241234,0.4034173199682603,182,349,182.0,16.480057491915197,349.0,31.60186848724398,0.06980000000000001,0.006320373697448797,0.07216093340934404,117,145,2521,2.4261312480106034,2.6012031434406255,293
mom_1m,21,monthly,3.2961374653152475,0.14110361276683103,0.35192659922925984,-0.6046666429299059,0.5510592759121195,115,217,115.0,10.413223140495868,217.0,19.649299317283507,0.04340000000000001,0.003929859863456702,0.04416474854903485,155,157,2471,4.2961374653152475,4.485875296202983,138
mom_1m,21,quarterly,2.351632135719298,0.11573701045852958,0.3383378850460548,-0.6196579297873381,0.492877883400299,41,77,41.0,3.7125404240028743,77.0,6.972332015810276,0.0154,0.0013944664031620552,0.0153522978477858,180,245,2358,3.351632135719298,3.403087390543071,46
mom_1m,21,weekly,2.413511031583265,0.11758677564853204,0.36503336329009856,-0.4342407909387004,0.4869760485603526,260,495,260.0,23.54293927416457,495.0,44.822134387351774,0.099,0.008964426877470356,0.10374349456370235,107,153,2523,3.413511031583265,3.7676405947314615,586
mom_2m,42,biweekly,13.27242907919363,0.27215349270219336,0.37519130416237195,-0.39906151821515357,0.829542172156592,118,233,118.0,10.68487243981315,233.0,21.098095580309018,0.0466,0.004219619116061803,0.04757879498118567,55,183,2545,14.27242907919363,14.951494056236095,293
mom_2m,42,monthly,11.35484715797839,0.25564137980051127,0.37964592721003443,-0.5272727396123567,0.7899113083433372,80,159,80.0,7.243981315127559,159.0,14.397412863816024,0.0318,0.002879482572763205,0.03228055785354167,57,120,2606,12.35484715797839,12.753668516433178,138
mom_2m,42,quarterly,2.906427027569219,0.13132013082105387,0.3692876409760514,-0.619424279918815,0.519301538181747,35,69,35.0,3.1692418253683075,69.0,6.24793388429752,0.0138,0.001249586776859504,0.01379296290409937,57,61,2665,3.906427027569219,3.960308230648052,46
mom_2m,42,weekly,8.768861543894934,0.22922147477619004,0.3729604368053567,-0.49723926847995314,0.7402596902492896,170,333,170.0,15.393460294646065,333.0,30.153072224218466,0.0666,0.006030614444843694,0.06866737408058854,70,168,2545,9.768861543894934,10.439663613871042,586
mom_3m,63,biweekly,2.8610051078865357,0.13012265744331675,0.3803679392862755,-0.6798967188524473,0.5123603162997971,99,197,99.0,8.964426877470355,197.0,17.838303988501615,0.039400000000000004,0.0035676607977003236,0.04002173976024892,64,196,2523,3.8610051078865357,4.015529249527362,293
mom_3m,63,monthly,0.2735825496629005,0.022139518085248167,0.3635514750600597,-0.7875910826468422,0.2428433922004064,71,141,71.0,6.4290334171757095,141.0,12.767517067912324,0.0282,0.0025535034135824647,0.02842291943028763,78,179,2526,1.2735825496629005,1.3097814838597894,138
mom_3m,63,quarterly,0.46344592068818646,0.035082150872066675,0.3425365502771792,-0.6053655328789331,0.27265382541825023,36,71,36.0,3.259791591807402,71.0,6.4290334171757095,0.0142,0.0012858066834351418,0.014200500900766189,119,180,2484,1.4634459206881865,1.4842275858031417,46
mom_3m,63,weekly,1.8379768032470465,0.0990560588732341,0.37943277215412585,-0.7216467377176691,0.43918614818234053,144,287,144.0,13.039166367229608,287.0,25.98778296802012,0.05740000000000001,0.005197556593604024,0.05877260349231306,64,198,2521,2.8379768032470465,3.004772088624667,586
mom_4m,84,biweekly,1.8242546923836573,0.09857380466245824,0.38055459834438676,-0.6297518545502051,0.43892532587313443,84,167,84.0,7.606180380883938,167.0,15.121810995328781,0.0334,0.003024362199065756,0.03391825285160399,93,221,2469,2.8242546923836573,2.920048477157255,293
mom_4m,84,monthly,4.509722144181669,0.16710282705379087,0.3686051030342868,-0.7114986112469629,0.6037670759352971,54,107,54.0,4.889687387711103,107.0,9.68882500898311,0.021400000000000002,0.0019377650017966225,0.021395720254813178,98,186,2499,5.509722144181669,5.62760661786033,138
mom_4m,84,quarterly,5.805171651074055,0.18963404555124574,0.36431926866814,-0.49306396347771786,0.6590737981078029,27,53,27.0,2.4448436938555513,53.0,4.799137621272008,0.010600000000000002,0.0009598275242544018,0.010504268813531725,119,180,2484,6.805171651074055,6.876655003419162,46
mom_4m,84,weekly,2.9409393339884695,0.13222155388011103,0.37505444379263714,-0.6125631461831467,0.5189164398898803,130,259,130.0,11.771469637082285,259.0,23.452389507725474,0.0518,0.004690477901545095,0.05292845888769904,88,212,2483,3.9409393339884695,4.149527179506395,586
mom_5m,105,biweekly,7.158720484028377,0.20933650903178225,0.3708147895572205,-0.5685785735932927,0.6985332599822341,85,169,85.0,7.6967301473230325,169.0,15.30291052820697,0.033800000000000004,0.003060582105641394,0.03420466268278033,113,244,2426,8.158720484028377,8.437786766107658,293
mom_5m,105,monthly,7.175477197086318,0.20956120538053935,0.3753933981534401,-0.6353667459311918,0.6950946000389286,46,91,46.0,4.165289256198347,91.0,8.240028745957598,0.0182,0.00164800574919152,0.01841438225843728,119,228,2436,8.175477197086318,8.326023559338603,138
mom_5m,105,quarterly,3.508808342135678,0.1461069364269001,0.39069749566041684,-0.6173346436086119,0.5459330944364691,27,53,27.0,2.4448436938555513,53.0,4.799137621272008,0.010600000000000002,0.0009598275242544018,0.01054551400963799,119,180,2484,4.508808342135678,4.556356043674443,46
mom_5m,105,weekly,4.178933642268004,0.1605779004873451,0.37320861094703167,-0.6611752978713925,0.5860728163120686,117,233,117.0,10.594322673374055,233.0,21.098095580309018,0.0466,0.004219619116061803,0.04757544570369254,108,235,2440,5.178933642268004,5.425323718568752,586
mom_6m,126,biweekly,10.288847912514822,0.24542384762837566,0.36667442279772655,-0.4711342247219893,0.7824072413704279,57,113,57.0,5.1613366870283865,113.0,10.232123607617678,0.022600000000000002,0.0020464247215235356,0.023013264017675672,132,255,2396,11.288847912514822,11.548641149980911,293
mom_6m,126,monthly,8.304333210902687,0.22381063691605685,0.36139878614444493,-0.4792223171213621,0.7402323872412818,46,91,46.0,4.165289256198347,91.0,8.240028745957598,0.0182,0.00164800574919152,0.018303485782682927,142,239,2402,9.304333210902687,9.474634941545789,138
mom_6m,126,quarterly,2.278301421353861,0.11350426756414977,0.3332948260919344,-0.5584530059288095,0.48972384474097985,29,57,29.0,2.6259432267337406,57.0,5.1613366870283865,0.011400000000000002,0.0010322673374056775,0.011379466487572376,183,243,2357,3.278301421353861,3.3156067425143183,46
mom_6m,126,weekly,6.948998740350856,0.20648820395350298,0.36764944274389105,-0.5569005536468576,0.69484532232024,89,177,89.0,8.058929213079411,177.0,16.027308659719726,0.0354,0.0032054617319439453,0.036128400735723654,127,261,2395,7.948998740350856,8.236183352290015,586
buy_hold_510300,0,buy_hold,0.7251644167532096,0.050618262522510005,0.2651478746601838,-0.5297225891677673,0.31977016747503234,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2783,1.7251644167532096,1.7251644167532096,0
