name,top_n,lookback_days,rebalance_frequency,init_cash,fee_rate,slippage,total_return,annualized_return,annualized_volatility,max_drawdown,sharpe_like_no_rf,final_value,order_count,total_fees,total_order_value,annual_traded_value_ratio,cash_target_days,single_asset_target_days,multi_asset_target_days
vectorbt_top2_equal_weight_rotation,2,42,monthly,100000.0,0.0001,0.0001,7.069698924361342,0.2081357050431778,0.3035751051174634,-0.4605813684692449,0.775043337605207,806969.8924361342,4155,5215.79619993469,52157961.99934745,47.22891276980077,57,402,2324
vectorbt_top3_equal_weight_rotation,3,42,monthly,100000.0,0.0001,0.0001,2.7686481059547874,0.127647782919744,0.2839686883264098,-0.49786239701410173,0.5655860090369501,376864.81059547875,5686,3378.6973059602974,33786973.059604526,30.594025192311676,57,402,2324
buy_hold_510300,0,0,buy_hold,100000.0,0.0,0.0,0.7251644167532096,0.050618262522510005,0.2651478746601838,-0.5297225891677673,0.31977016747503234,172516.44167532097,0,0.0,0.0,0.0,0,2783,0
