paper_trade_date,action,symbol,name,paper_price,paper_quantity,gross_amount,estimated_cost,cash_used,target_weight,status
2026-10-08,BUY,159915,创业板ETF,2.0,24987,49974.0,24.99,49998.99,0.5,filled_paper
2026-10-08,BUY,512760,芯片ETF,1.25,39980,49975.0,24.99,49999.99,0.5,filled_paper
