date,window_label,lookback_days,position,strategy_return,strategy_return_after_cost,trade,nav
2015-01-05,mom_1m,21,CASH,0.0,0.0,False,1.0
2015-01-06,mom_1m,21,CASH,0.0,0.0,False,1.0
2015-01-07,mom_1m,21,CASH,0.0,0.0,False,1.0
2015-01-08,mom_1m,21,CASH,0.0,0.0,False,1.0
2015-01-09,mom_1m,21,CASH,0.0,0.0,False,1.0
2015-01-12,mom_1m,21,CASH,0.0,0.0,False,1.0
2015-01-13,mom_1m,21,CASH,0.0,0.0,False,1.0
2015-01-14,mom_1m,21,CASH,0.0,0.0,False,1.0
2015-01-15,mom_1m,21,CASH,0.0,0.0,False,1.0
2015-01-16,mom_1m,21,CASH,0.0,0.0,False,1.0
2015-01-19,mom_1m,21,CASH,0.0,0.0,False,1.0
2015-01-20,mom_1m,21,CASH,0.0,0.0,False,1.0
2015-01-21,mom_1m,21,CASH,0.0,0.0,False,1.0
2015-01-22,mom_1m,21,CASH,0.0,0.0,False,1.0
2015-01-23,mom_1m,21,CASH,0.0,0.0,False,1.0
2015-01-26,mom_1m,21,CASH,0.0,0.0,False,1.0
2015-01-27,mom_1m,21,CASH,0.0,0.0,False,1.0
2015-01-28,mom_1m,21,CASH,0.0,0.0,False,1.0
2015-01-29,mom_1m,21,CASH,0.0,0.0,False,1.0
2015-01-30,mom_1m,21,CASH,0.0,0.0,False,1.0
2015-02-02,mom_1m,21,CASH,0.0,0.0,False,1.0
2015-02-03,mom_1m,21,CASH,0.0,0.0,False,1.0
2015-02-04,mom_1m,21,CASH,0.0,0.0,False,1.0
2015-02-05,mom_1m,21,CASH,0.0,0.0,False,1.0
2015-02-06,mom_1m,21,CASH,0.0,0.0,False,1.0
2015-02-09,mom_1m,21,CASH,0.0,0.0,False,1.0
2015-02-10,mom_1m,21,CASH,0.0,0.0,False,1.0
2015-02-11,mom_1m,21,CASH,0.0,0.0,False,1.0
2015-02-12,mom_1m,21,CASH,0.0,0.0,False,1.0
2015-02-13,mom_1m,21,CASH,0.0,0.0,False,1.0
2015-02-16,mom_1m,21,CASH,0.0,0.0,False,1.0
2015-02-17,mom_1m,21,CASH,0.0,0.0,False,1.0
2015-02-25,mom_1m,21,CASH,0.0,0.0,False,1.0
2015-02-26,mom_1m,21,CASH,0.0,0.0,False,1.0
2015-02-27,mom_1m,21,CASH,0.0,0.0,False,1.0
2015-03-02,mom_1m,21,159928,0.0033222591362125353,0.0031222591362125352,True,1.0031222591362126
2015-03-03,mom_1m,21,159928,-0.009933774834437137,-0.009933774834437137,False,0.9931574684825415
2015-03-04,mom_1m,21,159928,0.01672240802675584,0.01672240802675584,False,1.0097654529053264
2015-03-05,mom_1m,21,159928,0.006578947368421018,0.006578947368421018,False,1.0164086466744404
2015-03-06,mom_1m,21,159928,-0.0032679738562091387,-0.0032679738562091387,False,1.0130870497898834
2015-03-09,mom_1m,21,159928,0.022950819672131084,0.022950819672131084,False,1.0363382279817823
2015-03-10,mom_1m,21,159928,0.0032051282051281937,0.0032051282051281937,False,1.0396598248663393
2015-03-11,mom_1m,21,159928,-0.0031948881789137795,-0.0031948881789137795,False,1.0363382279817823
2015-03-12,mom_1m,21,159928,0.0,0.0,False,1.0363382279817823
2015-03-13,mom_1m,21,159928,0.012820512820512775,0.012820512820512775,False,1.0496246155200102
2015-03-16,mom_1m,21,159928,0.022151898734177333,0.022151898734177333,False,1.0728757937119093
2015-03-17,mom_1m,21,159928,0.01238390092879249,0.01238390092879249,False,1.0861621812501372
2015-03-18,mom_1m,21,159928,0.01834862385321112,0.01834862385321112,False,1.1060917625574793
2015-03-19,mom_1m,21,159928,-0.009009009009009028,-0.009009009009009028,False,1.0961269719038083
2015-03-20,mom_1m,21,159928,0.0060606060606061,0.0060606060606061,False,1.1027701656729223
2015-03-23,mom_1m,21,159928,0.02108433734939763,0.02108433734939763,False,1.1260213438648212
2015-03-24,mom_1m,21,159928,0.0,0.0,False,1.1260213438648212
2015-03-25,mom_1m,21,159928,0.008849557522123908,0.008849557522123908,False,1.1359861345184923
2015-03-26,mom_1m,21,159928,0.011695906432748426,0.011695906432748426,False,1.1492725220567201
2015-03-27,mom_1m,21,159928,0.0028901734104045396,0.0028901734104045396,False,1.152594118941277
2015-03-30,mom_1m,21,159928,0.0057636887608070175,0.0057636887608070175,False,1.159237312710391
2015-03-31,mom_1m,21,159928,-0.008595988538681931,-0.008595988538681931,False,1.14927252205672
2015-04-01,mom_1m,21,159928,0.014450867052023142,0.014450867052023142,False,1.1658805064795048
2015-04-02,mom_1m,21,159928,0.008547008547008517,0.008547008547008517,False,1.1758452971331756
2015-04-03,mom_1m,21,159928,0.01412429378531077,0.01412429378531077,False,1.1924532815559608
2015-04-07,mom_1m,21,159928,0.025069637883008422,0.025069637883008422,False,1.2223476535169737
2015-04-08,mom_1m,21,159928,0.0,0.0,False,1.2223476535169737
2015-04-09,mom_1m,21,159928,-0.010869565217391353,-0.010869565217391353,False,1.2090612659787456
2015-04-10,mom_1m,21,159928,0.030219780219780334,0.030219780219780334,False,1.2455988317088726
2015-04-13,mom_1m,21,159928,0.01866666666666661,0.01866666666666661,False,1.2688500099007716
2015-04-14,mom_1m,21,159928,0.0,0.0,False,1.2688500099007716
2015-04-15,mom_1m,21,159928,-0.028795811518324665,-0.028795811518324665,False,1.2323124441706446
2015-04-16,mom_1m,21,159928,0.03504043126684642,0.03504043126684642,False,1.2754932036698856
2015-04-17,mom_1m,21,159928,0.0026041666666667407,0.0026041666666667407,False,1.2788148005544426
2015-04-20,mom_1m,21,159928,-0.007792207792207795,-0.007792207792207795,False,1.2688500099007716
2015-04-21,mom_1m,21,159928,0.04973821989528804,0.04973821989528804,False,1.3319603507073545
2015-04-22,mom_1m,21,159928,0.009975062344139696,0.009975062344139696,False,1.3452467382455826
2015-04-23,mom_1m,21,159928,0.0,0.0,False,1.3452467382455826
2015-04-24,mom_1m,21,159928,-0.0024691358024691024,-0.0024691358024691024,False,1.3419251413610256
2015-04-27,mom_1m,21,159928,0.004950495049504955,0.004950495049504955,False,1.3485683351301396
2015-04-28,mom_1m,21,159928,-0.034482758620689724,-0.034482758620689724,False,1.3020659787463416
2015-04-29,mom_1m,21,159928,0.015306122448979664,0.015306122448979664,False,1.3219955600536837
2015-04-30,mom_1m,21,159928,0.01005025125628145,0.01005025125628145,False,1.3352819475919118
2015-05-04,mom_1m,21,159928,-0.00497512437810943,-0.00497512437810943,False,1.3286387538227977
2015-05-05,mom_1m,21,159928,-0.03249999999999997,-0.03249999999999997,False,1.285457994323557
2015-05-06,mom_1m,21,159928,-0.02067183462532296,-0.02067183462532296,False,1.258885219247101
2015-05-07,mom_1m,21,159928,-0.0079155672823219,-0.0079155672823219,False,1.2489204285934299
2015-05-08,mom_1m,21,159928,0.0292553191489362,0.0292553191489362,False,1.285457994323557
2015-05-11,mom_1m,21,159928,0.025839793281653867,0.025839793281653867,False,1.318673963169127
2015-05-12,mom_1m,21,159928,0.010075566750629816,0.010075566750629816,False,1.3319603507073552
2015-05-13,mom_1m,21,159928,0.0174563591022443,0.0174563591022443,False,1.3552115288992541
2015-05-14,mom_1m,21,159928,-0.009803921568627305,-0.009803921568627305,False,1.3419251413610263
2015-05-15,mom_1m,21,159928,-0.012376237623762387,-0.012376237623762387,False,1.3253171569382414
2015-05-18,mom_1m,21,159928,0.0,0.0,False,1.3253171569382414
2015-05-19,mom_1m,21,159928,0.022556390977443552,0.022556390977443552,False,1.3552115288992543
2015-05-20,mom_1m,21,159928,0.007352941176470562,0.007352941176470562,False,1.3651763195529254
2015-05-21,mom_1m,21,159928,0.03649635036496357,0.03649635036496357,False,1.4150002728212805
2015-05-22,mom_1m,21,159928,0.021126760563380254,0.021126760563380254,False,1.4448946447822935
2015-05-25,mom_1m,21,159928,0.034482758620689724,0.034482758620689724,False,1.4947185980506486
2015-05-26,mom_1m,21,159928,0.020000000000000018,0.020000000000000018,False,1.5246129700116615
2015-05-27,mom_1m,21,159928,0.01089324618736387,0.01089324618736387,False,1.5412209544344466
2015-05-28,mom_1m,21,159928,-0.06465517241379315,-0.06465517241379315,False,1.4415730478977367
2015-05-29,mom_1m,21,159928,-0.004608294930875556,-0.004608294930875556,False,1.4349298541286226
