Order Id,Column,Timestamp,Size,Price,Fees,Side
0,159928,2015-04-01,284843.31338917394,0.3510351,9.999000099982368,Buy
1,159928,2015-06-01,284843.31338917394,0.45295470000000004,12.902111756319929,Sell
2,512010,2015-06-01,322456.0441952079,0.40004,12.899531591989216,Buy
3,512010,2015-07-01,322456.0441952079,0.34996499999999997,11.284832950677592,Sell
4,159928,2015-07-02,301642.9963891725,0.3740374,11.282576209763647,Buy
5,159928,2015-08-03,301642.9963891725,0.35496449999999996,10.70725553917844,Sell
6,511010,2015-08-03,1022.1877916483975,104.7274717,10.705114302196307,Buy
7,511010,2015-11-02,1022.1877916483975,106.149384,10.850460441579774,Sell
8,512010,2015-11-02,356815.9817728414,0.3040304,10.848290566471405,Buy
9,512010,2016-02-01,356815.9817728414,0.2729727,9.740102194768332,Sell
10,511010,2016-02-02,909.0568512735931,107.1237113,9.738154369115364,Buy
11,511010,2016-04-01,909.0568512735931,109.0550934,9.91372798215516,Sell
12,159928,2016-04-05,304946.28798084694,0.3250325,9.911745434816112,Buy
13,159928,2016-09-01,304946.28798084694,0.3629637,11.068443298679375,Sell
14,512010,2016-09-01,342573.4773694881,0.3230323,11.066229831369128,Buy
15,512010,2016-12-01,342573.4773694881,0.3359664,11.509317792730839,Sell
16,512880,2016-12-01,100840.18906904779,1.1411141,11.507016159332125,Buy
17,512880,2017-01-03,100840.18906904779,1.0398960000000002,10.486330925214654,Sell
18,512010,2017-01-04,314810.3768822895,0.33303330000000003,10.48423386873037,Buy
19,512010,2017-02-03,314810.3768822895,0.3319668,10.450659342040762,Sell
20,512660,2017-02-03,102126.34082793717,1.0231023,10.448569419168052,Buy
21,512660,2017-03-01,102126.34082793717,1.0438956000000001,10.660923783438399,Sell
22,159928,2017-03-02,273977.53314331465,0.3890389,10.658791811874835,Buy
23,159928,2017-05-02,273977.53314331465,0.4059594,11.122375496834014,Sell
24,512010,2017-05-02,314986.95014804223,0.3530353,11.120151244162116,Buy
25,512010,2017-07-03,314986.95014804223,0.3829617,12.062793790650952,Sell
26,159928,2017-07-04,271603.05305335624,0.4440444,12.060381473129382,Buy
27,159928,2017-09-01,271603.05305335624,0.4679532,12.709751780608784,Sell
28,512880,2017-09-01,111848.05889501086,1.1361135999999998,12.707210084423423,Buy
29,512880,2017-10-09,111848.05889501086,1.1118888,12.436260398710298,Sell
30,159928,2017-10-10,241878.01833300895,0.5140514,12.433773395328899,Buy
31,159928,2017-12-01,241878.01833300895,0.5329467,12.890809167311662,Sell
32,512010,2017-12-01,324608.1251640228,0.3970397,12.888231263263151,Buy
33,512010,2018-01-02,324608.1251640228,0.41095889999999996,13.340059804846911,Sell
34,159928,2018-01-03,224891.3735887872,0.5930593,13.337392059649574,Buy
35,159928,2018-03-01,224891.3735887872,0.5819418,13.087369075073127,Sell
36,512800,2018-03-01,246857.4248797634,0.530053,13.084751862974372,Buy
37,512800,2018-04-02,246857.4248797634,0.4929507,12.16885403946768,Sell
38,512010,2018-04-03,268547.54948373884,0.4530453,12.166420512017794,Buy
39,512010,2018-06-01,268547.54948373884,0.5089491,13.667703361695436,Sell
40,159928,2018-06-04,220736.73237441736,0.6190618999999999,13.66497009433806,Buy
41,159928,2018-07-02,220736.73237441736,0.5519448,12.183449160305132,Sell
42,512010,2018-07-02,251648.65154223604,0.4840484,12.181012714121607,Buy
43,512010,2018-08-01,251648.65154223604,0.4509549,11.34821924913639,Sell
44,511010,2018-08-02,1020.9425176783132,111.1321121,11.3459498322336,Buy
45,511010,2018-09-03,1020.9425176783132,110.6229366,11.293965940537241,Sell
46,512800,2018-09-03,241251.67340543435,0.46804680000000004,11.291707373209647,Buy
47,512800,2018-12-03,241251.67340543435,0.4809519,11.603045070252312,Sell
48,512880,2018-12-03,146090.23597987756,0.7940794,11.600724693271331,Buy
49,512880,2019-01-02,146090.23597987756,0.7139286,10.42979976467836,Sell
50,159928,2019-01-03,235365.04167417486,0.4430443,10.427714013305376,Buy
51,159928,2019-03-01,235365.04167417486,0.579942,13.64980729986043,Sell
52,512880,2019-03-01,131461.5899813613,1.0381038,13.647077611356508,Buy
53,512880,2019-05-06,131461.5899813613,0.9049095,11.896084165923867,Sell
54,159928,2019-05-07,176971.96332433086,0.6720672000000001,11.893705186987063,Buy
55,159928,2019-08-01,176971.96332433086,0.7169283,12.687620881377487,Sell
56,512690,2019-08-01,768716.0745094131,0.1650165,12.685083610922447,Buy
57,512690,2019-11-01,768716.0745094131,0.2169783,16.67947070297258,Sell
58,512480,2019-11-04,271571.13510779286,0.6140614,16.676135142392013,Buy
59,512480,2019-12-02,271571.13510779286,0.6359364000000001,17.270197000436344,Sell
60,512800,2019-12-02,316209.09898764075,0.5460546000000001,17.26674330639071,Buy
