symbol,name,sma_window,capital_cny,commission_rate,min_commission_cny,slippage_rate,avg_effective_commission_rate,min_commission_bind_rate,trade_count,turnover_per_year,time_in_market,total_commission_cny,total_slippage_cny,total_cost_cny,gross_total_return,net_total_return,cost_drag_vs_gross,bh_total_return,excess_vs_bh,net_annualized_return,net_max_drawdown,net_sharpe,net_calmar
159915,创业板ETF易方达,250,200000,0.0001,5,0.0001,0.0001,0,45,4.07620417,0.409417685,900,900,1800,2.011339162,1.984369621,-0.026969542,1.997893258,-0.013523638,0.104112302,-0.346794778,0.573422405,0.300213003
159915,创业板ETF易方达,250,500000,0.0001,5,0.0001,0.0001,0,45,4.07620417,0.409417685,2250,2250,4500,2.011339162,1.984369621,-0.026969542,1.997893258,-0.013523638,0.104112302,-0.346794778,0.573422405,0.300213003
159915,创业板ETF易方达,250,1000000,0.0001,5,0.0001,0.0001,0,45,4.07620417,0.409417685,4500,4500,9000,2.011339162,1.984369621,-0.026969542,1.997893258,-0.013523638,0.104112302,-0.346794778,0.573422405,0.300213003
159915,创业板ETF易方达,50,8000,0.0001,5,0.0005,0.000625,1,173,15.67074047,0.497483825,865,692,1557,2.614112328,1.974981817,-0.639130511,1.997893258,-0.022911441,0.103797244,-0.477495494,0.539089724,0.217378478
159915,创业板ETF易方达,250,50000,0.0001,5,0.0002,0.0001,0,45,4.07620417,0.409417685,225,450,675,2.011339162,1.970973557,-0.040365605,1.997893258,-0.026919701,0.10366245,-0.347122272,0.571497168,0.29863382
159915,创业板ETF易方达,250,100000,0.0001,5,0.0002,0.0001,0,45,4.07620417,0.409417685,450,900,1350,2.011339162,1.970973557,-0.040365605,1.997893258,-0.026919701,0.10366245,-0.347122272,0.571497168,0.29863382
159915,创业板ETF易方达,250,200000,0.0001,5,0.0002,0.0001,0,45,4.07620417,0.409417685,900,1800,2700,2.011339162,1.970973557,-0.040365605,1.997893258,-0.026919701,0.10366245,-0.347122272,0.571497168,0.29863382
159915,创业板ETF易方达,250,500000,0.0001,5,0.0002,0.0001,0,45,4.07620417,0.409417685,2250,4500,6750,2.011339162,1.970973557,-0.040365605,1.997893258,-0.026919701,0.10366245,-0.347122272,0.571497168,0.29863382
159915,创业板ETF易方达,250,1000000,0.0001,5,0.0002,0.0001,0,45,4.07620417,0.409417685,4500,9000,13500,2.011339162,1.970973557,-0.040365605,1.997893258,-0.026919701,0.10366245,-0.347122272,0.571497168,0.29863382
159915,创业板ETF易方达,250,20000,0.0001,5,0.0001,0.00025,1,45,4.07620417,0.409417685,225,90,315,2.011339162,1.964297591,-0.047041571,1.997893258,-0.033595667,0.103437576,-0.347285969,0.570534348,0.297845537
159915,创业板ETF易方达,250,20000,0.0001,5,0.0002,0.00025,1,45,4.07620417,0.409417685,225,180,405,2.011339162,1.950989633,-0.060349529,1.997893258,-0.046903625,0.102987932,-0.347613265,0.568608311,0.296271581
159915,创业板ETF易方达,50,5000,0.0001,5,0.0002,0.001,1,173,15.67074047,0.497483825,865,173,1038,2.614112328,1.93661116,-0.677501169,1.997893258,-0.061282099,0.10250004,-0.479959304,0.53403286,0.213559857
159915,创业板ETF易方达,250,10000,0.0001,5,0.0001,0.0005,1,45,4.07620417,0.409417685,225,45,270,2.011339162,1.931137159,-0.080202003,1.997893258,-0.066756099,0.102313725,-0.348103964,0.565718269,0.29391715
159915,创业板ETF易方达,250,50000,0.0001,5,0.0005,0.0001,0,45,4.07620417,0.409417685,225,1125,1350,2.011339162,1.931137159,-0.080202003,1.997893258,-0.066756099,0.102313725,-0.348103964,0.565718269,0.29391715
