symbol,name,sma_window,trade_count,win_rate,avg_trade_return,median_trade_return,total_compounded_return,avg_days_held,false_breakout_count,false_breakout_rate,false_breakout_loss,lagging_stop_count,lagging_stop_rate,avg_lagging_giveback,worst_trade_return,worst_giveback
159915,创业板ETF易方达,50,87,0.3218390804597701,0.016477272799741007,-0.010079929800085985,2.014228476614376,16.896551724137932,53,0.6091954022988506,-1.1396520939146475,7,0.08045977011494253,-0.15646444171462429,-0.06665110409043573,-0.27072031662269147
159915,创业板ETF易方达,100,63,0.25396825396825395,0.005175436809630814,-0.01938637147319311,-0.008410498614079387,21.666666666666668,40,0.6349206349206349,-1.3932124273170055,7,0.1111111111111111,-0.1598064192847415,-0.27606280787523296,-0.2795488126649075
159915,创业板ETF易方达,150,50,0.18,0.019035299051630702,-0.013269897060471991,0.46599308597713396,26.78,38,0.76,-0.9945835803459888,4,0.08,-0.21309553635530135,-0.11896184339736782,-0.337948842419716
159915,创业板ETF易方达,200,37,0.21621621621621623,0.04214173679715304,-0.00802617099218117,1.5648129313953936,34.54054054054054,26,0.7027027027027027,-0.4039997153748395,4,0.10810810810810811,-0.21427541502344344,-0.11347385444698765,-0.3270257654966391
159915,创业板ETF易方达,250,23,0.08695652173913043,0.07930575536689313,-0.02214563845819839,1.7183972363241828,50.47826086956522,19,0.8260869565217391,-0.4888946625207311,3,0.13043478260869565,-0.20173902367605354,-0.06518002747057983,-0.3270257654966391
510300,沪深300ETF华泰柏瑞,50,87,0.2988505747126437,0.005646639748413702,-0.010530483129090107,0.3630960721833121,18.03448275862069,54,0.6206896551724138,-1.187576389987096,6,0.06896551724137931,-0.10777869623505885,-0.12969790983337148,-0.14726623551603324
510300,沪深300ETF华泰柏瑞,100,61,0.3442622950819672,0.0021270175133880193,-0.008049801348949503,-0.0148146460073183,25.37704918032787,36,0.5901639344262295,-1.037045525589247,6,0.09836065573770492,-0.12439209944211417,-0.15463828075461494,-0.18173007485689097
510300,沪深300ETF华泰柏瑞,150,43,0.2558139534883721,0.01148508766655162,-0.011616687205959542,0.4787967141872904,35.093023255813954,27,0.627906976744186,-0.4598957243424131,5,0.11627906976744186,-0.13906309088895266,-0.05325228256644077,-0.16317162580338052
510300,沪深300ETF华泰柏瑞,200,27,0.2962962962962963,0.026028311034485947,-0.01349674543597601,0.7901879841613184,56.111111111111114,15,0.5555555555555556,-0.2893308885870465,5,0.18518518518518517,-0.14792369744540734,-0.06178574274717474,-0.18607331106161817
510300,沪深300ETF华泰柏瑞,250,29,0.27586206896551724,0.02476625129070379,-0.008423439277605027,0.8051522966019304,51.48275862068966,19,0.6551724137931034,-0.2697707394683925,5,0.1724137931034483,-0.15501430342582573,-0.03629349848277352,-0.18607331106161795
511010,国债ETF国泰,50,66,0.2727272727272727,0.0022918360272007315,-0.002540248077031626,0.15818772717111096,33.015151515151516,44,0.6666666666666666,-0.14298761508727864,0,0.0,,-0.013940572257501116,-0.022377386695109802
511010,国债ETF国泰,100,29,0.27586206896551724,0.008647454036512731,-0.002339005772652447,0.2748218631835284,75.93103448275862,19,0.6551724137931034,-0.0719297415870459,0,0.0,,-0.010303516399482793,-0.032216040853594974
511010,国债ETF国泰,150,17,0.29411764705882354,0.01682247516190418,-0.0021332509803492217,0.3146538223932329,130.76470588235293,11,0.6470588235294118,-0.03254255825230579,0,0.0,,-0.008696370385888219,-0.03761928425407479
511010,国债ETF国泰,200,8,0.5,0.03613898406338484,0.012203909899811127,0.31734328772615594,271.625,3,0.375,-0.009649947158731909,0,0.0,,-0.004644424457659113,-0.04578413691125571
511010,国债ETF国泰,250,10,0.3,0.026136696845611963,-0.002443883800658908,0.27340923692996033,212.4,7,0.7,-0.023615013082645686,0,0.0,,-0.006518254528809164,-0.046923383349898096
