date,Top2等权,Top3等权,买入持有510300
2026-04-03,0.005299735627318336,0.007526447811007975,-0.011978704525288375
2026-04-10,-0.004834955711972899,-0.004834955711851108,0.042209250112258845
2026-04-17,-0.0009993675756535536,-0.0009993675756535536,0.020896165445928316
2026-04-24,0.033164879804203906,0.03316487980420413,0.009073644228740019
2026-05-01,0.022010834733324325,0.022010834733324103,0.008782936010037545
2026-05-08,-0.029976789705192353,-0.039572254223486425,0.0128524046434495
2026-05-15,0.010867322053284001,0.0032763152134236417,-0.0016373311502251298
2026-05-22,0.04271835140942004,0.014278823469099144,-0.003280032800327959
2026-05-29,-0.03189905151910499,0.007233152493024919,0.012546277252159843
2026-06-05,-0.035097735589152745,-0.01583167172454214,-0.016250253910217394
2026-06-12,0.00408327758278948,0.011485128143652767,-0.005162089613875542
2026-06-19,0.10220504817090847,0.08076427262274888,0.03445413034454137
