regime,description,start,end,strategy,benchmark_total_return,benchmark_max_drawdown,days,total_return,annualized_return,annualized_volatility,max_drawdown,sharpe_like_no_rf,calmar,positive_day_ratio,excess_total_return,drawdown_improvement
2015杠杆牛熊,急涨急跌，检验追涨后抗回撤能力,2015-04-01,2016-02-29,Top1,-0.3415977961432508,-0.5297225891677675,223,-0.020973042883874138,-0.023667959661865412,0.41812054499649043,-0.3107509445005744,0.15292918726961155,-0.07616375776396607,0.5022421524663677,0.32062475325937667,0.2189716446671931
2015杠杆牛熊,急涨急跌，检验追涨后抗回撤能力,2015-04-01,2016-02-29,Top2,-0.3415977961432508,-0.5297225891677675,223,-0.047864521954846695,-0.053918326290659846,0.39815196226528715,-0.3776006123503224,0.06095457559199223,-0.14279194611219706,0.5112107623318386,0.2937332741884041,0.1521219768174451
2015杠杆牛熊,急涨急跌，检验追涨后抗回撤能力,2015-04-01,2016-02-29,Top3,-0.3415977961432508,-0.5297225891677675,223,-0.047864521954846695,-0.053918326290659846,0.39815196226528715,-0.3776006123503224,0.06095457559199223,-0.14279194611219706,0.5112107623318386,0.2937332741884041,0.1521219768174451
2016-2017蓝筹慢牛,低波动修复与蓝筹占优,2016-03-01,2017-12-29,Top1,0.5890283589028416,-0.0952707333790267,452,0.36603539458735734,0.18993444256497893,0.15874384475712056,-0.11659765427606583,1.1750816695879291,1.6289731019397278,0.46238938053097345,-0.2229929643154842,-0.021326920897039137
2016-2017蓝筹慢牛,低波动修复与蓝筹占优,2016-03-01,2017-12-29,Top2,0.5890283589028416,-0.0952707333790267,452,0.4121937292945368,0.21218631473883232,0.13514556215121687,-0.09448806332048287,1.491887147521895,2.2456414840374355,0.5110619469026548,-0.17683462960830476,0.0007826700585438218
2016-2017蓝筹慢牛,低波动修复与蓝筹占优,2016-03-01,2017-12-29,Top3,0.5890283589028416,-0.0952707333790267,452,0.31953433291214095,0.16717829136468376,0.12900003315583308,-0.09257124066132438,1.2631981876253657,1.805941998512392,0.5154867256637168,-0.2694940259907006,0.002699492717702312
2018熊市,系统性下跌，检验防守能力,2018-01-02,2018-12-28,Top1,-0.2840842598010517,-0.35432654141307107,243,-0.21678004507529847,-0.2238359700399024,0.2514258603955892,-0.2939091783436245,-0.8812199520737569,-0.7615821026800468,0.4609053497942387,0.06730421472575321,0.06041736306944656
2018熊市,系统性下跌，检验防守能力,2018-01-02,2018-12-28,Top2,-0.2840842598010517,-0.35432654141307107,243,-0.1970365667203947,-0.20353630965210423,0.22251143084868297,-0.29248109670838385,-0.9108099876931397,-0.6958956046825776,0.49382716049382713,0.08704769308065696,0.061845444704687225
2018熊市,系统性下跌，检验防守能力,2018-01-02,2018-12-28,Top3,-0.2840842598010517,-0.35432654141307107,243,-0.18101505446192256,-0.18704984970683924,0.2214345283275497,-0.27948758249635386,-0.8238511304776055,-0.6692599650980181,0.49382716049382713,0.10306920533912911,0.07483895891671721
2019-2021结构牛,成长、消费、新能源等结构性机会,2019-01-02,2021-12-31,Top1,0.8753575807110774,-0.18522642910170772,730,7.347543309233677,1.0803054474287208,0.5011206060064284,-0.36577940577140444,1.715283809062366,2.953434311454546,0.5452054794520548,6.472185728522599,-0.18055297666969672
2019-2021结构牛,成长、消费、新能源等结构性机会,2019-01-02,2021-12-31,Top2,0.8753575807110774,-0.18522642910170772,730,4.155754819131024,0.7615184239200397,0.3641483204106332,-0.26809552131174264,1.7390884576885386,2.8404742466195203,0.5616438356164384,3.2803972384199467,-0.08286909221003491
2019-2021结构牛,成长、消费、新能源等结构性机会,2019-01-02,2021-12-31,Top3,0.8753575807110774,-0.18522642910170772,730,2.188525246676629,0.4922513453086901,0.3359576640289834,-0.2599117511636643,1.3617250112324906,1.8939172357725507,0.552054794520548,1.3131676659655518,-0.07468532206195655
2022熊市,成长回撤与风险偏好收缩,2022-01-04,2022-12-30,Top1,-0.2168228372194373,-0.29534018814263807,242,-0.2669307891842071,-0.2762768615717701,0.3951288345234212,-0.32342116122949327,-0.6189774783686689,-0.8542324828761885,0.49173553719008267,-0.050107951964769804,-0.0280809730868552
2022熊市,成长回撤与风险偏好收缩,2022-01-04,2022-12-30,Top2,-0.2168228372194373,-0.29534018814263807,242,-0.2300033481569821,-0.2382748538431264,0.34565449142985705,-0.329306145544236,-0.6132961862890095,-0.7235663745337505,0.4793388429752066,-0.013180510937544798,-0.03396595740159791
2022熊市,成长回撤与风险偏好收缩,2022-01-04,2022-12-30,Top3,-0.2168228372194373,-0.29534018814263807,242,-0.19549171772253637,-0.20269071456021315,0.3270907677322744,-0.30032957799163484,-0.5280911340166596,-0.6748942808618695,0.4793388429752066,0.02133111949690092,-0.0049893898489967725
2023震荡弱市,指数弱、主题轮动快,2023-01-03,2023-12-29,Top1,-0.10434056761268795,-0.21299363057324894,242,0.2591671537720657,0.2712151598990451,0.35226289228003793,-0.30691829032783935,0.856560314176737,0.8836721969529499,0.4669421487603306,0.3635077213847536,-0.09392465975459041
2023震荡弱市,指数弱、主题轮动快,2023-01-03,2023-12-29,Top2,-0.10434056761268795,-0.21299363057324894,242,0.10988959650225216,0.11468163485714333,0.2693857179984962,-0.23927167228223967,0.5372842762942563,0.4792946601796947,0.4793388429752066,0.2142301641149401,-0.02627804170899073
2023震荡弱市,指数弱、主题轮动快,2023-01-03,2023-12-29,Top3,-0.10434056761268795,-0.21299363057324894,242,-0.006485495047465761,-0.006752583875979212,0.22490874422669055,-0.252333034977517,0.08240788946921174,-0.026760601823621194,0.47107438016528924,0.09785507256522219,-0.039339404404268086
2024-2026恢复期,政策与流动性修复阶段,2024-01-02,2026-06-18,Top1,0.5483069276172721,-0.17067364913115923,594,0.9920689914207754,0.33960763393082893,0.36027956022702384,-0.31595314840371813,0.9915356904888584,1.074867066989583,0.4983164983164983,0.44376206380350336,-0.1452794992725589
2024-2026恢复期,政策与流动性修复阶段,2024-01-02,2026-06-18,Top2,0.5483069276172721,-0.17067364913115923,594,0.696319534227569,0.25131568230046275,0.30859851348597833,-0.27221539176340304,0.8808895140383058,0.9232236306420714,0.5202020202020202,0.14801260661029692,-0.1015417426322438
2024-2026恢复期,政策与流动性修复阶段,2024-01-02,2026-06-18,Top3,0.5483069276172721,-0.17067364913115923,594,0.4371286080484833,0.16631625883273493,0.28575002370988284,-0.26106867077753704,0.6810134536933037,0.6370594309052773,0.5185185185185185,-0.11117831956878876,-0.0903950216463778
2015 基准震荡年,510300全年收益 4.33%,2015-01-05,2015-12-31,Top1,0.043267566632052334,-0.5114487010127697,244,0.18462905948583774,0.1912280712123411,0.38296462790274205,-0.3107509445005744,0.649472343401002,0.6153740627230423,0.38934426229508196,0.1413614928537854,0.20069775651219535
2015 基准震荡年,510300全年收益 4.33%,2015-01-05,2015-12-31,Top2,0.043267566632052334,-0.5114487010127697,244,0.14526063446847948,0.15036490199904473,0.36966099609055914,-0.3776006123503224,0.5649221261279661,0.39821148875559115,0.4139344262295082,0.10199306783642714,0.13384808866244735
2015 基准震荡年,510300全年收益 4.33%,2015-01-05,2015-12-31,Top3,0.043267566632052334,-0.5114487010127697,244,0.14526063446847948,0.15036490199904473,0.36966099609055914,-0.3776006123503224,0.5649221261279661,0.39821148875559115,0.4139344262295082,0.10199306783642714,0.13384808866244735
2016 基准震荡年,510300全年收益 -12.24%,2016-01-04,2016-12-30,Top1,-0.12242866622428572,-0.2420156139105748,244,-0.12577803706029167,-0.12962246956022416,0.1770453530384636,-0.17955346336480804,-0.6946295556429801,-0.721915729895243,0.45081967213114754,-0.0033493708360059493,0.06246215054576676
2016 基准震荡年,510300全年收益 -12.24%,2016-01-04,2016-12-30,Top2,-0.12242866622428572,-0.2420156139105748,244,-0.06238796436044014,-0.06436620407460514,0.1447142114887847,-0.16245860840288118,-0.38696921519993266,-0.396200636626059,0.47950819672131145,0.06004070186384558,0.07955700550769362
2016 基准震荡年,510300全年收益 -12.24%,2016-01-04,2016-12-30,Top3,-0.12242866622428572,-0.2420156139105748,244,-0.06559634753331611,-0.06767260323119939,0.14362473946962118,-0.16245860840288118,-0.4156217830432113,-0.41655289243508764,0.48360655737704916,0.05683231869096961,0.07955700550769362
2017 基准上涨年,510300全年收益 29.22%,2017-01-03,2017-12-29,Top1,0.29224952741020926,-0.0727673649393602,244,0.2913753952308451,0.30224762271265315,0.16766200818719648,-0.11281754096309371,1.659574976900476,2.6790835904810955,0.47540983606557374,-0.0008741321793641621,-0.04005017602373351
2017 基准上涨年,510300全年收益 29.22%,2017-01-03,2017-12-29,Top2,0.29224952741020926,-0.0727673649393602,244,0.2521764163771629,0.2614431076373971,0.14493217651176848,-0.09448806332048332,1.675591124468481,2.76694323547132,0.5204918032786885,-0.04007311103304634,-0.021720698381123116
2017 基准上涨年,510300全年收益 29.22%,2017-01-03,2017-12-29,Top3,0.29224952741020926,-0.0727673649393602,244,0.1740337506093388,0.18022603660169345,0.13535009266354728,-0.09257124066132427,1.2922589245904215,1.946890149836685,0.5245901639344263,-0.11821577680087048,-0.01980387572196407
2018 基准下跌年,510300全年收益 -28.41%,2018-01-02,2018-12-28,Top1,-0.2840842598010517,-0.35432654141307107,243,-0.21678004507529847,-0.2238359700399024,0.2514258603955892,-0.2939091783436245,-0.8812199520737569,-0.7615821026800468,0.4609053497942387,0.06730421472575321,0.06041736306944656
2018 基准下跌年,510300全年收益 -28.41%,2018-01-02,2018-12-28,Top2,-0.2840842598010517,-0.35432654141307107,243,-0.1970365667203947,-0.20353630965210423,0.22251143084868297,-0.29248109670838385,-0.9108099876931397,-0.6958956046825776,0.49382716049382713,0.08704769308065696,0.061845444704687225
2018 基准下跌年,510300全年收益 -28.41%,2018-01-02,2018-12-28,Top3,-0.2840842598010517,-0.35432654141307107,243,-0.18101505446192256,-0.18704984970683924,0.2214345283275497,-0.27948758249635386,-0.8238511304776055,-0.6692599650980181,0.49382716049382713,0.10306920533912911,0.07483895891671721
2019 基准上涨年,510300全年收益 47.32%,2019-01-02,2019-12-31,Top1,0.47323252962811724,-0.15475189234650932,244,0.7086395217994037,0.738914909509049,0.4405108361422284,-0.2504315315199618,1.4769806458471275,2.9505665880981544,0.5,0.23540699217128647,-0.09567963917345246
2019 基准上涨年,510300全年收益 47.32%,2019-01-02,2019-12-31,Top2,0.47323252962811724,-0.15475189234650932,244,0.4733331083085577,0.49217243225304586,0.30982725030847186,-0.16813019793203254,1.4474865094719085,2.9273291669591024,0.5327868852459017,0.00010057868044044405,-0.01337830558552322
