signal_date,top_n,selected_symbols,selected_names,selected_bucket,selected_themes,selected_count,target_weight_each,selected_momentums,reason
2018-05-31,2,159928|512010,消费ETF汇添富|医药ETF易方达,sector,消费|医药,2,0.5,0.16541353|0.15098468,选择正动量行业/主题 ETF Top2，等权持有
2018-06-29,2,512010|159928,医药ETF易方达|消费ETF汇添富,sector,医药|消费,2,0.5,0.05434783|0.05204461,选择正动量行业/主题 ETF Top2，等权持有
2018-07-31,2,511010,国债ETF国泰,defensive,国债,1,1.0,0.01159190,行业/主题 ETF 无正动量，切换到正动量防守资产
2018-08-31,2,512800,银行ETF华宝,sector,银行,1,1.0,0.08857809,选择正动量行业/主题 ETF Top2，等权持有
2018-09-28,2,512800,银行ETF华宝,sector,银行,1,1.0,0.04661017,选择正动量行业/主题 ETF Top2，等权持有
2018-10-31,2,512800|512880,银行ETF华宝|证券ETF国泰,sector,银行|证券,2,0.5,0.04925054|0.03724138,选择正动量行业/主题 ETF Top2，等权持有
2018-11-30,2,512880,证券ETF国泰,sector,证券,1,1.0,0.05922865,选择正动量行业/主题 ETF Top2，等权持有
2018-12-28,2,159928|512980,消费ETF汇添富|传媒ETF广发,sector,消费|传媒,2,0.5,0.06823529|0.01236476,选择正动量行业/主题 ETF Top2，等权持有
2019-01-31,2,159928|512800,消费ETF汇添富|银行ETF华宝,sector,消费|银行,2,0.5,0.07929515|0.02542373,选择正动量行业/主题 ETF Top2，等权持有
2019-02-28,2,512880|159928,证券ETF国泰|消费ETF汇添富,sector,证券|消费,2,0.5,0.37722908|0.25389755,选择正动量行业/主题 ETF Top2，等权持有
2019-03-29,2,512880|159928,证券ETF国泰|消费ETF汇添富,sector,证券|消费,2,0.5,0.39327296|0.34020619,选择正动量行业/主题 ETF Top2，等权持有
2019-04-30,2,159928|512010,消费ETF汇添富|医药ETF易方达,sector,消费|医药,2,0.5,0.22912966|0.08184143,选择正动量行业/主题 ETF Top2，等权持有
2019-05-31,2,159928|512800,消费ETF汇添富|银行ETF华宝,sector,消费|银行,2,0.5,0.09003215|0.01190476,选择正动量行业/主题 ETF Top2，等权持有
2019-06-28,2,159928,消费ETF汇添富,sector,消费,1,1.0,0.05139501,选择正动量行业/主题 ETF Top2，等权持有
2019-07-31,2,512690|512880,酒ETF鹏华|证券ETF国泰,sector,白酒/酒|证券,2,0.5,0.33076923|0.07341491,选择正动量行业/主题 ETF Top2，等权持有
2019-08-30,2,512690|512480,酒ETF鹏华|半导体ETF国联安,sector,白酒/酒|半导体,2,0.5,0.13636364|0.11417323,选择正动量行业/主题 ETF Top2，等权持有
2019-09-30,2,512690|512480,酒ETF鹏华|半导体ETF国联安,sector,白酒/酒|半导体,2,0.5,0.20231214|0.13533835,选择正动量行业/主题 ETF Top2，等权持有
2019-10-31,2,512480|512170,半导体ETF国联安|医疗ETF华宝,sector,半导体|医疗,2,0.5,0.11418048|0.09043928,选择正动量行业/主题 ETF Top2，等权持有
2019-11-29,2,512800|512010,银行ETF华宝|医药ETF易方达,sector,银行|医药,2,0.5,0.03415560|0.02901786,选择正动量行业/主题 ETF Top2，等权持有
2019-12-31,2,512480|512400,半导体ETF国联安|有色金属ETF南方,sector,半导体|有色金属,2,0.5,0.17927632|0.17815126,选择正动量行业/主题 ETF Top2，等权持有
2020-01-23,2,512480|512980,半导体ETF国联安|传媒ETF广发,sector,半导体|传媒,2,0.5,0.54468803|0.16291391,选择正动量行业/主题 ETF Top2，等权持有
2020-02-28,2,512480|512170,半导体ETF国联安|医疗ETF华宝,sector,半导体|医疗,2,0.5,0.47750363|0.20581114,选择正动量行业/主题 ETF Top2，等权持有
2020-03-31,2,512170|159928,医疗ETF华宝|消费ETF汇添富,sector,医疗|消费,2,0.5,0.06950673|0.05914718,选择正动量行业/主题 ETF Top2，等权持有
2020-04-30,2,512690|159928,酒ETF鹏华|消费ETF汇添富,sector,白酒/酒|消费,2,0.5,0.18048780|0.08597884,选择正动量行业/主题 ETF Top2，等权持有
2020-05-29,2,512690|159928,酒ETF鹏华|消费ETF汇添富,sector,白酒/酒|消费,2,0.5,0.79428571|0.14538043,选择正动量行业/主题 ETF Top2，等权持有
2020-06-30,2,512690|512170,酒ETF鹏华|医疗ETF华宝,sector,白酒/酒|医疗,2,0.5,0.70638298|0.28030303,选择正动量行业/主题 ETF Top2，等权持有
2020-07-31,2,512690|512010,酒ETF鹏华|医药ETF易方达,sector,白酒/酒|医药,2,0.5,0.57530120|0.36727273,选择正动量行业/主题 ETF Top2，等权持有
2020-08-31,2,512690|512660,酒ETF鹏华|军工ETF国泰,sector,白酒/酒|军工,2,0.5,0.43449782|0.35259434,选择正动量行业/主题 ETF Top2，等权持有
2020-09-30,2,512690,酒ETF鹏华,sector,白酒/酒,1,1.0,0.06616257,选择正动量行业/主题 ETF Top2，等权持有
2020-10-30,2,515030|512690,新能源车ETF华夏|酒ETF鹏华,sector,新能源车|白酒/酒,2,0.5,0.14246324|0.10367893,选择正动量行业/主题 ETF Top2，等权持有
2020-11-30,2,512690|515030,酒ETF鹏华|新能源车ETF华夏,sector,白酒/酒|新能源车,2,0.5,0.29537367|0.22557078,选择正动量行业/主题 ETF Top2，等权持有
2020-12-31,2,512690|515030,酒ETF鹏华|新能源车ETF华夏,sector,白酒/酒|新能源车,2,0.5,0.45255474|0.29393468,选择正动量行业/主题 ETF Top2，等权持有
2021-01-29,2,512690|515030,酒ETF鹏华|新能源车ETF华夏,sector,白酒/酒|新能源车,2,0.5,0.34741144|0.24026451,选择正动量行业/主题 ETF Top2，等权持有
2021-02-26,2,512400|512800,有色金属ETF南方|银行ETF华宝,sector,有色金属|银行,2,0.5,0.20689655|0.12115732,选择正动量行业/主题 ETF Top2，等权持有
2021-03-31,2,515220|512800,煤炭ETF国泰|银行ETF华宝,sector,煤炭|银行,2,0.5,0.08993576|0.04470199,选择正动量行业/主题 ETF Top2，等权持有
2021-04-30,2,512690|515220,酒ETF鹏华|煤炭ETF国泰,sector,白酒/酒|煤炭,2,0.5,0.17044100|0.13333333,选择正动量行业/主题 ETF Top2，等权持有
2021-05-31,2,512690|515030,酒ETF鹏华|新能源车ETF华夏,sector,白酒/酒|新能源车,2,0.5,0.37001209|0.28184282,选择正动量行业/主题 ETF Top2，等权持有
2021-06-30,2,512480|515030,半导体ETF国联安|新能源车ETF华夏,sector,半导体|新能源车,2,0.5,0.36782787|0.34818587,选择正动量行业/主题 ETF Top2，等权持有
2021-07-30,2,512480|515790,半导体ETF国联安|光伏ETF华泰柏瑞,sector,半导体|光伏,2,0.5,0.42421442|0.38237810,选择正动量行业/主题 ETF Top2，等权持有
2021-08-31,2,515220|512400,煤炭ETF国泰|有色金属ETF南方,sector,煤炭|有色金属,2,0.5,0.53110048|0.49772520,选择正动量行业/主题 ETF Top2，等权持有
2021-09-30,2,515220|512690,煤炭ETF国泰|酒ETF鹏华,sector,煤炭|白酒/酒,2,0.5,0.42142857|0.13806452,选择正动量行业/主题 ETF Top2，等权持有
2021-10-29,2,512690|159928,酒ETF鹏华|消费ETF汇添富,sector,白酒/酒|消费,2,0.5,0.19626168|0.15748031,选择正动量行业/主题 ETF Top2，等权持有
2021-11-30,2,512660|512690,军工ETF国泰|酒ETF鹏华,sector,军工|白酒/酒,2,0.5,0.12930375|0.12150668,选择正动量行业/主题 ETF Top2，等权持有
2021-12-31,2,512980|512690,传媒ETF广发|酒ETF鹏华,sector,传媒|白酒/酒,2,0.5,0.20336606|0.12209302,选择正动量行业/主题 ETF Top2，等权持有
2022-01-28,2,512800|515220,银行ETF华宝|煤炭ETF国泰,sector,银行|煤炭,2,0.5,0.03014184|0.02119205,选择正动量行业/主题 ETF Top2，等权持有
2022-02-28,2,515220|512400,煤炭ETF国泰|有色金属ETF南方,sector,煤炭|有色金属,2,0.5,0.07217695|0.06113208,选择正动量行业/主题 ETF Top2，等权持有
2022-03-31,2,515220,煤炭ETF国泰,sector,煤炭,1,1.0,0.27070457,选择正动量行业/主题 ETF Top2，等权持有
2022-04-29,2,515220,煤炭ETF国泰,sector,煤炭,1,1.0,0.05863192,选择正动量行业/主题 ETF Top2，等权持有
2022-05-31,2,515220|512690,煤炭ETF国泰|酒ETF鹏华,sector,煤炭|白酒/酒,2,0.5,0.09017224|0.09005376,选择正动量行业/主题 ETF Top2，等权持有
2022-06-30,2,515790|515030,光伏ETF华泰柏瑞|新能源车ETF华夏,sector,光伏|新能源车,2,0.5,0.47258486|0.46397516,选择正动量行业/主题 ETF Top2，等权持有
2022-07-29,2,515790|515030,光伏ETF华泰柏瑞|新能源车ETF华夏,sector,光伏|新能源车,2,0.5,0.24450744|0.17817607,选择正动量行业/主题 ETF Top2，等权持有
2022-08-31,2,515220,煤炭ETF国泰,sector,煤炭,1,1.0,0.03603604,选择正动量行业/主题 ETF Top2，等权持有
2022-09-30,2,515220,煤炭ETF国泰,sector,煤炭,1,1.0,0.12295869,选择正动量行业/主题 ETF Top2，等权持有
2022-10-31,2,515230|512660,软件ETF国泰|军工ETF国泰,sector,软件|军工,2,0.5,0.10162602|0.03242321,选择正动量行业/主题 ETF Top2，等权持有
2022-11-30,2,515230|512170,软件ETF国泰|医疗ETF华宝,sector,软件|医疗,2,0.5,0.14327062|0.12954545,选择正动量行业/主题 ETF Top2，等权持有
2022-12-30,2,512690|159928,酒ETF鹏华|消费ETF汇添富,sector,白酒/酒|消费,2,0.5,0.19887165|0.13973799,选择正动量行业/主题 ETF Top2，等权持有
2023-01-31,2,512690|159928,酒ETF鹏华|消费ETF汇添富,sector,白酒/酒|消费,2,0.5,0.24000000|0.17334778,选择正动量行业/主题 ETF Top2，等权持有
2023-02-28,2,515230|512980,软件ETF国泰|传媒ETF广发,sector,软件|传媒,2,0.5,0.21779548|0.15689655,选择正动量行业/主题 ETF Top2，等权持有
2023-03-31,2,512980|515230,传媒ETF广发|软件ETF国泰,sector,传媒|软件,2,0.5,0.29555896|0.22941822,选择正动量行业/主题 ETF Top2，等权持有
2023-04-28,2,512980|512480,传媒ETF广发|半导体ETF国联安,sector,传媒|半导体,2,0.5,0.43219076|0.11744186,选择正动量行业/主题 ETF Top2，等权持有
2023-05-31,2,512980|512800,传媒ETF广发|银行ETF华宝,sector,传媒|银行,2,0.5,0.12162162|0.02285714,选择正动量行业/主题 ETF Top2，等权持有
2023-06-30,2,512660|515230,军工ETF国泰|软件ETF国泰,sector,军工|软件,2,0.5,0.05440901|0.00405268,选择正动量行业/主题 ETF Top2，等权持有
2023-07-31,2,512880|512690,证券ETF国泰|酒ETF鹏华,sector,证券|白酒/酒,2,0.5,0.12931996|0.09935484,选择正动量行业/主题 ETF Top2，等权持有
2023-08-31,2,512880|512690,证券ETF国泰|酒ETF鹏华,sector,证券|白酒/酒,2,0.5,0.08641975|0.02281369,选择正动量行业/主题 ETF Top2，等权持有
2023-09-28,2,515220,煤炭ETF国泰,sector,煤炭,1,1.0,0.06979167,选择正动量行业/主题 ETF Top2，等权持有
2023-10-31,2,515220|512480,煤炭ETF国泰|半导体ETF国联安,sector,煤炭|半导体,2,0.5,0.08205689|0.07151819,选择正动量行业/主题 ETF Top2，等权持有
2023-11-30,2,512480|515220,半导体ETF国联安|煤炭ETF国泰,sector,半导体|煤炭,2,0.5,0.04584882|0.03381643,选择正动量行业/主题 ETF Top2，等权持有
2023-12-29,2,515220|515230,煤炭ETF国泰|软件ETF国泰,sector,煤炭|软件,2,0.5,0.09164969|0.02124834,选择正动量行业/主题 ETF Top2，等权持有
2024-01-31,2,512800|515220,银行ETF华宝|煤炭ETF国泰,sector,银行|煤炭,2,0.5,0.05882353|0.04347826,选择正动量行业/主题 ETF Top2，等权持有
2024-02-29,2,515220|512800,煤炭ETF国泰|银行ETF华宝,sector,煤炭|银行,2,0.5,0.13216266|0.12379110,选择正动量行业/主题 ETF Top2，等权持有
2024-03-29,2,512400|512660,有色金属ETF南方|军工ETF国泰,sector,有色金属|军工,2,0.5,0.22248804|0.12640801,选择正动量行业/主题 ETF Top2，等权持有
2024-04-30,2,512400|512690,有色金属ETF南方|酒ETF鹏华,sector,有色金属|白酒/酒,2,0.5,0.17700113|0.06717557,选择正动量行业/主题 ETF Top2，等权持有
2024-05-31,2,515220|512400,煤炭ETF国泰|有色金属ETF南方,sector,煤炭|有色金属,2,0.5,0.09823009|0.07216495,选择正动量行业/主题 ETF Top2，等权持有
2024-06-28,2,512480|512800,半导体ETF国联安|银行ETF华宝,sector,半导体|银行,2,0.5,0.05812221|0.02463054,选择正动量行业/主题 ETF Top2，等权持有
2024-07-31,2,512480|512800,半导体ETF国联安|银行ETF华宝,sector,半导体|银行,2,0.5,0.07792208|0.01754386,选择正动量行业/主题 ETF Top2，等权持有
2024-08-30,2,512880|512010,证券ETF国泰|医药ETF易方达,sector,证券|医药,2,0.5,0.04092072|0.00310559,选择正动量行业/主题 ETF Top2，等权持有
2024-09-30,2,512880|515230,证券ETF国泰|软件ETF国泰,sector,证券|软件,2,0.5,0.38895859|0.31428571,选择正动量行业/主题 ETF Top2，等权持有
2024-10-31,2,515230|512480,软件ETF国泰|半导体ETF国联安,sector,软件|半导体,2,0.5,0.59716599|0.49620637,选择正动量行业/主题 ETF Top2，等权持有
2024-11-29,2,515230|512480,软件ETF国泰|半导体ETF国联安,sector,软件|半导体,2,0.5,0.57458564|0.55332303,选择正动量行业/主题 ETF Top2，等权持有
