window_label,lookback_days,total_return,annualized_return,annualized_volatility,max_drawdown,sharpe_like_no_rf,trade_count,cash_days,defensive_days,sector_days,final_nav
mom_1m,21,3.384319894277474,0.14320495297063673,0.3519475788021825,-0.6014980621184085,0.5562749794931505,115,155,157,2471,4.384319894277474
mom_2m,42,11.551456392170252,0.25743775512494227,0.379646954348593,-0.5263255927681734,0.7936776363620314,80,57,120,2606,12.551456392170252
mom_3m,63,0.2914271819527965,0.023428143578934302,0.36357474821411556,-0.7867037618711203,0.2463146041167135,71,78,179,2526,1.2914271819527965
mom_4m,84,4.567827169243456,0.16821201904670513,0.3686323169692657,-0.7105193705356938,0.6063262564598472,54,98,186,2499,5.567827169243456
mom_5m,105,7.249557974850685,0.2105495871553471,0.3753885122092868,-0.6348466170047883,0.6972745924061236,46,119,228,2436,8.249557974850685
mom_6m,126,8.388156824820719,0.2248049199963884,0.3614071179349046,-0.4790119394371647,0.7424702525092138,46,142,239,2402,9.388156824820719
buy_hold_510300,0,0.7251644167532096,0.050618262522510005,0.2651478746601838,-0.5297225891677673,0.31977016747503234,0,0,0,2783,1.7251644167532096
